city,total,married,separated,divorced,widow,single
agua santa,3359,1827,22,32,115,1363
agudo,14591,7022,204,118,927,6320
ajuricaba,6545,3571,83,43,432,2416
alecrim,7160,3710,50,66,384,2949
alegrete,69233,25196,2148,1426,3943,36520
alegria,4501,2353,51,12,248,1836
alpestre,8479,4029,128,55,443,3824
alto alegre,1825,996,0,0,115,714
alto feliz,2435,1341,64,19,159,853
alvorada,143515,49551,4009,3507,6896,79552
amaral ferrador,4748,2425,81,14,239,1990
ametista do sul,5791,2839,74,55,237,2586
andre da rocha,954,504,17,12,50,371
anta gorda,5452,3070,77,16,322,1967
antonio prado,10872,5929,103,103,507,4230
arambare,3249,1421,118,48,190,1473
ararica,3181,1381,65,74,184,1477
aratiba,6031,3495,46,13,238,2238
arroio do meio,14396,7312,218,168,786,5912
arroio do sal,4342,1780,163,123,220,2056
arroio do tigre,10058,5061,82,29,546,4340
arroio dos ratos,10997,4243,424,208,822,5299
arroio grande,15880,5825,425,271,875,8484
arvorezinha,8361,4139,78,63,393,3689
augusto pestana,6991,3882,105,55,460,2488
aurea,3295,1650,17,17,222,1388
bage,97875,34966,2684,2627,6832,50766
balneario pinhal,5942,2095,236,143,330,3138
barao,4562,2309,53,40,298,1862
barao de cotegipe,5806,3120,52,32,338,2263
barao do triunfo,5407,2609,68,15,259,2455
barra do guarita,2424,1174,52,24,159,1014
barra do quarai,3008,1043,34,38,74,1820
barra do ribeiro,9784,4176,265,211,673,4459
barra do rio azul,2065,1167,0,0,75,823
barra funda,1865,1052,16,7,80,710
barracao,4578,2338,33,23,244,1941
barros cassal,9034,3911,128,68,502,4425
benjamin constant do sul,2017,793,0,0,49,1175
bento goncalves,77737,36147,1743,1171,3709,34967
boa vista das missoes,1728,998,16,32,63,619
boa vista do burica,5544,3084,48,42,251,2120
boa vista do sul,2520,1369,22,14,169,945
bom jesus,9634,4111,279,66,602,4575
bom principio,7857,4110,71,57,337,3281
bom progresso,2242,1068,42,8,125,999
bom retiro do sul,9003,4052,315,145,612,3879
boqueirao do leao,6268,3008,53,65,304,2837
bossoroca,6402,2673,107,136,291,3195
braga,3409,1639,27,16,173,1554
brochier,3799,2021,73,36,278,1391
butia,16655,6907,612,233,1109,7794
cacapava do sul,29198,13329,1108,323,2113,12325
cacequi,12595,5037,290,259,846,6163
cachoeira do sul,74417,31336,2178,1885,5162,33856
cachoeirinha,87947,34284,3015,2164,4605,43879
cacique doble,3896,2070,38,5,158,1624
caibate,6129,2934,74,44,295,2783
caicara,4586,2292,64,24,250,1957
camaqua,49745,23228,1370,791,3154,21202
camargo,2108,1202,21,27,120,739
cambara do sul,5471,2542,93,46,229,2560
campestre da serra,2632,1472,41,7,161,952
campina das missoes,6038,3336,34,12,338,2318
campinas do sul,6931,3727,52,72,391,2690
campo bom,44520,18499,1487,1035,2009,21490
campo novo,5352,2217,200,84,284,2567
campos borges,3172,1492,50,36,168,1425
candelaria,24680,11547,695,363,1760,10315
candido godoi,6062,3392,58,12,326,2275
candiota,6437,2705,194,87,251,3200
canela,27045,9905,932,435,1362,14411
cangucu,43339,22110,671,400,2992,17165
canoas,250755,98822,8459,6981,14398,122096
capao da canoa,24217,8959,735,729,980,12814
capao do leao,19170,7789,457,338,1172,9414
capela de santana,8010,3414,218,104,400,3874
capitao,2193,1298,18,8,123,746
capivari do sul,2534,1089,47,65,124,1208
caraa,5432,2628,42,44,298,2420
carazinho,49576,20943,1543,1290,3000,22801
carlos barbosa,17542,9806,200,176,802,6559
carlos gomes,1609,844,0,5,92,668
casca,7254,4007,41,42,439,2725
caseiros,2397,1294,41,20,87,956
catuipe,8698,4519,181,103,472,3422
caxias do sul,300957,129992,8444,6367,13687,142467
centenario,2667,1557,16,7,114,973
cerrito,5893,2530,160,123,482,2599
cerro branco,3676,1917,27,35,269,1429
cerro grande,2146,1125,4,11,90,916
cerro grande do sul,6692,2798,107,45,365,3377
cerro largo,10692,4902,225,73,602,4890
chapada,8342,4463,162,71,508,3138
charqueadas,25237,10675,885,488,1192,11997
charrua,2925,1355,11,20,131,1409
chiapetta,3695,1891,31,58,206,1509
chui,4111,1365,106,206,172,2262
chuvisca,3714,1994,44,37,155,1484
cidreira,7176,2401,354,288,449,3684
ciriaco,4387,2308,81,51,234,1713
colinas,2196,1278,26,12,168,713
colorado,3493,1883,23,13,217,1357
condor,5376,2613,124,51,296,2293
constantina,9836,5082,125,76,534,4019
coqueiros do sul,2290,1348,40,15,128,759
coronel barros,2159,1229,28,3,158,740
coronel bicaco,6797,3069,183,83,340,3122
cotipora,3584,1988,26,11,212,1346
coxilha,2417,1119,41,4,107,1146
crissiumal,12850,6788,129,116,905,4911
cristal,5388,2513,81,96,325,2373
cristal do sul,2384,1330,25,16,87,927
cruz alta,58607,22078,1566,1565,3918,29479
cruzeiro do sul,9831,5000,270,120,609,3832
david canabarro,3925,2252,24,18,149,1482
derrubadas,3040,1604,48,17,184,1187
dezesseis de novembro,2820,1232,17,22,188,1361
dilermando de aguiar,2661,1096,58,25,136,1345
dois irmaos,18770,8363,340,193,705,9170
dois irmaos das missoes,1872,1027,14,15,80,736
dois lajeados,2826,1465,25,3,191,1141
dom feliciano,10825,5415,131,90,537,4652
dom pedrito,33235,12412,1055,577,2243,16948
dom pedro de alcantara,2243,1106,25,16,106,989
dona francisca,3204,1433,59,31,203,1478
doutor mauricio cardoso,5369,2888,119,23,329,2010
doutor ricardo,1779,1055,6,0,113,605
eldorado do sul,21603,8053,790,608,957,11195
encantado,15793,7835,378,126,855,6599
encruzilhada do sul,19678,8030,514,352,1326,9457
engenho velho,1754,901,16,2,127,708
entre rios do sul,2844,1533,3,15,110,1183
entre-ijuis,8122,3891,186,61,481,3503
erebango,2434,1023,41,22,137,1212
erechim,75185,33427,1782,1122,3656,35198
ernestina,3345,1522,71,49,232,1471
erval grande,4644,2359,40,12,247,1987
erval seco,7453,3544,115,51,377,3366
esmeralda,4575,2227,31,25,323,1968
esperanca do sul,3218,1673,21,17,257,1250
espumoso,13656,6344,193,195,745,6179
estacao,5219,2689,77,48,294,2111
estancia velha,28778,11697,795,642,1208,14435
esteio,66589,26148,2529,1830,3598,32484
estrela,23123,10828,635,371,1266,10022
estrela velha,3066,1753,24,28,145,1117
eugenio de castro,2773,1462,51,27,137,1095
fagundes varela,2187,1235,22,0,101,829
farroupilha,46000,22601,1011,574,2104,19709
faxinal do soturno,5793,2437,69,64,376,2847
faxinalzinho,2391,1154,59,19,112,1047
fazenda vilanova,2348,1150,24,29,144,1001
feliz,9628,4738,198,105,600,3987
flores da cunha,20175,10051,329,169,976,8650
floriano peixoto,2007,1132,10,0,113,752
fontoura xavier,9145,3905,124,33,485,4598
formigueiro,6484,3033,102,31,457,2860
fortaleza dos valos,4156,2285,58,11,196,1607
frederico westphalen,22015,9840,458,189,1153,10374
garibaldi,24246,12452,481,218,1176,9920
garruchos,2961,1402,14,36,146,1362
gaurama,5430,2753,43,36,276,2322
general camara,7272,3034,273,129,473,3362
gentil,1535,811,6,4,80,634
getulio vargas,13813,6637,150,160,718,6149
girua,15528,7152,363,317,1068,6629
glorinha,4725,2089,116,54,273,2192
gramado,23914,10529,685,346,1086,11268
gramado dos loureiros,2052,871,23,10,114,1035
gramado xavier,2886,1493,22,18,124,1229
gravatai,189179,70568,6227,5231,9602,97550
guabiju,1511,918,0,0,61,532
guaiba,76780,29691,2433,2153,4206,38297
guapore,16891,8348,360,144,1035,7004
guarani das missoes,7566,3646,96,49,445,3330
harmonia,3088,1735,15,5,132,1201
herval,6964,2453,211,126,431,3743
herveiras,2321,1254,28,7,129,904
horizontina,15039,7930,376,142,926,5666
hulha negra,4277,1777,70,108,241,2081
humaita,4495,2507,57,12,308,1611
ibarama,3694,1855,66,2,178,1592
ibiaca,4474,2497,30,49,240,1659
ibiraiaras,5966,3323,38,39,265,2300
ibirapuita,4231,2115,91,24,217,1785
ibiruba,15833,8075,312,359,768,6319
igrejinha,21959,9208,675,581,1062,10433
ijui,65726,29643,1940,1289,3564,29290
ilopolis,3525,1836,12,43,172,1461
imbe,10048,3812,373,399,486,4978
imigrante,3441,2038,13,23,230,1137
independencia,6110,3128,117,24,356,2485
inhacora,1934,1069,31,5,80,748
ipe,4729,2733,35,36,237,1688
ipiranga do sul,1787,1013,15,7,80,672
irai,7675,3160,162,98,409,3846
itaara,3713,1781,69,58,156,1649
itacurubi,2919,1355,44,24,147,1349
itapuca,2137,965,6,17,106,1042
itaqui,31544,10551,829,501,1694,17970
itatiba do sul,4261,2122,36,7,204,1892
ivora,2159,1056,12,3,98,989
ivoti,12889,6603,248,127,560,5351
jaboticaba,3675,1979,30,41,149,1476
jacutinga,3563,1988,25,14,248,1288
jaguarao,24982,8822,791,557,1680,13131
jaguari,10570,5001,141,119,647,4663
jaquirana,3828,1543,106,40,153,1984
jari,3090,1596,35,0,157,1301
joia,6746,3291,72,53,363,2967
julio de castilhos,16631,6157,484,307,1168,8514
lagoa dos tres cantos,1420,783,19,17,93,509
lagoa vermelha,24421,11435,542,350,1495,10599
lagoao,4831,2319,60,21,237,2194
lajeado,53851,24564,1590,1158,2813,23726
lajeado do bugre,1984,1063,13,24,84,801
lavras do sul,6747,2819,149,56,522,3202
liberato salzano,5402,2781,14,50,221,2337
lindolfo collor,3582,1930,73,11,120,1449
linha nova,1372,818,29,11,93,421
macambara,4008,1841,46,43,181,1897
machadinho,4765,2181,74,52,220,2238
mampituba,2554,1268,15,5,105,1161
manoel viana,5718,2335,208,87,374,2714
maquine,6014,2410,83,44,368,3109
marata,2138,1137,28,37,157,778
marau,23697,12343,382,338,1082,9551
marcelino ramos,5100,2369,87,21,335,2288
mariana pimentel,3156,1501,51,56,195,1353
mariano moro,2114,1082,23,10,96,903
marques de souza,3752,2030,20,47,326,1329
mata,4671,2417,47,49,258,1900
mato castelhano,2088,1086,25,19,91,867
mato leitao,2750,1537,16,36,153,1008
maximiliano de almeida,4609,2279,19,32,219,2059
minas do leao,5952,2572,104,58,395,2823
miraguai,4131,2054,68,37,248,1724
montauri,1461,775,12,0,73,601
monte alegre dos campos,2427,1185,43,30,141,1029
monte belo do sul,2548,1412,0,3,163,969
montenegro,45479,18486,1659,1142,2757,21435
mormaco,2052,1191,2,0,85,775
morrinhos do sul,3003,1675,46,26,152,1104
morro redondo,5167,2728,108,54,343,1934
morro reuter,4264,2337,41,19,196,1672
mostardas,9528,3974,183,135,562,4674
mucum,4138,2105,47,74,360,1551
muitos capoes,2315,1108,23,13,147,1023
muliterno,1425,797,13,8,43,564
nao-me-toque,12195,5935,286,212,750,5011
nicolau vergueiro,1550,834,12,1,102,601
nonoai,10218,3783,146,176,543,5570
nova alvorada,2294,1155,0,9,109,1021
nova araca,2774,1565,16,12,148,1033
nova bassano,6707,3877,43,18,347,2422
nova boa vista,1868,1034,7,16,170,641
nova brescia,3924,2312,38,0,205,1368
nova candelaria,2492,1438,9,9,132,903
nova esperanca do sul,3344,1782,59,18,144,1341
nova hartz,12121,5242,312,194,503,5869
nova padua,2096,1203,4,11,89,789
nova palma,5236,2601,45,11,217,2362
nova petropolis,14669,7159,284,320,766,6139
nova prata,15568,8090,259,105,767,6346
