city,total
agua santa,2009
agudo,8866
ajuricaba,3954
alecrim,4245
alegrete,35354
alegria,2603
alpestre,4585
alto alegre,995
alto feliz,1440
alvorada,77907
amaral ferrador,2896
ametista do sul,3503
andre da rocha,565
anta gorda,3230
antonio prado,6528
arambare,1944
ararica,2008
aratiba,3592
arroio do meio,8675
arroio do sal,2628
arroio do tigre,5757
arroio dos ratos,6134
arroio grande,8665
arvorezinha,4803
augusto pestana,4252
aurea,1760
bage,49381
balneario pinhal,3468
barao,2500
barao de cotegipe,3372
barao do triunfo,3103
barra do guarita,1303
barra do quarai,1656
barra do ribeiro,5624
barra do rio azul,1191
barra funda,1087
barracao,2627
barros cassal,5151
benjamin constant do sul,1205
bento goncalves,44184
boa vista das missoes,1123
boa vista do burica,3337
boa vista do sul,1416
bom jesus,5198
bom principio,4530
bom progresso,1256
bom retiro do sul,5199
boqueirao do leao,3659
bossoroca,3601
braga,2013
brochier,2266
butia,8934
cacapava do sul,15646
cacequi,6723
cachoeira do sul,39460
cachoeirinha,49079
cacique doble,2270
caibate,3556
caicara,2639
camaqua,27906
camargo,1242
cambara do sul,3255
campestre da serra,1552
campina das missoes,3623
campinas do sul,4147
campo bom,25357
campo novo,2933
campos borges,1681
candelaria,14540
candido godoi,3644
candiota,3608
canela,14634
cangucu,24762
canoas,133618
capao da canoa,13615
capao do leao,10596
capela de santana,4720
capitao,1359
capivari do sul,1495
caraa,3242
carazinho,26887
carlos barbosa,10385
carlos gomes,905
casca,4151
caseiros,1439
catuipe,5163
caxias do sul,168130
centenario,1525
cerrito,3254
cerro branco,2267
cerro grande,1366
cerro grande do sul,3715
cerro largo,5925
chapada,4866
charqueadas,12439
charrua,1756
chiapetta,2205
chui,2183
chuvisca,2202
cidreira,4067
ciriaco,2612
colinas,1369
colorado,1999
condor,3114
constantina,5775
coqueiros do sul,1462
coronel barros,1301
coronel bicaco,3765
cotipora,2068
coxilha,1439
crissiumal,7540
cristal,3079
cristal do sul,1450
cruz alta,30871
cruzeiro do sul,5898
david canabarro,2349
derrubadas,1828
dezesseis de novembro,1545
dilermando de aguiar,1460
dois irmaos,11088
dois irmaos das missoes,1079
dois lajeados,1547
dom feliciano,6115
dom pedrito,17594
dom pedro de alcantara,1279
dona francisca,1787
doutor mauricio cardoso,3248
doutor ricardo,1084
eldorado do sul,11999
encantado,9231
encruzilhada do sul,10871
engenho velho,963
entre rios do sul,1654
entre-ijuis,4692
erebango,1292
erechim,41797
ernestina,1981
erval grande,2556
erval seco,4184
esmeralda,2742
esperanca do sul,1952
espumoso,7746
estacao,3071
estancia velha,16363
esteio,36010
estrela,13350
estrela velha,1822
eugenio de castro,1638
fagundes varela,1348
farroupilha,26732
faxinal do soturno,3077
faxinalzinho,1334
fazenda vilanova,1315
feliz,5516
flores da cunha,11842
floriano peixoto,1176
fontoura xavier,5043
formigueiro,3446
fortaleza dos valos,2420
frederico westphalen,11972
garibaldi,14033
garruchos,1716
gaurama,3114
general camara,4120
gentil,870
getulio vargas,7874
girua,8538
glorinha,2861
gramado,13689
gramado dos loureiros,1152
gramado xavier,1694
gravatai,105260
guabiju,923
guaiba,42070
guapore,9820
guarani das missoes,4213
harmonia,1844
herval,3777
herveiras,1407
horizontina,9092
hulha negra,2481
humaita,2730
ibarama,2218
ibiaca,2781
ibiraiaras,3646
ibirapuita,2485
ibiruba,9419
igrejinha,12946
ijui,36430
ilopolis,2076
imbe,5727
imigrante,2130
independencia,3611
inhacora,1203
ipe,2890
ipiranga do sul,1094
irai,4118
itaara,2216
itacurubi,1658
itapuca,1220
itaqui,16305
itatiba do sul,2354
ivora,1114
ivoti,7608
jaboticaba,2234
jacutinga,2085
jaguarao,13612
jaguari,5848
jaquirana,2305
jari,1873
joia,3943
julio de castilhos,8628
lagoa dos tres cantos,829
lagoa vermelha,13947
lagoao,2871
lajeado,30674
lajeado do bugre,1237
lavras do sul,3282
liberato salzano,3250
lindolfo collor,2249
linha nova,885
macambara,2419
machadinho,2619
mampituba,1482
manoel viana,3175
maquine,3336
marata,1292
marau,14140
marcelino ramos,2826
mariana pimentel,1789
mariano moro,1246
marques de souza,2269
mata,2704
mato castelhano,1218
mato leitao,1729
maximiliano de almeida,2706
minas do leao,3286
miraguai,2329
montauri,873
monte alegre dos campos,1399
monte belo do sul,1501
montenegro,24622
mormaco,1273
morrinhos do sul,1795
morro redondo,2976
morro reuter,2579
mostardas,5444
mucum,2493
muitos capoes,1424
muliterno,853
nao-me-toque,6977
nicolau vergueiro,875
nonoai,5422
nova alvorada,1334
nova araca,1634
nova bassano,4018
nova boa vista,1034
nova brescia,2429
nova candelaria,1532
nova esperanca do sul,1994
nova hartz,7313
nova padua,1243
nova palma,2829
nova petropolis,8670
nova prata,9065
nova ramada,1388
nova roma do sul,1662
nova santa rita,7444
novo barreiro,1883
novo cabrais,1887
novo hamburgo,105456
novo machado,2487
novo tiradentes,1241
osorio,16063
paim filho,2451
palmares do sul,5121
palmeira das missoes,16653
palmitinho,3298
panambi,16271
pantano grande,4692
parai,3173
paraiso do sul,3679
pareci novo,1574
parobe,20948
passa sete,2227
passo do sobrado,2865
passo fundo,72344
paverama,3993
pedro osorio,3615
pejucara,2008
pelotas,138443
picada cafe,2434
pinhal,1242
pinhal grande,2186
pinheirinho do vale,1965
pinheiro machado,6440
pirapo,1594
piratini,9275
planalto,5148
poco das antas,919
pontao,1902
ponte preta,1138
portao,12074
porto alegre,552743
porto lucena,3204
porto maua,1355
porto vera cruz,1233
porto xavier,5280
pouso novo,1069
presidente lucena,1033
progresso,3144
protasio alves,1095
putinga,2423
quarai,10493
quevedos,1318
quinze de novembro,1984
redentora,3623
relvado,1214
restinga seca,7830
rio dos indios,2143
rio grande,80061
rio pardo,17135
riozinho,2039
roca sales,4812
rodeio bonito,2777
rolante,8530
ronda alta,4786
rondinha,3129
roque gonzales,3767
rosario do sul,18205
sagrada familia,1262
saldanha marinho,1589
salto do jacui,6004
salvador das missoes,1400
salvador do sul,3276
sananduva,7425
santa barbara do sul,4764
santa clara do sul,2509
santa cruz do sul,50283
santa maria,104730
santa maria do herval,2968
santa rosa,30578
santa tereza,937
santa vitoria do palmar,14488
santana da boa vista,4051
santana do livramento,38488
santiago,23977
santo angelo,34385
santo antonio da patrulha,17481
santo antonio das missoes,5560
santo antonio do palma,1045
santo antonio do planalto,994
santo augusto,6542
santo cristo,7593
santo expedito do sul,1360
sao borja,27452
sao domingos do sul,1358
sao francisco de assis,9714
sao francisco de paula,8842
sao gabriel,27444
sao jeronimo,9121
sao joao da urtiga,2585
sao joao do polesine,1097
sao jorge,1466
sao jose das missoes,1518
sao jose do herval,1164
sao jose do hortencio,1705
sao jose do inhacora,1233
sao jose do norte,11620
sao jose do ouro,3423
sao jose dos ausentes,1543
sao leopoldo,86554
sao lourenco do sul,20844
sao luiz gonzaga,17430
sao marcos,9484
sao martinho,3048
sao martinho da serra,1653
sao miguel das missoes,3629
sao nicolau,2748
sao paulo das missoes,3613
sao pedro da serra,1404
sao pedro do butia,1466
sao pedro do sul,7981
sao sebastiao do cai,9100
sao sepe,10926
sao valentim,2007
sao valentim do sul,1118
sao valerio do sul,1242
sao vendelino,866
sao vicente do sul,3721
sapiranga,32321
sapucaia do sul,56377
sarandi,8339
seberi,5266
sede nova,1538
segredo,3327
selbach,2409
senador salgado filho,1396
sentinela do sul,2315
serafina correa,5504
serio,1359
sertao,3611
sertao santana,2615
sete de setembro,1063
severiano de almeida,2058
silveira martins,1274
sinimbu,4972
sobradinho,7507
soledade,12968
tabai,1784
tapejara,7228
tapera,4998
tapes,7287
taquara,24423
taquari,11881
taquarucu do sul,1434
tavares,2615
tenente portela,6429
terra de areia,5501
teutonia,12039
tiradentes do sul,3831
toropi,1643
torres,13898
tramandai,13892
travesseiro,1291
tres arroios,1651
tres cachoeiras,4893
tres coroas,9128
tres de maio,11634
tres forquilhas,1649
tres palmeiras,2235
tres passos,12267
trindade do sul,2678
triunfo,10353
tucunduva,3126
tunas,2050
tupanci do sul,885
tupancireta,9480
tupandi,1413
tuparendi,4947
turucu,1816
ubiretama,1253
uniao da serra,942
unistalda,1190
uruguaiana,52567
vacaria,25713
vale do sol,5454
vale real,2200
vale verde,1617
vanini,926
venancio aires,30302
vera cruz,10738
veranopolis,9477
vespasiano correa,1149
viadutos,3052
viamao,96170
vicente dutra,2777
victor graeff,2077
vila flores,1596
vila langaro,1141
vila maria,2221
vila nova do sul,2076
vista alegre,1422
vista alegre do prata,829
vista gaucha,1355
vitoria das missoes,1907
xangri-la,3962
