city,total,has_children,children_born,children_borned_live,children_borned_dead
alta floresta d'oeste,9657,6308,23897,22878,1018
alto alegre dos parecis,4462,2880,12158,11645,512
alto paraiso,4458,2944,12196,11451,746
alvorada d'oeste,7189,4616,19800,18576,1224
ariquemes,28110,18022,66301,61882,4419
buritis,8741,5442,21434,20253,1181
cabixi,2769,1742,7899,7406,493
cacaulandia,1848,1186,4588,4389,199
cacoal,28778,18237,67293,64195,3098
campo novo de rondonia,3766,2489,9917,9171,747
candeias do jamari,4366,2923,12244,11597,647
castanheiras,1474,955,3910,3726,184
cerejeiras,7021,4511,18054,16875,1179
chupinguaia,1828,1195,4610,4409,201
colorado do oeste,8539,5411,21962,20485,1477
corumbiara,3633,2352,10138,9373,764
costa marques,3373,2243,10141,9389,753
cujubim,2102,1378,5794,5444,350
espigao d'oeste,9673,6179,22937,22139,797
governador jorge teixeira,4528,2924,13654,12933,721
guajara-mirim,14379,9199,36464,34889,1575
itapua do oeste,2334,1470,6527,6031,496
jaru,20294,12767,52572,49201,3371
ji-parana,42335,26569,97233,92469,4764
machadinho d'oeste,7829,5024,20705,19630,1075
ministro andreazza,4167,2659,10817,10368,449
mirante da serra,4700,2983,12869,12315,554
monte negro,4366,2787,11543,10931,612
nova brasilandia d'oeste,6062,3928,16096,15349,747
nova mamore,5155,3191,12521,11656,865
nova uniao,2847,1792,8011,7402,609
novo horizonte do oeste,4425,2763,11725,11192,533
ouro preto do oeste,15885,9853,40119,37170,2949
parecis,1208,754,2954,2877,77
pimenta bueno,12326,7956,29839,28189,1650
pimenteiras do oeste,856,594,2402,2313,89
porto velho,130284,81850,293081,279135,13946
presidente medici,10117,6355,26929,25582,1347
primavera de rondonia,1497,993,4386,4192,194
rio crespo,1011,678,2881,2714,167
rolim de moura,18452,11917,45345,43331,2014
santa luzia d'oeste,4301,2734,11802,11025,777
sao felipe d'oeste,2614,1651,7237,6686,551
sao francisco do guapore,3698,2419,9504,9010,494
sao miguel do guapore,8254,5393,21420,20421,999
seringueiras,3904,2570,10568,9909,659
teixeiropolis,2013,1265,5758,5614,144
theobroma,3937,2495,11333,10596,737
urupa,5359,3367,14198,13316,882
vale do anari,2561,1674,7600,7215,385
vale do paraiso,3459,2218,9332,8827,505
vilhena,21134,13602,47031,45091,1940
