city,total
alta floresta d'oeste,11534
alto alegre dos parecis,5561
alto paraiso,5768
alvorada d'oeste,8221
ariquemes,30308
buritis,11050
cabixi,3388
cacaulandia,2300
cacoal,31990
campo novo de rondonia,4841
candeias do jamari,5043
castanheiras,1916
cerejeiras,7723
chupinguaia,2320
colorado do oeste,9541
corumbiara,4543
costa marques,3930
cujubim,2797
espigao d'oeste,11129
governador jorge teixeira,5684
guajara-mirim,13282
itapua do oeste,2601
jaru,22577
ji-parana,44059
machadinho d'oeste,9513
ministro andreazza,5099
mirante da serra,5721
monte negro,5448
nova brasilandia d'oeste,7445
nova mamore,5809
nova uniao,3621
novo horizonte do oeste,5408
ouro preto do oeste,17044
parecis,1592
pimenta bueno,13347
pimenteiras do oeste,1007
porto velho,122698
presidente medici,11192
primavera de rondonia,1798
rio crespo,1271
rolim de moura,20546
santa luzia d'oeste,5060
sao felipe d'oeste,3229
sao francisco do guapore,4755
sao miguel do guapore,10532
seringueiras,5081
teixeiropolis,2307
theobroma,4962
urupa,6240
vale do anari,3331
vale do paraiso,4208
vilhena,22371
