city,total,has_children,children_born,children_borned_live,children_borned_dead
abdon batista,1104,725,2639,2530,109
abelardo luz,6122,4144,15695,14973,722
agrolandia,3171,2147,7397,7225,171
agronomica,1722,1150,4536,4325,210
agua doce,2667,1833,6481,6123,358
aguas de chapeco,2319,1645,6716,6547,169
aguas frias,974,649,2776,2690,86
aguas mornas,2118,1399,5642,5391,251
alfredo wagner,3403,2294,8192,7901,291
alto bela vista,882,592,2083,2036,47
anchieta,2806,1860,7619,7349,270
angelina,2419,1460,6684,6497,188
anita garibaldi,4134,2550,11572,10893,679
anitapolis,1260,857,3378,3235,142
antonio carlos,2533,1619,6181,6014,167
apiuna,3357,2187,8240,7799,441
arabuta,1737,1131,3749,3652,97
araquari,8676,5721,20490,19643,847
ararangua,22814,14986,49118,47642,1476
armazem,2782,1906,7389,7206,183
arroio trinta,1452,999,3387,3239,148
arvoredo,905,596,2270,2184,86
ascurra,2900,1919,6516,6282,233
atalanta,1368,882,3685,3567,118
aurora,2162,1435,5288,5052,236
balneario arroio do silva,2549,1721,6090,5791,299
balneario barra do sul,2410,1681,6513,6207,306
balneario camboriu,32587,19766,55821,53780,2041
balneario gaivota,2193,1569,5900,5542,358
bandeirante,1242,846,3538,3337,201
barra bonita,817,598,2168,2078,90
barra velha,6237,4183,15553,14775,778
bela vista do toldo,2166,1381,6429,6095,334
belmonte,1039,696,2788,2722,66
benedito novo,3673,2477,8304,7988,316
biguacu,19255,12415,42330,40385,1945
blumenau,112160,70300,198182,191127,7055
bocaina do sul,1123,748,3273,2997,277
bom jardim da serra,1618,1080,4284,3823,460
bom jesus,797,529,2037,1948,89
bom jesus do oeste,902,610,2173,2138,36
bom retiro,3061,2076,8374,8069,305
bombinhas,3396,2201,7472,7320,152
botuvera,1591,1070,3580,3468,112
braco do norte,9819,6462,22216,21662,555
braco do trombudo,1348,906,2810,2739,71
brunopolis,1247,840,3444,3115,329
brusque,32731,20358,61363,59210,2152
cacador,25229,16821,56154,53299,2855
caibi,2622,1742,6603,6443,160
calmon,1184,824,3739,3603,136
camboriu,16074,10801,37203,35207,1995
campo alegre,4564,2886,10113,9731,383
campo belo do sul,3097,1966,8787,8067,720
campo ere,3982,2542,10533,10244,288
campos novos,11564,7761,27074,25570,1504
canelinha,3567,2346,8552,8362,191
canoinhas,20940,13356,49167,46841,2326
capao alto,1157,738,2792,2576,216
capinzal,8072,5247,16694,16079,614
capivari de baixo,7859,5215,16429,16015,414
catanduvas,3231,2227,7713,7154,559
caxambu do sul,2142,1435,5802,5599,203
celso ramos,1124,727,3506,3263,243
cerro negro,1547,1011,4555,4184,371
chapadao do lageado,936,637,2666,2556,111
chapeco,60075,38130,122033,117045,4988
cocal do sul,5650,3640,11203,10918,285
concordia,26628,17384,53966,52000,1966
cordilheira alta,1266,848,2864,2764,99
coronel freitas,4271,2875,10504,10269,235
coronel martins,916,616,2316,2218,98
correia pinto,6507,4355,15915,15167,748
corupa,4857,3260,10387,10115,272
criciuma,71537,46303,148284,141429,6856
cunha pora,4330,3025,9868,9484,383
cunhatai,708,509,2136,2046,90
curitibanos,14668,9735,33305,31409,1896
descanso,3737,2528,9462,9159,303
dionisio cerqueira,5613,3746,14346,13892,455
dona emma,1304,888,3383,3271,112
doutor pedrinho,1275,854,2877,2720,157
entre rios,941,628,2296,2209,87
ermo,804,557,2163,2103,60
erval velho,1813,1187,4024,3899,125
faxinal dos guedes,4285,2816,9808,9504,305
flor do sertao,615,436,1723,1700,23
florianopolis,150905,89579,262071,252085,9986
formosa do sul,1022,731,2803,2659,144
forquilhinha,7199,4788,16403,15982,421
fraiburgo,12732,8476,28001,26973,1028
frei rogerio,1048,724,2776,2564,212
galvao,1674,1133,4353,4195,158
garopaba,5183,3433,12779,12377,402
garuva,4221,2854,10643,10228,415
gaspar,19321,12073,39015,38039,977
governador celso ramos,4593,3210,10774,10370,404
grao para,2265,1534,5290,5192,98
gravatal,4430,2992,10854,10400,454
guabiruba,5328,3417,9893,9666,227
guaraciaba,4467,2972,11065,10853,212
guaramirim,9410,6234,19662,19027,635
guaruja do sul,1954,1307,5101,4911,190
guatambu,1719,1172,4594,4489,105
herval d'oeste,8387,5408,18411,17639,772
ibiam,791,527,2158,2089,69
ibicare,1465,1019,3991,3938,53
ibirama,6567,4386,14071,13497,574
icara,19597,12977,44091,42509,1581
ilhota,4245,2787,9766,9461,304
imarui,5420,3783,16590,15814,776
imbituba,15100,9944,34715,32939,1775
imbuia,2005,1348,5087,4910,177
indaial,16820,11063,33309,32340,969
iomere,1067,705,2274,2220,53
ipira,2066,1415,4550,4471,78
ipora do oeste,3161,2104,7991,7905,85
ipuacu,2257,1508,6384,6140,244
ipumirim,2793,1889,6166,6028,138
iraceminha,1827,1302,4772,4672,100
irani,3298,2240,7917,7585,333
irati,844,576,2330,2206,124
irineopolis,3792,2347,9651,9194,457
ita,2695,1788,6099,5861,238
itaiopolis,7338,4517,18458,17746,712
itajai,61852,40219,128518,122388,6130
itapema,10678,6883,21676,20688,988
itapiranga,5473,3457,13240,13047,193
itapoa,3412,2268,8099,7759,340
ituporanga,7875,5099,19395,18834,561
jabora,1732,1189,4389,4269,119
jacinto machado,4428,2894,10844,10560,284
jaguaruna,6056,4028,14522,14282,240
jaragua do sul,44801,28617,83936,81276,2659
jardinopolis,759,509,1994,1929,65
joacaba,10439,6761,20193,19497,696
joinville,177939,114038,344342,330361,13982
jose boiteux,1752,1161,4449,4354,95
jupia,872,631,2725,2529,196
lacerdopolis,926,630,2426,2232,194
lages,66110,42572,143297,134941,8356
laguna,20178,13751,48278,46309,1969
lajeado grande,649,457,1631,1563,68
laurentino,2099,1338,4930,4846,84
lauro muller,5645,3701,13902,13282,620
lebon regis,4237,2913,10824,10274,549
leoberto leal,1424,971,4141,4000,141
lindoia do sul,2004,1380,4774,4549,225
lontras,3435,2318,8358,8156,202
luiz alves,3111,2001,7616,7373,243
luzerna,2410,1590,5338,5171,167
macieira,749,481,2008,1888,120
mafra,20483,13219,46232,44359,1873
major gercino,1261,840,3805,3662,143
major vieira,2656,1714,6678,6280,398
maracaja,2245,1506,5320,4981,338
maravilha,7736,5124,17366,16823,543
marema,1047,734,2822,2675,147
massaranduba,5218,3431,11497,11065,432
matos costa,1184,786,3120,2942,178
meleiro,2848,1863,6860,6563,297
mirim doce,1246,849,3571,3511,60
modelo,1576,1074,4016,3873,143
mondai,3561,2344,8339,8112,228
monte carlo,3139,2133,8053,7723,329
monte castelo,3191,2045,9000,8555,445
morro da fumaca,5815,3856,12070,11698,372
morro grande,1139,670,2486,2361,126
navegantes,15559,10585,35714,34039,1675
nova erechim,1421,925,3537,3447,90
nova itaberaba,1597,1092,4310,4194,116
nova trento,4086,2549,8833,8620,213
nova veneza,4617,2881,10457,10201,255
novo horizonte,1214,791,3177,3138,38
orleans,8135,5404,18213,17791,421
otacilio costa,5528,3831,13501,12413,1088
ouro,3118,2078,6930,6594,336
ouro verde,918,589,2225,2177,48
paial,762,515,2140,2090,50
painel,918,596,2395,2206,188
palhoca,40797,27261,87897,83987,3910
palma sola,3106,2081,8273,7940,333
palmeira,783,560,2309,2122,187
palmitos,6701,4669,16049,15597,452
papanduva,6371,4140,16992,16106,886
paraiso,1847,1257,5035,4830,205
passo de torres,1722,1145,3944,3794,150
passos maia,1672,1125,4644,4465,178
paulo lopes,2311,1607,6043,5788,256
pedras grandes,2089,1397,4886,4712,175
penha,7168,4784,16834,15741,1093
peritiba,1367,888,3218,3170,47
petrolandia,2504,1658,6911,6710,200
picarras,4402,2941,9882,9536,346
pinhalzinho,5014,3308,11761,11413,348
pinheiro preto,1080,698,2480,2415,65
piratuba,2033,1339,4437,4342,94
planalto alegre,982,738,2789,2571,219
pomerode,9506,6177,16179,15827,352
ponte alta,2144,1419,5772,5490,282
ponte alta do norte,1267,855,2997,2789,207
ponte serrada,4049,2784,10243,9861,382
porto belo,4297,2792,9525,9073,452
porto uniao,13285,8648,30353,29104,1250
pouso redondo,5040,3372,13141,12397,745
praia grande,2941,2007,7815,7570,245
presidente castelo branco,880,607,2003,1962,41
presidente getulio,5126,3391,11119,10900,219
presidente nereu,917,620,2912,2844,68
princesa,1045,686,3253,3203,50
quilombo,4201,2750,9818,9563,254
rancho queimado,1051,734,2649,2550,98
rio das antas,2447,1629,6009,5758,251
rio do campo,2546,1719,7091,6794,296
rio do oeste,2710,1798,6877,6596,281
rio do sul,22072,14468,44023,42369,1654
rio dos cedros,3736,2496,8471,8135,336
rio fortuna,1718,1202,4424,4246,178
rio negrinho,14691,9557,32374,30562,1813
rio rufino,861,593,2219,2087,132
riqueza,2012,1427,5480,5203,276
rodeio,4464,2749,8098,7958,140
romelandia,2642,1742,7704,7526,177
salete,2782,1902,7001,6670,331
saltinho,1631,1042,4786,4584,202
salto veloso,1533,1005,3627,3530,96
sangao,3110,2084,7335,7106,229
santa cecilia,5591,3698,14447,13477,970
santa helena,1012,671,2902,2806,97
santa rosa de lima,790,561,1887,1829,58
santa rosa do sul,3115,2083,7610,7440,170
santa terezinha,3204,1872,8890,8593,297
santa terezinha do progresso,1289,873,3815,3744,71
santiago do sul,691,460,1894,1827,67
santo amaro da imperatriz,6286,4135,15216,14562,654
sao bento do sul,26339,16456,51141,49063,2078
sao bernardino,1141,763,3154,3053,101
sao bonifacio,1274,941,2933,2881,52
sao carlos,3920,2595,9511,9249,262
sao cristovao do sul,1596,1034,3768,3618,150
sao domingos,3895,2637,9512,9142,369
sao francisco do sul,13122,8645,30180,28608,1572
sao joao batista,6146,3924,13427,13033,394
sao joao do itaperiu,1213,825,3467,3286,181
sao joao do oeste,2347,1557,5914,5850,64
sao joao do sul,2665,1842,6785,6623,162
sao joaquim,9440,6263,21007,19692,1315
sao jose,74337,46471,138576,133738,4838
sao jose do cedro,5537,3664,13851,13585,266
sao jose do cerrito,4086,2675,11905,11102,802
sao lourenco do oeste,8012,5243,18710,18078,633
sao ludgero,3360,2254,7038,6919,120
sao martinho,1331,916,3120,3065,55
sao miguel da boa vista,804,569,2059,2038,21
sao miguel do oeste,13738,8853,28989,28459,530
sao pedro de alcantara,1470,939,3922,3696,226
saudades,3298,2213,8031,7863,168
schroeder,4280,2795,8428,8224,204
seara,6660,4363,14090,13665,425
serra alta,1329,911,3545,3526,20
sideropolis,5015,3269,11193,10889,305
sombrio,9298,6067,20356,19497,859
sul brasil,1201,810,3330,3187,144
taio,6533,4480,16510,15910,600
tangara,3597,2340,8517,8057,459
tigrinhos,733,484,1825,1775,50
tijucas,9638,6212,21651,21120,531
timbe do sul,2144,1429,5218,5071,147
timbo,12527,8043,23070,22449,621
timbo grande,2299,1517,6439,6023,416
tres barras,6597,4246,16474,15508,966
treviso,1323,855,3130,2987,143
treze de maio,2688,1801,6341,6058,283
treze tilias,1960,1262,4668,4539,129
trombudo central,2405,1581,5277,5068,209
tubarao,38790,25024,77277,74249,3029
tunapolis,1878,1247,5247,5189,58
turvo,4548,2826,10070,9865,205
uniao do oeste,1362,881,3918,3714,203
urubici,4053,2685,9876,9473,403
urupema,1009,637,2256,2187,69
urussanga,8127,5160,16586,15865,721
vargeao,1373,916,3415,3333,82
vargem,1272,755,2663,2564,99
vargem bonita,1996,1377,4651,4468,183
vidal ramos,2348,1574,6088,5834,254
videira,17009,10997,34556,32965,1591
vitor meireles,1973,1315,5776,5628,148
witmarsum,1263,820,3303,3175,128
xanxere,15633,10352,35066,33669,1397
xavantina,1777,1148,3996,3885,110
xaxim,9346,6235,21073,20417,655
zortea,1056,681,2534,2446,88
