city,total,married,separated,divorced,widow,single
abdon batista,2267,1262,5,0,52,949
abelardo luz,12586,5492,182,90,519,6303
agrolandia,6420,3353,161,62,233,2610
agronomica,3491,1894,62,31,137,1367
agua doce,5478,2714,81,34,249,2401
aguas de chapeco,4755,2236,43,68,225,2184
aguas frias,2053,1146,20,5,62,820
aguas mornas,4396,2333,67,20,156,1820
alfredo wagner,7032,3831,163,38,301,2700
alto bela vista,1837,953,4,33,118,729
anchieta,5721,2955,77,53,283,2353
angelina,4896,2509,37,19,227,2106
anita garibaldi,8391,3968,77,78,426,3842
anitapolis,2698,1421,24,20,156,1078
antonio carlos,5294,2983,75,18,176,2042
apiuna,6860,3235,116,104,345,3060
arabuta,3560,2019,40,17,183,1301
araquari,17732,6721,262,358,754,9637
ararangua,44776,18693,991,963,2078,22051
armazem,5678,3076,104,64,296,2138
arroio trinta,2920,1714,52,8,136,1009
arvoredo,1910,1034,2,7,66,801
ascurra,5785,2661,152,107,324,2541
atalanta,2800,1541,25,19,136,1080
aurora,4453,2459,75,34,188,1697
balneario arroio do silva,4969,1891,189,226,285,2378
balneario barra do sul,4919,1964,186,133,277,2359
balneario camboriu,61594,23613,2113,2492,3165,30212
balneario gaivota,4403,1829,126,99,172,2177
bandeirante,2571,1265,13,11,124,1158
barra bonita,1710,913,9,10,81,698
barra velha,12472,4839,409,320,661,6243
bela vista do toldo,4524,2324,32,16,253,1899
belmonte,2107,1108,18,7,86,887
benedito novo,7610,4239,91,92,352,2836
biguacu,38327,15317,1047,687,1562,19714
blumenau,217899,94821,6795,5046,9832,101404
bocaina do sul,2413,1288,23,8,130,965
bom jardim da serra,3245,1476,55,36,101,1578
bom jesus,1628,713,14,7,75,819
bom jesus do oeste,1810,1086,1,0,80,643
bom retiro,6221,2936,147,72,349,2716
bombinhas,7000,2856,188,224,269,3463
botuvera,3186,1993,29,8,92,1064
braco do norte,19755,10609,357,200,711,7878
braco do trombudo,2682,1430,63,42,198,950
brunopolis,2615,1221,2,54,116,1222
brusque,63932,31598,1563,1343,2775,26653
cacador,49978,21641,1451,709,2332,23845
caibi,5233,2558,84,70,249,2272
calmon,2522,1031,29,35,104,1323
camboriu,32040,13271,806,612,1526,15825
campo alegre,9371,4305,160,57,395,4453
campo belo do sul,6506,2937,55,31,293,3190
campo ere,7941,3285,80,56,316,4204
campos novos,22885,10597,650,282,1218,10138
canelinha,7270,3373,187,73,357,3280
canoinhas,41358,17540,909,465,2249,20194
capao alto,2452,1211,45,17,101,1078
capinzal,16155,8796,385,183,667,6124
capivari de baixo,15240,6574,350,372,693,7252
catanduvas,6487,3152,132,63,256,2884
caxambu do sul,4339,2296,56,58,204,1725
celso ramos,2302,1284,21,15,126,857
cerro negro,3254,1638,30,17,149,1420
chapadao do lageado,1979,1125,11,5,81,757
chapeco,117918,51291,2905,1909,4431,57381
cocal do sul,11275,5748,197,140,438,4753
concordia,52378,25798,915,634,2182,22849
cordilheira alta,2577,1441,2,1,133,1000
coronel freitas,8740,4922,89,52,360,3317
coronel martins,1880,1001,36,5,60,777
correia pinto,13248,6678,172,124,613,5661
corupa,9844,4617,286,79,593,4269
criciuma,139837,62084,3214,2991,6531,65018
cunha pora,8573,4817,163,39,537,3017
cunhatai,1499,908,0,0,78,514
curitibanos,28652,12689,682,417,1487,13377
descanso,7562,4014,65,56,304,3123
dionisio cerqueira,11255,4771,203,95,602,5584
dona emma,2706,1459,22,15,113,1097
doutor pedrinho,2583,1323,19,22,171,1049
entre rios,2048,1021,10,35,48,934
ermo,1671,847,18,18,52,736
erval velho,3578,1886,80,45,173,1394
faxinal dos guedes,8570,4045,77,43,374,4032
flor do sertao,1287,700,28,0,57,501
florianopolis,290047,109152,9034,9501,12775,149586
formosa do sul,2174,1211,0,4,57,902
forquilhinha,14594,7134,270,227,490,6473
fraiburgo,25704,12715,670,309,884,11125
frei rogerio,2260,1236,23,4,86,911
galvao,3357,1528,24,43,160,1602
