city,total
abdon batista,1392
abelardo luz,7243
agrolandia,4019
agronomica,2141
agua doce,3151
aguas de chapeco,2758
aguas frias,1197
aguas mornas,2542
alfredo wagner,4308
alto bela vista,1036
anchieta,3300
angelina,2587
anita garibaldi,4522
anitapolis,1572
antonio carlos,3200
apiuna,3922
arabuta,2110
araquari,10419
ararangua,24782
armazem,3464
arroio trinta,1801
arvoredo,1141
ascurra,3368
atalanta,1638
aurora,2679
balneario arroio do silva,2866
balneario barra do sul,2833
balneario camboriu,31836
balneario gaivota,2628
bandeirante,1508
barra bonita,1110
barra velha,6963
bela vista do toldo,2514
belmonte,1244
benedito novo,4604
biguacu,21290
blumenau,123825
bocaina do sul,1387
bom jardim da serra,1847
bom jesus,983
bom jesus do oeste,1107
bom retiro,3622
bombinhas,4102
botuvera,2057
braco do norte,12076
braco do trombudo,1569
brunopolis,1518
brusque,36851
cacador,28318
caibi,3012
calmon,1422
camboriu,18397
campo alegre,5247
campo belo do sul,3454
campo ere,4384
campos novos,13173
canelinha,4290
canoinhas,21824
capao alto,1425
capinzal,9138
capivari de baixo,8722
catanduvas,3896
caxambu do sul,2586
celso ramos,1311
cerro negro,1707
chapadao do lageado,1194
chapeco,66685
cocal do sul,6641
concordia,30704
cordilheira alta,1544
coronel freitas,5111
coronel martins,1165
correia pinto,7604
corupa,5489
criciuma,77512
cunha pora,5259
cunhatai,908
curitibanos,15725
descanso,4471
dionisio cerqueira,6003
dona emma,1660
doutor pedrinho,1518
entre rios,1207
ermo,943
erval velho,2063
faxinal dos guedes,5026
flor do sertao,783
florianopolis,145100
formosa do sul,1378
forquilhinha,8585
fraiburgo,14984
frei rogerio,1425
galvao,1890
garopaba,6196
garuva,4915
gaspar,21886
governador celso ramos,5880
grao para,2843
gravatal,5095
guabiruba,6704
guaraciaba,5482
guaramirim,11431
guaruja do sul,2289
guatambu,2112
herval d'oeste,9055
ibiam,975
ibicare,1826
ibirama,7654
icara,23199
ilhota,5019
imarui,6062
imbituba,16483
imbuia,2573
indaial,19648
iomere,1296
ipira,2420
ipora do oeste,3869
ipuacu,2655
ipumirim,3535
iraceminha,2282
irani,3962
irati,1053
irineopolis,4117
ita,3338
itaiopolis,7571
itajai,65330
itapema,12284
itapiranga,6510
itapoa,4066
ituporanga,9192
jabora,2060
jacinto machado,5058
jaguaruna,7078
jaragua do sul,51567
jardinopolis,903
joacaba,10858
joinville,198563
jose boiteux,2125
jupia,1070
lacerdopolis,1013
lages,67725
laguna,21999
lajeado grande,731
laurentino,2480
lauro muller,6308
lebon regis,5259
leoberto leal,1862
lindoia do sul,2560
lontras,4051
luiz alves,3725
luzerna,2779
macieira,874
mafra,21754
major gercino,1513
major vieira,3003
maracaja,2672
maravilha,9002
marema,1325
massaranduba,6208
matos costa,1425
meleiro,3449
mirim doce,1482
modelo,1910
mondai,3996
monte carlo,3827
monte castelo,3459
morro da fumaca,7003
morro grande,1432
navegantes,17614
nova erechim,1717
nova itaberaba,2044
nova trento,4694
nova veneza,5336
novo horizonte,1478
orleans,9819
otacilio costa,6813
ouro,3799
ouro verde,1102
paial,975
painel,1156
palhoca,45932
palma sola,3504
palmeira,1091
palmitos,8073
papanduva,6878
paraiso,2300
passo de torres,2023
passos maia,2100
paulo lopes,2914
pedras grandes,2499
penha,8446
peritiba,1595
petrolandia,3207
picarras,4805
pinhalzinho,5784
pinheiro preto,1309
piratuba,2365
planalto alegre,1207
pomerode,11800
ponte alta,2358
ponte alta do norte,1446
ponte serrada,4798
porto belo,5082
porto uniao,14170
pouso redondo,5713
praia grande,3407
presidente castelo branco,1109
presidente getulio,6267
presidente nereu,1072
princesa,1223
quilombo,5214
rancho queimado,1295
rio das antas,2960
rio do campo,3044
rio do oeste,3310
rio do sul,24112
rio dos cedros,4476
rio fortuna,2262
rio negrinho,16703
rio rufino,1103
riqueza,2421
rodeio,5064
romelandia,2884
salete,3475
saltinho,1878
salto veloso,1871
sangao,3770
santa cecilia,6366
santa helena,1185
santa rosa de lima,1023
santa rosa do sul,3909
santa terezinha,3503
santa terezinha do progresso,1442
santiago do sul,888
santo amaro da imperatriz,7163
sao bento do sul,29471
sao bernardino,1437
sao bonifacio,1762
sao carlos,4545
sao cristovao do sul,1805
sao domingos,4693
sao francisco do sul,14145
sao joao batista,7058
sao joao do itaperiu,1485
sao joao do oeste,2825
sao joao do sul,3243
sao joaquim,10927
sao jose,75478
sao jose do cedro,6623
sao jose do cerrito,4989
sao lourenco do oeste,9210
sao ludgero,4219
sao martinho,1656
sao miguel da boa vista,960
sao miguel do oeste,15443
sao pedro de alcantara,1757
saudades,3950
schroeder,5414
seara,8089
serra alta,1600
sideropolis,5686
sombrio,10700
sul brasil,1504
taio,7861
tangara,4302
tigrinhos,894
tijucas,10688
timbe do sul,2519
timbo,14813
timbo grande,2764
tres barras,7258
treviso,1550
treze de maio,3279
treze tilias,2227
trombudo central,2798
tubarao,41417
tunapolis,2293
turvo,5258
uniao do oeste,1597
urubici,4623
urupema,1208
urussanga,9091
vargeao,1636
vargem,1494
vargem bonita,2322
vidal ramos,2892
videira,19343
vitor meireles,2452
witmarsum,1493
xanxere,17015
xavantina,2210
xaxim,10929
zortea,1225
