city,total,has_children,children_born,children_borned_live,children_borned_dead
adamantina,14886,9757,32226,31061,1165
adolfo,1541,1059,3456,3374,82
aguai,11574,7757,25060,24047,1013
aguas da prata,3058,1942,6331,6039,292
aguas de lindoia,6879,4244,12769,12241,528
aguas de santa barbara,2125,1421,4438,4215,222
aguas de sao pedro,901,555,1562,1507,55
agudos,13361,8393,28272,26939,1333
alambari,1430,956,3744,3562,182
alfredo marcondes,1534,1025,3500,3404,96
altair,1396,902,3413,3299,114
altinopolis,6356,4097,13910,13386,524
alto alegre,1775,1195,4349,4128,220
aluminio,6051,3832,12895,11977,918
alvares florence,1815,1279,4296,4145,151
alvares machado,9248,6197,21425,20135,1290
alvaro de carvalho,1345,901,3786,3642,144
alvinlandia,1151,778,3211,3004,207
americana,79044,49795,148189,142198,5992
americo brasiliense,11129,7318,23219,22074,1145
americo de campos,2405,1641,5352,5080,272
amparo,25690,16256,50020,47317,2703
analandia,1452,939,3176,3130,46
andradina,23788,16201,55376,52519,2857
angatuba,7639,5064,18101,17052,1049
anhembi,1784,1179,4294,4123,171
anhumas,1350,888,3386,3257,129
aparecida,14899,9285,30153,28817,1337
aparecida d'oeste,2103,1488,5092,4819,273
apiai,10422,6575,25842,23977,1865
aracariguama,4283,2707,9482,8934,548
aracatuba,74925,48902,150330,144714,5617
aracoiaba da serra,8213,5211,16646,15989,657
aramina,1981,1303,4118,3818,300
arandu,2378,1558,5473,5067,406
arapei,1078,675,2767,2605,162
araraquara,80607,50850,147391,141063,6327
araras,43900,27772,84251,80691,3560
arco-iris,888,583,2191,2003,188
arealva,2959,1997,6493,6087,406
areias,1406,901,3648,3474,173
areiopolis,3907,2623,9587,9068,519
ariranha,3134,2161,6383,6231,153
artur nogueira,13502,8616,26935,25654,1281
aruja,23826,14720,47577,44865,2712
aspasia,754,498,1745,1705,40
assis,38457,25463,77812,74577,3235
atibaia,46671,28885,90334,85392,4942
auriflama,5725,3820,12970,12278,691
avai,1787,1213,4250,3964,287
avanhandava,3552,2427,8819,8461,359
avare,31903,20581,66512,62971,3542
bady bassitt,4774,3205,9251,8824,428
balbinos,517,386,1287,1248,40
balsamo,3183,2192,6421,6181,241
bananal,4006,2491,9299,8760,539
barao de antonina,1126,750,2842,2667,175
barbosa,2338,1582,6002,5733,270
bariri,11881,7868,24988,24268,719
barra bonita,15133,9696,29636,27973,1663
barra do chapeu,1733,1063,4417,4176,241
barra do turvo,2854,1878,8213,7684,529
barretos,45414,29254,90664,86080,4584
barrinha,9451,6114,20203,19091,1113
barueri,84529,51638,156604,148642,7961
bastos,8523,5680,20336,19403,933
batatais,21615,14011,42859,41207,1652
bauru,136796,87057,263054,251560,11494
bebedouro,31741,20464,65037,62852,2185
bento de abreu,970,667,2253,2200,53
bernardino de campos,4556,3053,10342,9934,408
bertioga,11377,7329,22160,21047,1113
bilac,2658,1773,5904,5694,211
birigui,40721,26309,82510,79144,3366
biritiba-mirim,9586,6187,22784,21807,977
boa esperanca do sul,4961,3314,11479,10910,569
bocaina,3974,2608,8489,7989,501
bofete,2856,1908,6927,6669,258
boituva,13961,8816,28625,27310,1316
bom jesus dos perdoes,5354,3331,11575,11040,535
bom sucesso de itarare,1137,758,3039,2832,207
bora,285,240,887,830,57
boraceia,1599,1040,3423,3268,155
borborema,5527,3653,11919,11634,285
borebi,743,546,2222,2092,129
botucatu,46826,29530,90449,86371,4078
braganca paulista,52914,33126,103730,98137,5593
brauna,1774,1202,4231,4038,193
brejo alegre,918,614,2151,2069,83
brodowski,7005,4581,14584,13630,954
brotas,7690,5138,15674,14919,755
buri,6569,4338,16417,15564,853
buritama,5899,4040,12966,12424,542
buritizal,1527,1046,3385,3248,137
cabralia paulista,1841,1214,4405,4130,274
cabreuva,12721,8322,27794,25944,1850
cacapava,31728,19827,63872,60581,3291
cachoeira paulista,11481,6949,25823,24271,1552
caconde,7214,4701,18496,16895,1601
cafelandia,6688,4527,16705,15780,925
caiabu,1643,1048,4189,4023,167
caieiras,29063,18184,56719,53540,3179
caiua,1663,1101,4535,4324,210
cajamar,20044,12525,41476,38619,2857
cajati,10895,6955,27866,25946,1920
cajobi,3742,2515,7920,7664,256
cajuru,8543,5463,17337,16540,797
campina do monte alegre,2042,1319,4955,4783,171
campinas,423334,256633,741708,708908,32800
campo limpo paulista,26059,16262,52463,49862,2601
campos do jordao,17869,11229,36567,35225,1343
campos novos paulista,1653,1149,4031,3865,166
cananeia,4749,3053,11713,11069,645
canas,1378,869,3586,3382,204
candido mota,12268,8241,26353,24949,1404
candido rodrigues,1145,749,2262,2215,47
canitar,1349,896,3306,3184,122
capao bonito,18436,11291,42758,39920,2838
capela do alto,5501,3668,13358,12703,656
capivari,17125,10855,35150,34014,1137
caraguatatuba,31712,20467,66874,64050,2823
carapicuiba,142573,86948,273611,255806,17804
cardoso,4957,3347,11518,11009,509
casa branca,10508,6641,21420,20500,920
cassia dos coqueiros,1128,701,2477,2347,130
castilho,6235,4158,15373,14342,1031
catanduva,46315,30741,87707,84130,3577
catigua,2674,1839,5626,5441,185
cedral,2877,1931,5787,5475,312
cerqueira cesar,6261,4186,13961,13347,614
cerquilho,12423,7967,23324,22324,1000
cesario lange,5042,3133,10491,10010,481
charqueada,5271,3366,11640,11034,606
chavantes,5025,3315,11438,10857,581
clementina,2156,1411,4837,4585,252
colina,6966,4565,16303,15648,654
colombia,2318,1539,5466,5225,241
conchal,8850,5852,20016,18953,1063
conchas,6113,4012,13866,13285,581
cordeiropolis,7258,4763,14087,13477,610
coroados,1829,1204,3953,3694,259
coronel macedo,2160,1395,5258,5079,179
corumbatai,1533,943,2921,2791,129
cosmopolis,18289,11755,34805,33346,1459
cosmorama,3126,2188,7241,7006,235
cotia,61162,37352,115995,108599,7395
cravinhos,11527,7206,23455,22236,1219
cristais paulista,2569,1620,5917,5616,301
cruzalia,1104,729,2438,2400,37
cruzeiro,31222,19673,66580,62883,3697
cubatao,43688,27482,85364,80993,4371
cunha,8888,5633,23395,22063,1333
descalvado,12235,7847,25787,24662,1126
diadema,148901,90161,277017,260585,16432
dirce reis,669,463,1779,1748,31
divinolandia,4926,3256,10610,10101,509
dobrada,2694,1729,5896,5734,162
dois corregos,9338,6339,20558,19633,925
dolcinopolis,921,649,2361,2289,72
dourado,3549,2442,7513,7242,271
dracena,17999,11670,39635,37522,2113
duartina,5431,3416,12090,11546,544
dumont,2569,1621,5163,4983,180
echapora,2786,1878,7421,7129,292
eldorado,5110,3235,13559,12545,1014
elias fausto,5455,3489,12722,11945,777
elisiario,1040,734,2378,2249,129
embauba,1012,726,2368,2282,85
embu,84240,49670,156207,146702,9505
embu-guacu,22716,14143,45533,43020,2513
emilianopolis,1217,779,2866,2703,163
engenheiro coelho,3915,2352,7528,7270,258
espirito santo do pinhal,17246,10884,33846,32090,1755
espirito santo do turvo,1415,937,3266,3009,257
estiva gerbi,3477,2275,7748,7251,497
estrela do norte,1036,661,2958,2910,48
estrela d'oeste,3465,2373,8127,7903,224
euclides da cunha paulista,3939,2544,10808,10233,575
fartura,6239,3968,14532,13458,1074
fernando prestes,2374,1612,4830,4620,210
fernandopolis,26891,17965,56180,53811,2369
fernao,577,370,1308,1239,69
ferraz de vasconcelos,56889,35220,116332,109108,7224
flora rica,914,648,2595,2465,130
floreal,1412,1022,3363,3234,129
florida paulista,4629,3122,11738,10944,794
florinia,1306,884,2982,2815,167
franca,120102,76603,239093,227940,11153
francisco morato,51763,32365,109767,103916,5851
franco da rocha,42008,25655,82973,77889,5084
gabriel monteiro,1135,753,2637,2517,120
galia,3199,2108,7772,7362,410
garca,18447,11872,41834,39870,1963
gastao vidigal,1525,1029,3415,3346,69
gaviao peixoto,1581,1028,3478,3236,242
general salgado,4517,3040,10231,9701,530
getulina,3942,2620,9347,8900,447
glicerio,1792,1235,4448,4235,214
guaicara,3745,2496,8503,8144,360
guaimbe,2138,1434,5499,5241,258
guaira,14455,9541,29896,28692,1204
