city,total
adamantina,15276
adolfo,1836
aguai,12152
aguas da prata,3178
aguas de lindoia,7146
aguas de santa barbara,2470
aguas de sao pedro,869
agudos,13336
alambari,1515
alfredo marcondes,1742
altair,1555
altinopolis,6928
alto alegre,2085
aluminio,6697
alvares florence,2165
alvares machado,10606
alvaro de carvalho,1361
alvinlandia,1264
americana,84591
americo brasiliense,12263
americo de campos,2759
amparo,26809
analandia,1645
andradina,24535
angatuba,8875
anhembi,1919
anhumas,1397
aparecida,13297
aparecida d'oeste,2529
apiai,10692
aracariguama,4884
aracatuba,74526
aracoiaba da serra,9015
aramina,2276
arandu,2561
arapei,1000
araraquara,80470
araras,47092
arco-iris,960
arealva,3607
areias,1459
areiopolis,4502
ariranha,3791
artur nogueira,15208
aruja,24916
aspasia,882
assis,38035
atibaia,48340
auriflama,6411
avai,2025
avanhandava,3858
avare,31542
bady bassitt,5728
balbinos,628
balsamo,3698
bananal,3704
barao de antonina,1208
barbosa,2442
bariri,12950
barra bonita,16262
barra do chapeu,1926
barra do turvo,3161
barretos,43464
barrinha,10146
barueri,86187
bastos,9556
batatais,23106
bauru,135797
bebedouro,32678
bento de abreu,1068
bernardino de campos,4662
bertioga,12760
bilac,2910
birigui,43511
biritiba-mirim,10306
boa esperanca do sul,5566
bocaina,4193
bofete,3162
boituva,15305
bom jesus dos perdoes,5657
bom sucesso de itarare,1310
bora,418
boraceia,1609
borborema,6289
borebi,786
botucatu,46030
braganca paulista,52422
brauna,2079
brejo alegre,1021
brodowski,7843
brotas,8535
buri,7413
buritama,6565
buritizal,1731
cabralia paulista,2009
cabreuva,14649
cacapava,31793
cachoeira paulista,10507
caconde,7828
cafelandia,6846
caiabu,1813
caieiras,29156
caiua,1791
cajamar,21099
cajati,11911
cajobi,4372
cajuru,9020
campina do monte alegre,2183
campinas,414858
campo limpo paulista,27218
campos do jordao,17564
campos novos paulista,1903
cananeia,4688
canas,1454
candido mota,14319
candido rodrigues,1321
canitar,1515
capao bonito,18643
capela do alto,6260
capivari,18006
caraguatatuba,32796
carapicuiba,140277
cardoso,5155
casa branca,10631
cassia dos coqueiros,1264
castilho,6680
catanduva,48893
catigua,3272
cedral,3315
cerqueira cesar,6669
cerquilho,13792
cesario lange,5864
charqueada,5924
chavantes,5295
clementina,2482
colina,7284
colombia,2596
conchal,9624
conchas,6564
cordeiropolis,8067
coroados,2085
coronel macedo,2650
corumbatai,1655
cosmopolis,19751
cosmorama,3716
cotia,61969
cravinhos,12314
cristais paulista,2801
cruzalia,1195
cruzeiro,29036
cubatao,44317
cunha,9591
descalvado,12726
diadema,146207
dirce reis,785
divinolandia,5649
dobrada,3021
dois corregos,10241
dolcinopolis,985
dourado,4018
dracena,18625
duartina,5469
dumont,2931
echapora,2934
eldorado,5502
elias fausto,6060
elisiario,1310
embauba,1195
embu,82388
embu-guacu,23451
emilianopolis,1397
engenheiro coelho,4305
espirito santo do pinhal,17441
espirito santo do turvo,1560
estiva gerbi,3839
estrela do norte,1142
estrela d'oeste,3907
euclides da cunha paulista,3997
fartura,6464
fernando prestes,2674
fernandopolis,28944
fernao,678
ferraz de vasconcelos,57445
flora rica,1041
floreal,1656
florida paulista,5176
florinia,1415
franca,122498
francisco morato,53152
franco da rocha,41499
gabriel monteiro,1385
galia,3462
garca,18588
gastao vidigal,1723
gaviao peixoto,1801
general salgado,5087
getulina,4184
glicerio,2026
guaicara,4142
guaimbe,2231
guaira,15270
guapiacu,6896
guapiara,7959
guara,8178
guaracai,4256
guaraci,3789
guarani d'oeste,899
guaranta,2821
guararapes,12983
guararema,9313
guaratingueta,42753
guarei,4744
guariba,13176
guaruja,108042
guarulhos,440664
guatapara,2768
guzolandia,1935
herculandia,3603
holambra,3448
hortolandia,66961
iacanga,3638
iacri,3070
iaras,1299
ibate,11775
ibira,4456
ibirarema,2536
ibitinga,20919
ibiuna,27883
icem,3028
iepe,3172
igaracu do tiete,10295
igarapava,11003
igarata,3541
iguape,10646
ilha comprida,2961
ilha solteira,10906
ilhabela,8857
indaiatuba,65619
indiana,2211
indiapora,1925
inubia paulista,1487
ipaussu,5564
ipero,7476
ipeuna,1909
ipigua,1804
iporanga,1618
ipua,5431
iracemapolis,7485
irapua,3106
irapuru,3592
itabera,8404
itai,9080
itajobi,7279
itaju,1330
itanhaem,29371
itaoca,1205
itapecerica da serra,51903
itapetininga,51815
itapeva,33379
itapevi,64442
itapira,26903
itapirapua paulista,1414
itapolis,17576
itaporanga,5792
itapui,4464
itapura,1674
itaquaquecetuba,109183
itarare,18760
itariri,5306
itatiba,35572
itatinga,6528
itirapina,4777
itirapua,2302
itobi,3172
itu,58869
itupeva,11832
ituverava,15563
jaborandi,2845
jaboticabal,29972
jacarei,79950
jaci,1898
jacupiranga,7008
jaguariuna,13015
jales,21632
jambeiro,1854
jandira,38165
jardinopolis,13324
jarinu,7497
jau,50849
jeriquara,1290
joanopolis,4505
joao ramalho,1771
jose bonifacio,13534
julio mesquita,1659
jumirim,974
jundiai,144794
junqueiropolis,7787
juquia,8130
juquitiba,10676
lagoinha,1974
laranjal paulista,10330
lavinia,2321
lavrinhas,2431
leme,35077
lencois paulista,24538
limeira,111061
lindoia,2402
lins,28738
lorena,30762
lourdes,963
louveira,10452
lucelia,7804
lucianopolis,976
luis antonio,3071
luiziania,1932
lupercio,1712
lutecia,1290
macatuba,6815
macaubal,3743
macedonia,1827
magda,1712
mairinque,17742
mairipora,25283
manduri,3878
maraba paulista,1782
maracai,5868
marapoama,1165
mariapolis,1752
marilia,84860
marinopolis,1059
martinopolis,9301
matao,32984
maua,153234
mendonca,1950
meridiano,1948
mesopolis,847
miguelopolis,8229
mineiros do tiete,5191
mira estrela,1337
miracatu,8857
mirandopolis,10876
mirante do paranapanema,6856
mirassol,22461
mirassolandia,1860
mococa,27385
mogi guacu,55386
moji das cruzes,132542
moji-mirim,36018
mombuca,1314
moncoes,1048
mongagua,14429
monte alegre do sul,3104
monte alto,20438
monte aprazivel,8944
monte azul paulista,8729
monte castelo,1847
monte mor,16027
monteiro lobato,1448
morro agudo,10802
morungaba,4358
motuca,1714
murutinga do sul,2015
nantes,973
narandiba,1502
natividade da serra,2947
nazare paulista,6308
neves paulista,4443
nhandeara,4873
nipoa,1537
nova alianca,2316
nova campina,3047
nova canaa paulista,1266
nova castilho,488
nova europa,3447
nova granada,7632
nova guataporanga,1027
nova independencia,909
nova luzitania,1238
nova odessa,19347
novais,1461
novo horizonte,15526
nuporanga,2862
ocaucu,1898
oleo,1460
olimpia,20693
onda verde,1637
oriente,2537
orindiuva,1943
orlandia,15804
osasco,269399
oscar bressane,1235
osvaldo cruz,13837
ourinhos,40524
ouro verde,3194
ouroeste,2874
pacaembu,5622
palestina,4457
palmares paulista,3874
palmeira d'oeste,5018
palmital,9638
panorama,6034
paraguacu paulista,17398
paraibuna,6854
paraiso,2642
paranapanema,6785
paranapua,1662
parapua,5239
pardinho,2227
pariquera-acu,7262
parisi,1003
patrocinio paulista,4959
pauliceia,2343
paulinia,22402
paulistania,892
paulo de faria,3679
pederneiras,16470
pedra bela,2484
pedranopolis,1390
pedregulho,6275
pedreira,15779
pedrinhas paulista,1363
pedro de toledo,3724
penapolis,24387
pereira barreto,10862
pereiras,2779
peruibe,21475
piacatu,2176
piedade,21171
pilar do sul,10422
pindamonhangaba,51433
pindorama,6208
pinhalzinho,4952
piquerobi,1630
piquete,6025
piracaia,9580
piracicaba,144326
piraju,11855
pirajui,7893
pirangi,4925
pirapora do bom jesus,5116
pirapozinho,10046
pirassununga,28328
piratininga,4450
pitangueiras,13518
planalto,1677
platina,1340
poa,38977
poloni,2320
pompeia,7993
pongai,1780
pontal,12649
pontalinda,1528
pontes gestal,1245
populina,2200
porangaba,3214
porto feliz,20571
porto ferreira,20892
potim,5244
potirendaba,7003
pracinha,549
pradopolis,5780
praia grande,81458
pratania,1712
presidente alves,1837
presidente bernardes,6595
presidente epitacio,16699
presidente prudente,83138
presidente venceslau,15800
promissao,13524
quadra,1272
quata,5251
queiroz,950
queluz,3513
quintana,2476
rafard,3720
rancharia,12510
redencao da serra,1718
regente feijo,7902
reginopolis,2150
registro,20732
restinga,2304
ribeira,1453
ribeirao bonito,4850
ribeirao branco,8343
ribeirao corrente,1673
ribeirao do sul,1916
ribeirao dos indios,1095
ribeirao grande,3005
ribeirao pires,44461
ribeirao preto,211527
rifaina,1477
rincao,4394
rinopolis,4868
rio claro,74431
rio das pedras,10540
rio grande da serra,15151
riolandia,3301
riversul,2930
rosana,10875
roseira,3386
rubiacea,994
rubineia,1360
sabino,2396
sagres,1062
sales,2063
sales oliveira,4374
salesopolis,5879
salmourao,2075
