city,total,married,separated,divorced,widow,single
amparo de sao francisco,1693,465,21,0,83,1124
aquidaba,14238,3909,210,180,579,9360
aracaju,379641,118873,8463,9231,15362,227712
araua,7450,1159,69,39,244,5939
areia branca,11196,2263,93,78,381,8382
barra dos coqueiros,13682,3843,207,175,574,8884
boquim,18715,3527,243,165,632,14149
brejo grande,5132,1251,55,33,155,3639
campo do brito,11883,3599,159,38,509,7578
canhoba,2957,838,5,18,69,2026
caninde de sao francisco,12809,4046,54,113,284,8312
capela,20377,4894,208,109,812,14353
carira,13799,4226,166,97,566,8742
carmopolis,7066,1940,112,108,260,4646
cedro de sao joao,4354,1301,43,39,152,2819
cristinapolis,10520,1707,41,48,105,8620
cumbe,2859,771,54,19,90,1925
divina pastora,2488,512,55,10,95,1816
estancia,45756,9708,480,350,1365,33853
feira nova,3841,1073,37,12,183,2536
frei paulo,9210,3122,30,92,298,5668
gararu,8635,2594,105,26,321,5588
general maynard,1869,420,15,41,114,1280
gracho cardoso,4333,1525,68,10,130,2599
ilha das flores,6103,1667,59,17,197,4163
indiaroba,9621,1668,44,50,229,7630
itabaiana,60074,19814,755,570,2032,36903
itabaianinha,26949,5575,74,46,610,20645
itabi,4102,1605,53,39,187,2217
itaporanga d'ajuda,19171,3920,157,161,553,14380
japaratuba,11079,2273,89,74,380,8263
japoata,9986,2961,86,62,319,6558
lagarto,64869,20333,535,584,2361,41055
laranjeiras,18030,3736,224,153,685,13232
macambira,4548,1707,14,74,263,2490
malhada dos bois,2435,612,22,16,36,1750
malhador,8825,2252,72,36,179,6286
maruim,11880,3045,138,148,459,8089
moita bonita,8613,2949,101,42,327,5195
monte alegre de sergipe,8582,2685,26,52,260,5559
muribeca,5484,1170,59,79,127,4050
neopolis,14223,4856,154,93,566,8554
nossa senhora aparecida,6482,2241,34,66,197,3944
nossa senhora da gloria,20829,7084,175,163,584,12823
nossa senhora das dores,17206,4529,169,272,690,11547
nossa senhora de lourdes,4623,1477,47,25,156,2918
nossa senhora do socorro,99624,31380,1862,1862,2285,62235
pacatuba,8655,2605,55,36,346,5614
pedra mole,2079,677,22,26,95,1260
pedrinhas,5990,978,23,36,161,4792
pinhao,4145,1365,36,28,133,2583
pirambu,5472,1246,55,62,229,3880
poco redondo,18609,5966,79,40,328,12196
poco verde,15572,5140,125,32,694,9580
porto da folha,19295,6839,136,59,546,11715
propria,21481,7791,514,243,1053,11880
riachao do dantas,14476,4340,101,52,661,9323
riachuelo,6320,1445,116,66,237,4456
ribeiropolis,12311,4213,146,142,515,7295
rosario do catete,5443,1298,90,90,191,3775
salgado,14423,4659,119,195,543,8908
santa luzia do itanhy,10106,1883,44,21,354,7805
santa rosa de lima,2745,568,9,10,79,2080
santana do sao francisco,4595,1373,74,20,176,2953
santo amaro das brotas,8343,1877,57,67,283,6059
sao cristovao,49820,14403,913,859,2033,31612
sao domingos,7171,2582,55,64,212,4257
sao francisco,1975,645,11,9,33,1277
sao miguel do aleixo,2659,731,7,9,93,1819
simao dias,28846,8342,439,246,1061,18758
siriri,5277,1301,87,9,137,3742
telha,2016,620,4,17,58,1317
tobias barreto,33591,7410,342,200,840,24799
tomar do geru,9484,1354,27,17,87,7999
umbauba,14496,2935,50,37,296,11179
