city,total
amparo de sao francisco,741
aquidaba,7097
aracaju,165045
araua,3140
areia branca,5330
barra dos coqueiros,6333
boquim,8337
brejo grande,2395
campo do brito,6090
canhoba,1421
caninde de sao francisco,6484
capela,8730
carira,7065
carmopolis,3160
cedro de sao joao,2242
cristinapolis,4657
cumbe,1412
divina pastora,1133
estancia,20748
feira nova,1888
frei paulo,4612
gararu,4263
general maynard,781
gracho cardoso,2153
ilha das flores,2825
indiaroba,4174
itabaiana,30609
itabaianinha,12241
itabi,2042
itaporanga d'ajuda,8639
japaratuba,4811
japoata,4910
lagarto,31684
laranjeiras,8094
macambira,2278
malhada dos bois,1156
malhador,4414
maruim,5249
moita bonita,4173
monte alegre de sergipe,4371
muribeca,2433
neopolis,6799
nossa senhora aparecida,3430
nossa senhora da gloria,10887
nossa senhora das dores,8011
nossa senhora de lourdes,2184
nossa senhora do socorro,49608
pacatuba,4022
pedra mole,1066
pedrinhas,2603
pinhao,2027
pirambu,2556
poco redondo,9675
poco verde,7581
porto da folha,9351
propria,9903
riachao do dantas,6427
riachuelo,2610
ribeiropolis,6175
rosario do catete,2369
salgado,6708
santa luzia do itanhy,4485
santa rosa de lima,1273
santana do sao francisco,1942
santo amaro das brotas,3864
sao cristovao,22921
sao domingos,3772
sao francisco,991
sao miguel do aleixo,1298
simao dias,13569
siriri,2316
telha,1051
tobias barreto,15244
tomar do geru,4373
umbauba,6690
