city,total,has_children,children_born,children_borned_live,children_borned_dead
abreulandia,763,487,2187,1957,230
aguiarnopolis,1168,739,3370,3223,147
alianca do tocantins,2347,1505,6439,6025,413
almas,2957,1668,8233,7606,626
alvorada,3382,2238,8746,8256,490
ananas,3861,2276,10815,10347,468
angico,1047,621,3154,3014,140
aparecida do rio negro,1281,762,4042,3849,193
aragominas,2123,1245,6198,5546,652
araguacema,1896,1197,5745,5255,490
araguacu,3664,2296,9043,8638,405
araguaina,45669,27775,104244,97724,6520
araguana,1482,914,4424,4019,404
araguatins,9517,5779,27024,25291,1733
arapoema,2526,1607,7778,7147,631
arraias,4025,2419,10829,10293,535
augustinopolis,4765,2865,13989,12963,1026
aurora do tocantins,1205,802,3669,3417,252
axixa do tocantins,3365,1984,10093,9466,626
babaculandia,3863,2366,12144,11260,884
bandeirantes do tocantins,917,637,2778,2577,202
barra do ouro,1237,759,4289,3933,356
barrolandia,1953,1252,5706,5294,412
bernardo sayao,1558,1083,4015,3876,139
bom jesus do tocantins,793,543,2440,2238,202
brasilandia do tocantins,686,444,2099,1872,227
brejinho de nazare,1786,1079,5437,5143,294
buriti do tocantins,2940,1703,9219,8485,734
cachoeirinha,704,429,2223,2040,183
campos lindos,1752,1048,5462,5122,340
cariri do tocantins,1036,710,2824,2755,69
carmolandia,723,445,1986,1747,238
carrasco bonito,1105,705,3390,3170,220
caseara,1310,799,3640,3388,252
centenario,752,448,2011,1887,123
chapada da natividade,1047,669,3375,3026,349
chapada de areia,430,306,1212,1130,83
colinas do tocantins,10036,6278,25692,23981,1711
colmeia,3543,2340,10007,9320,687
combinado,1738,1063,5158,4921,237
conceicao do tocantins,1505,906,4806,4475,331
couto de magalhaes,1523,982,4656,4417,239
cristalandia,2865,1859,8287,7924,362
crixas do tocantins,498,326,1520,1395,125
darcinopolis,1492,935,4259,4001,258
dianopolis,5693,3346,15762,14627,1135
divinopolis do tocantins,2084,1425,6259,5670,589
dois irmaos do tocantins,2554,1674,7612,7228,383
duere,1605,1063,4247,4124,123
esperantina,2568,1601,8582,7947,635
fatima,1443,914,4210,4061,149
figueiropolis,2181,1448,6175,5899,276
filadelfia,2870,1770,8584,7976,608
formoso do araguaia,6963,4249,17822,16821,1001
fortaleza do tabocao,775,533,2172,2080,92
goianorte,1703,1138,5655,5227,429
goiatins,3771,2385,11611,10951,661
guarai,7902,5124,20305,19040,1266
gurupi,26492,16327,58927,55874,3053
ipueiras,361,207,1037,1003,34
itacaja,2495,1651,7555,7180,375
itaguatins,2264,1395,7191,6373,819
itapiratins,1120,738,3733,3547,186
itapora do tocantins,924,627,2278,2075,203
jau do tocantins,1128,782,3520,3292,228
juarina,862,525,2288,2108,181
lagoa da confusao,2068,1366,5595,5322,273
lagoa do tocantins,849,511,3108,2820,288
lajeado,751,513,2240,2103,137
lavandeira,445,246,1418,1210,209
lizarda,1275,810,4066,3750,316
luzinopolis,694,447,2042,1907,135
marianopolis do tocantins,1175,781,3335,3113,222
mateiros,533,320,1465,1411,54
maurilandia do tocantins,979,618,3124,2827,297
miracema do tocantins,8662,5588,22034,21072,962
miranorte,4541,2977,12674,11910,764
monte do carmo,1772,1129,5753,5427,325
monte santo do tocantins,616,452,2286,2067,219
muricilandia,986,625,2899,2566,333
natividade,3305,1948,9388,8591,797
nazare,1939,1127,5793,5492,300
nova olinda,3420,2174,9788,9258,530
nova rosalandia,1232,805,3710,3448,263
novo acordo,1120,644,3134,2869,265
novo alegre,845,515,2972,2802,170
novo jardim,748,437,2310,2196,114
oliveira de fatima,346,215,1021,940,81
palmas,53383,30745,98368,93219,5149
palmeirante,1207,736,3242,2938,304
palmeiras do tocantins,1624,1026,4903,4627,276
palmeiropolis,2812,1804,7138,6763,375
paraiso do tocantins,14582,9054,34096,31732,2364
parana,3588,2288,11511,10583,928
pau d'arco,1547,980,4178,3997,181
pedro afonso,3400,2081,8844,8100,744
peixe,3154,2011,8248,7805,444
pequizeiro,1605,1119,5302,4847,455
pindorama do tocantins,1700,946,4866,4578,288
piraque,882,525,2337,2191,146
pium,2010,1350,5784,5328,456
ponte alta do bom jesus,1661,1023,4778,4429,349
ponte alta do tocantins,2101,1280,6794,6298,496
porto alegre do tocantins,832,508,2642,2546,96
porto nacional,17448,10328,43120,40811,2309
praia norte,2334,1403,7299,6793,506
presidente kennedy,1419,955,3968,3734,233
pugmil,752,483,2027,1791,236
recursolandia,1039,629,2802,2677,124
