city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
acrelandia,1384,0,72,300,76,937
assis brasil,571,0,82,192,145,152
brasileia,3218,12,359,1036,408,1403
bujari,1044,17,111,399,28,488
capixaba,647,0,42,193,33,380
cruzeiro do sul,11434,122,1456,5164,1278,3415
epitaciolandia,2542,6,316,465,399,1357
feijo,2288,15,274,912,104,982
jordao,194,0,12,24,60,99
mancio lima,1091,12,91,482,245,262
manoel urbano,976,0,142,325,226,282
marechal thaumaturgo,298,0,21,223,0,54
placido de castro,2622,40,347,754,468,1011
porto acre,1193,0,58,396,170,568
porto walter,412,0,35,250,50,78
rio branco,67046,1362,7939,36032,5704,16010
rodrigues alves,624,11,23,402,62,126
santa rosa do purus,188,0,25,30,7,126
sena madureira,4513,16,571,1149,770,2007
senador guiomard,3815,81,481,1617,296,1339
tarauaca,3556,32,419,1058,480,1566
xapuri,2069,15,262,856,237,700
