city,total,regular,military_and_gov,irregular,employers,entrepreneur
acrelandia,210,300,260,170,1000,280
assis brasil,200,320,600,150,2000,130
brasileia,200,302,300,151,800,180
bujari,200,300,255,151,3000,151
capixaba,200,263,288,200,2000,200
cruzeiro do sul,200,340,400,150,1500,152
epitaciolandia,152,280,328,151,700,151
feijo,170,295,250,150,800,180
jordao,130,175,309,151,0,120
mancio lima,230,350,350,151,1800,200
manoel urbano,188,360,160,90,1000,130
marechal thaumaturgo,240,300,0,150,1500,200
placido de castro,200,226,450,151,1000,200
porto acre,240,350,250,200,700,200
porto walter,230,300,250,151,800,213
rio branco,300,349,698,151,1500,300
rodrigues alves,200,333,279,151,100,151
santa rosa do purus,151,322,325,200,0,105
sena madureira,180,280,400,150,1000,160
senador guiomard,234,302,403,151,2000,250
tarauaca,152,257,450,151,1000,120
xapuri,188,350,330,151,500,151
