city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
agua branca,2126,8,273,854,112,880
anadia,3148,9,314,1581,213,1031
arapiraca,38752,200,3763,13793,2981,18016
atalaia,8033,68,640,4130,369,2825
barra de santo antonio,2302,63,347,807,301,784
barra de sao miguel,1831,269,464,534,57,507
batalha,3540,0,456,479,157,2449
belem,815,6,75,156,157,421
belo monte,1159,0,29,208,55,867
boca da mata,5027,61,491,2507,278,1690
branquinha,1938,12,146,883,32,865
cacimbinhas,1331,0,139,77,317,799
cajueiro,3980,54,423,1974,237,1292
campestre,1141,9,73,354,203,501
campo alegre,7405,7,318,4845,247,1988
campo grande,751,0,46,211,193,301
canapi,1181,8,125,253,216,578
capela,4140,8,282,1726,125,1999
carneiros,905,0,98,125,77,605
cha preta,1582,0,135,109,291,1047
coite do noia,1422,17,95,531,86,693
colonia leopoldina,3210,12,143,997,135,1922
coqueiro seco,881,24,119,486,85,167
coruripe,10227,79,822,4145,534,4648
craibas,2442,14,152,78,422,1776
delmiro gouveia,7476,51,970,3094,490,2871
dois riachos,1740,0,149,301,164,1126
estrela de alagoas,1036,13,119,136,190,578
feira grande,2348,13,76,461,258,1539
feliz deserto,861,0,60,179,11,611
flexeiras,2735,40,192,1279,89,1134
girau do ponciano,2336,8,226,312,451,1338
ibateguara,3014,19,324,990,337,1344
igaci,2066,34,209,462,267,1093
igreja nova,2311,15,130,742,284,1140
inhapi,1644,22,173,359,80,1009
jacare dos homens,1275,0,115,185,49,926
jacuipe,1256,11,90,485,168,503
japaratinga,1403,20,124,558,133,569
jaramataia,1258,0,54,203,47,954
joaquim gomes,3903,34,280,1400,108,2082
jundia,941,5,13,371,90,462
junqueiro,3861,34,282,1076,315,2154
lagoa da canoa,3262,10,209,791,265,1987
limoeiro de anadia,3657,0,195,1228,74,2160
maceio,192241,6598,19090,99501,19273,47779
major isidoro,3354,8,237,450,44,2615
mar vermelho,740,8,52,147,155,378
maragogi,3601,46,271,1259,204,1821
maravilha,787,0,57,253,233,245
marechal deodoro,7738,241,930,3350,608,2609
maribondo,2623,40,371,561,210,1441
mata grande,1832,12,120,631,218,850
matriz de camaragibe,4841,30,221,1941,351,2298
messias,2344,58,213,1261,18,795
minador do negrao,1096,7,99,223,10,757
monteiropolis,1049,0,93,61,84,811
murici,5125,45,448,2047,339,2247
novo lino,2009,14,133,692,30,1139
olho d'agua das flores,3281,53,311,1454,57,1406
olho d'agua do casado,895,0,93,209,89,504
olho d'agua grande,488,0,24,54,55,355
olivenca,871,0,76,172,158,465
ouro branco,1178,7,128,428,53,562
palestina,590,0,35,97,153,305
palmeira dos indios,12540,98,1619,3883,821,6120
pao de acucar,3863,14,361,501,380,2606
pariconha,866,0,93,235,118,420
paripueira,1430,74,268,426,106,557
passo de camaragibe,2876,46,120,1109,334,1267
paulo jacinto,963,24,128,366,99,346
penedo,9749,176,1318,4764,420,3072
piacabucu,2753,20,230,801,108,1593
pilar,6610,98,757,3187,328,2240
pindoba,861,0,104,43,197,516
piranhas,2974,22,383,930,229,1410
poco das trincheiras,1241,0,79,213,68,881
porto calvo,4070,66,262,1608,277,1856
porto de pedras,1711,12,112,353,106,1128
porto real do colegio,1789,7,134,345,399,904
quebrangulo,2005,35,211,196,292,1272
rio largo,13097,219,861,8093,390,3534
roteiro,1179,5,57,407,4,706
santa luzia do norte,1271,45,141,585,86,414
santana do ipanema,4948,16,614,1430,420,2468
santana do mundau,1700,9,157,349,51,1135
sao bras,763,17,49,289,50,358
sao jose da laje,3709,10,308,2054,215,1121
sao jose da tapera,2398,12,177,401,163,1646
sao luis do quitunde,6297,96,289,3557,306,2050
sao miguel dos campos,11240,92,963,6302,778,3105
sao miguel dos milagres,913,17,99,253,152,391
sao sebastiao,4203,32,287,1296,110,2477
satuba,2869,40,194,1664,177,793
senador rui palmeira,833,0,52,428,99,253
tanque d'arca,764,5,42,232,147,339
taquarana,1828,12,154,708,81,872
teotonio vilela,6934,77,560,2966,728,2603
traipu,2159,0,234,192,441,1293
uniao dos palmares,10470,199,999,5099,440,3732
vicosa,4527,121,664,1295,597,1850
