city,total,regular,military_and_gov,irregular,employers,entrepreneur
agua branca,150,250,151,120,500,120
anadia,151,151,151,120,600,151
arapiraca,151,220,249,140,1000,151
atalaia,151,160,200,120,1500,151
barra de santo antonio,150,151,151,136,0,150
barra de sao miguel,151,151,300,151,378,158
batalha,140,230,151,120,2500,151
belem,151,151,151,130,300,120
belo monte,120,151,151,100,400,151
boca da mata,151,166,250,100,500,200
branquinha,120,160,151,100,0,90
cacimbinhas,130,300,160,80,800,150
cajueiro,151,151,151,100,302,200
campestre,151,160,178,120,600,200
campo alegre,160,164,260,151,600,200
campo grande,141,160,151,100,500,120
canapi,100,225,150,100,1000,100
capela,120,151,150,80,600,200
carneiros,76,151,151,60,400,70
cha preta,100,151,150,100,200,150
coite do noia,100,200,151,100,0,100
colonia leopoldina,151,200,203,140,600,150
coqueiro seco,151,200,151,140,0,110
coruripe,151,210,160,130,2000,151
craibas,100,300,155,100,300,100
delmiro gouveia,151,300,151,100,600,150
dois riachos,120,180,170,100,600,150
estrela de alagoas,150,150,160,100,0,150
feira grande,100,200,151,80,2500,100
feliz deserto,150,180,700,120,800,100
flexeiras,151,151,153,130,352,151
girau do ponciano,130,224,230,120,500,105
ibateguara,130,150,150,110,300,180
igaci,130,200,167,100,200,100
igreja nova,150,175,220,120,400,100
inhapi,130,153,160,100,500,120
jacare dos homens,120,190,120,100,600,120
jacuipe,143,151,151,120,0,140
japaratinga,151,180,151,100,151,138
jaramataia,120,181,174,105,500,120
joaquim gomes,150,151,156,120,400,120
jundia,150,151,151,120,200,160
junqueiro,150,200,151,120,400,150
lagoa da canoa,120,162,180,96,200,110
limoeiro de anadia,120,151,250,120,200,140
maceio,250,300,650,151,1600,250
major isidoro,120,190,300,100,1500,128
mar vermelho,140,160,151,120,1000,100
maragogi,151,160,200,151,1000,180
maravilha,160,200,150,120,0,180
marechal deodoro,151,200,235,140,1000,151
maribondo,150,190,260,100,1500,200
mata grande,120,300,315,120,250,100
matriz de camaragibe,151,151,151,120,100,151
messias,151,190,151,151,1800,200
minador do negrao,120,158,363,100,1200,120
monteiropolis,136,226,167,120,1200,150
murici,150,160,170,120,1000,180
novo lino,151,151,163,151,600,151
olho d'agua das flores,151,200,300,100,1500,150
olho d'agua do casado,130,200,150,112,1000,120
olho d'agua grande,112,165,120,120,200,100
olivenca,110,200,150,80,800,110
ouro branco,136,175,151,80,0,130
palestina,140,269,160,100,1500,130
palmeira dos indios,151,240,300,120,500,151
pao de acucar,120,240,220,100,2000,100
pariconha,100,300,151,80,300,82
paripueira,151,180,151,151,400,160
passo de camaragibe,143,151,151,100,500,120
paulo jacinto,130,151,151,100,500,120
penedo,151,200,580,120,500,151
piacabucu,150,212,408,120,340,120
pilar,151,168,300,151,500,151
pindoba,100,200,141,80,0,200
piranhas,151,300,250,120,700,150
poco das trincheiras,100,151,151,65,0,100
porto calvo,151,151,220,150,600,151
porto de pedras,120,151,184,100,400,80
porto real do colegio,150,222,165,125,180,120
quebrangulo,100,151,160,100,2000,100
rio largo,200,215,220,151,600,250
roteiro,151,196,151,151,200,120
santa luzia do norte,158,200,200,151,0,150
santana do ipanema,150,200,250,100,1000,120
santana do mundau,120,151,300,100,150,150
sao bras,120,200,151,100,900,70
sao jose da laje,151,151,200,140,500,200
sao jose da tapera,140,254,200,120,2000,150
sao luis do quitunde,151,151,151,102,2000,150
sao miguel dos campos,180,220,200,151,1000,200
sao miguel dos milagres,130,160,220,100,2000,80
sao sebastiao,120,170,170,100,1000,116
satuba,200,238,500,151,350,250
senador rui palmeira,151,151,161,130,500,120
tanque d'arca,150,151,180,110,200,151
taquarana,130,151,151,100,500,110
teotonio vilela,151,180,180,120,500,151
traipu,120,160,200,80,500,200
uniao dos palmares,151,180,250,120,900,151
vicosa,151,191,180,100,3000,150
