city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
amapa,1413,11,95,469,116,722
calcoene,1056,11,57,359,136,493
cutias,472,0,6,106,151,210
ferreira gomes,555,14,131,307,36,66
itaubal,445,0,44,65,67,269
laranjal do jari,5675,71,565,2624,781,1634
macapa,66457,1710,7477,28991,10190,18090
mazagao,1167,0,95,381,169,521
oiapoque,2172,11,220,536,589,816
pedra branca do amapari,518,4,15,180,91,227
porto grande,1711,8,172,929,198,405
pracuuba,341,5,36,50,115,135
santana,16143,186,1941,6108,1768,6140
serra do navio,696,8,50,301,179,159
tartarugalzinho,912,40,77,378,122,295
vitoria do jari,1283,10,66,637,176,394
