city,total,regular,military_and_gov,irregular,employers,entrepreneur
amapa,220,530,310,151,0,200
calcoene,250,560,700,151,900,180
cutias,226,302,327,165,0,270
ferreira gomes,250,400,275,151,0,280
itaubal,200,320,350,151,0,300
laranjal do jari,280,312,516,160,1500,250
macapa,301,420,900,160,1500,300
mazagao,200,395,340,151,600,160
oiapoque,315,350,620,250,2500,300
pedra branca do amapari,280,330,302,235,0,200
porto grande,300,400,400,180,1300,300
pracuuba,170,330,300,151,0,160
santana,260,360,770,151,1500,240
serra do navio,300,300,500,210,2000,300
tartarugalzinho,250,340,330,151,2000,200
vitoria do jari,280,330,500,200,0,250
