city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
alvaraes,743,0,80,173,355,137
amatura,546,0,62,123,186,175
anama,464,4,21,26,117,296
anori,1102,6,64,66,284,682
apui,1740,4,311,231,252,942
atalaia do norte,991,0,41,217,224,509
autazes,2549,8,293,236,667,1344
barcelos,2018,0,309,161,451,1098
barreirinha,1900,20,298,286,566,730
benjamin constant,2073,17,190,553,437,877
beruri,844,9,123,94,243,376
boa vista do ramos,732,15,50,79,286,301
boca do acre,3952,9,433,813,187,2509
borba,2169,15,217,249,764,924
caapiranga,862,0,109,59,267,427
canutama,802,9,93,140,164,397
carauari,2253,0,241,777,110,1125
careiro,1713,11,187,307,411,797
careiro da varzea,795,0,46,84,224,441
coari,6210,13,1290,1214,1345,2347
codajas,1211,11,207,179,138,676
eirunepe,3459,15,375,544,1008,1516
envira,1145,44,131,159,196,615
fonte boa,1936,0,240,312,588,796
guajara,893,25,82,97,128,561
humaita,4824,34,585,1457,1107,1640
ipixuna,1047,0,124,91,63,769
iranduba,3932,29,700,949,488,1766
itacoatiara,10745,130,1334,3504,1834,3943
itamarati,610,0,33,123,341,111
itapiranga,979,0,152,129,320,379
japura,460,0,48,59,251,102
jurua,735,0,75,44,473,143
jutai,1525,0,143,110,697,575
labrea,2310,11,286,438,592,982
manacapuru,8723,80,833,1467,1448,4895
manaquiri,1474,0,108,127,453,786
manaus,339499,5982,32975,169557,45945,85040
manicore,3129,0,472,1048,445,1164
maraa,699,0,68,168,191,272
maues,4790,17,573,796,1135,2269
nhamunda,1412,35,117,325,354,581
nova olinda do norte,1425,9,231,370,182,634
novo airao,1241,0,192,112,166,772
novo aripuana,1073,0,80,240,372,382
parintins,10417,101,1523,2703,1094,4997
pauini,1064,24,35,183,284,538
presidente figueiredo,3865,68,341,1705,723,1028
rio preto da eva,2990,23,514,473,380,1600
santa isabel do rio negro,984,7,107,85,427,357
santo antonio do ica,1137,12,190,215,269,450
sao gabriel da cachoeira,3273,0,193,775,1364,941
sao paulo de olivenca,1256,0,181,95,590,390
sao sebastiao do uatuma,760,5,105,53,231,366
silves,872,4,72,197,365,233
tabatinga,5372,94,504,1359,1657,1758
tapaua,1234,4,179,135,257,658
tefe,8128,22,872,1739,2524,2972
tonantins,896,0,57,36,383,420
uarini,472,3,33,59,197,180
urucara,1896,0,219,354,370,953
urucurituba,1032,16,162,128,353,374
