city,total,regular,military_and_gov,irregular,employers,entrepreneur
alvaraes,200,212,290,150,2000,200
amatura,230,300,240,151,3000,250
anama,200,151,330,230,8000,160
anori,151,390,280,150,500,150
apui,230,350,294,151,5000,240
atalaia do norte,200,600,400,200,150,150
autazes,151,300,236,151,1500,151
barcelos,200,300,230,151,1500,240
barreirinha,151,228,272,151,490,150
benjamin constant,165,400,280,151,320,130
beruri,151,302,240,151,1500,120
boa vista do ramos,151,250,270,150,2000,150
boca do acre,151,380,200,151,1500,150
borba,164,242,202,151,800,150
caapiranga,159,220,180,151,1500,180
canutama,200,380,210,180,2000,180
carauari,200,293,300,151,10000,167
careiro,200,350,279,151,1200,200
careiro da varzea,160,226,270,200,300,150
coari,196,280,350,151,600,180
codajas,151,302,220,150,500,150
eirunepe,151,330,172,151,700,100
envira,151,195,241,151,0,120
fonte boa,151,250,195,151,500,150
guajara,151,280,190,151,300,150
humaita,214,284,490,151,1700,200
ipixuna,150,250,518,151,1500,100
iranduba,200,300,250,151,2000,200
itacoatiara,170,230,264,151,1000,151
itamarati,151,268,200,130,5000,100
itapiranga,151,250,218,150,136,150
japura,250,388,200,220,1000,300
jurua,150,350,198,130,300,150
jutai,200,400,180,151,500,250
labrea,180,350,260,151,800,151
manacapuru,200,250,335,160,600,200
manaquiri,160,150,240,151,50,190
manaus,302,379,600,200,2000,300
manicore,160,300,300,151,400,150
maraa,200,180,300,180,3000,200
maues,153,200,220,151,2000,150
nhamunda,151,260,238,150,700,150
nova olinda do norte,180,300,220,160,1200,151
novo airao,200,350,200,151,300,200
novo aripuana,200,300,300,160,400,160
parintins,151,250,350,150,1000,151
pauini,150,200,151,150,10000,100
presidente figueiredo,270,370,300,180,3000,220
rio preto da eva,200,300,250,180,1200,200
santa isabel do rio negro,200,299,240,180,0,160
santo antonio do ica,200,451,185,151,1000,200
sao gabriel da cachoeira,350,400,760,225,450,240
sao paulo de olivenca,170,400,250,151,2000,151
sao sebastiao do uatuma,200,250,358,150,700,200
silves,160,270,240,151,0,150
tabatinga,200,300,600,160,500,200
tapaua,200,200,211,160,1300,200
tefe,220,300,365,160,1200,210
tonantins,151,174,200,151,800,150
uarini,200,400,235,240,80,200
urucara,151,307,237,151,15000,140
urucurituba,151,240,240,150,300,150
