city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abaira,1406,15,137,313,132,809
abare,1924,0,132,392,305,1094
acajutiba,2451,33,351,401,143,1523
adustina,2097,6,98,177,293,1524
agua fria,1700,9,94,351,423,824
aiquara,1211,12,83,386,131,599
alagoinhas,27068,583,2542,14605,2140,7199
alcobaca,4267,68,427,1127,197,2448
almadina,1554,0,97,667,201,588
amargosa,7160,75,713,2034,639,3698
amelia rodrigues,4741,136,568,1948,289,1800
america dourada,2901,31,468,504,180,1719
anage,2986,46,321,749,181,1689
andarai,2421,16,143,419,123,1720
andorinha,2253,19,159,607,153,1314
angical,2019,11,129,263,293,1323
anguera,1313,40,129,207,332,605
antas,2367,4,257,488,21,1596
antonio cardoso,1586,50,182,422,265,667
antonio goncalves,1398,8,111,338,46,895
apora,2770,4,308,331,331,1796
apuarema,1532,10,87,262,112,1062
aracas,2055,44,162,496,31,1322
aracatu,1969,43,197,345,202,1182
araci,7592,15,697,1397,636,4847
aramari,1487,79,158,538,153,558
arataca,2531,6,65,890,105,1466
aratuipe,1374,19,79,290,57,929
aurelino leal,3478,31,390,1233,128,1697
baianopolis,1088,16,77,172,190,632
baixa grande,2915,0,344,367,252,1952
banzae,1591,0,91,106,359,1035
barra,3436,0,519,928,266,1722
barra da estiva,5286,6,399,529,233,4119
barra do choca,14115,115,362,1769,124,11744
barra do mendes,1925,10,291,396,198,1029
barra do rocha,1797,11,56,683,20,1027
barreiras,34259,556,3276,13438,2976,14014
barro alto,1664,0,145,161,230,1128
barro preto,2057,51,160,1045,45,757
belmonte,4250,81,461,1549,346,1814
belo campo,3256,121,417,490,263,1965
biritinga,2412,11,129,427,108,1736
boa nova,2200,0,167,214,220,1599
boa vista do tupim,2650,13,108,769,136,1625
bom jesus da lapa,9750,167,1295,2790,964,4535
bom jesus da serra,997,0,89,183,281,443
boninal,1617,40,137,247,162,1032
bonito,3402,25,83,520,144,2629
boquira,2698,0,199,665,260,1574
botupora,1180,12,144,266,299,458
