city,total,regular,military_and_gov,irregular,employers,entrepreneur
abaira,150,230,151,100,500,150
abare,134,160,151,100,250,120
acajutiba,140,185,151,100,1500,120
adustina,120,260,181,120,350,100
agua fria,149,176,185,120,500,100
aiquara,151,151,290,100,1100,200
alagoinhas,200,300,445,151,1000,160
alcobaca,151,226,283,151,300,151
almadina,151,151,151,120,1400,150
amargosa,150,200,181,100,1500,120
amelia rodrigues,160,250,213,151,500,160
america dourada,130,200,180,100,500,120
anage,151,200,162,150,200,149
andarai,145,230,209,129,600,120
andorinha,150,200,160,100,200,130
angical,150,246,151,150,0,120
anguera,150,200,150,120,1150,130
antas,150,250,183,100,400,180
antonio cardoso,120,182,170,120,700,100
antonio goncalves,100,177,370,100,0,100
apora,115,250,151,80,600,100
apuarema,120,151,166,100,130,120
aracas,151,151,150,150,600,100
aracatu,151,300,201,160,0,100
araci,80,230,151,70,300,80
aramari,150,200,190,120,0,100
arataca,151,151,170,151,350,151
aratuipe,120,151,202,100,400,100
aurelino leal,120,151,300,100,0,100
baianopolis,150,200,151,150,2000,100
baixa grande,130,300,205,120,400,100
banzae,120,250,151,80,200,120
barra,150,300,460,120,1000,120
barra da estiva,140,180,151,130,1000,150
barra do choca,120,180,160,120,300,160
barra do mendes,145,286,151,120,1000,120
barra do rocha,150,156,241,120,2000,150
barreiras,250,300,350,151,1500,300
barro alto,100,262,220,100,1000,100
barro preto,151,151,300,151,1500,151
belmonte,151,180,151,151,1500,151
belo campo,150,300,190,130,400,150
biritinga,100,151,184,80,500,90
boa nova,150,151,270,120,600,150
boa vista do tupim,150,179,151,120,450,100
bom jesus da lapa,151,260,300,150,1000,157
bom jesus da serra,138,151,151,100,500,120
boninal,151,300,159,144,800,150
bonito,150,200,200,120,0,151
boquira,151,227,203,137,1800,120
botupora,150,250,160,100,200,100
brejoes,139,168,151,120,1200,184
brejolandia,100,260,175,150,150,100
brotas de macaubas,151,151,176,100,250,200
brumado,160,250,260,137,1000,180
buerarema,151,170,350,150,352,151
buritirama,160,169,151,151,0,180
caatiba,151,200,151,150,800,200
cabaceiras do paraguacu,120,180,151,100,300,100
cachoeira,151,181,390,150,1500,120
cacule,151,200,500,100,1200,151
caem,120,200,151,100,60,100
caetanos,180,400,300,151,400,120
caetite,151,200,275,100,1000,150
cafarnaum,120,234,215,100,500,120
cairu,151,200,260,151,500,150
caldeirao grande,120,180,151,100,120,100
camacan,151,170,151,151,800,200
camacari,230,300,300,151,1080,200
camamu,136,151,151,100,500,150
campo alegre de lourdes,130,200,151,120,1000,120
campo formoso,150,210,280,100,700,120
canapolis,120,220,195,75,180,120
canarana,150,240,180,100,500,150
canavieiras,151,200,320,150,1000,151
candeal,100,185,309,100,1200,100
candeias,207,300,180,151,1000,151
candiba,150,260,200,100,500,100
candido sales,150,250,180,120,100,200
cansancao,100,191,250,80,500,150
canudos,150,200,160,130,0,151
capela do alto alegre,150,210,200,100,604,150
capim grosso,150,220,200,100,500,150
caraibas,150,280,300,150,0,100
caravelas,151,180,180,151,1000,180
cardeal da silva,151,195,151,120,600,125
carinhanha,150,200,197,120,450,150
casa nova,150,163,180,120,600,150
