city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abaiara,1732,0,144,427,151,1010
acarape,2818,8,267,829,282,1433
acarau,7713,26,515,1009,574,5589
acopiara,5202,12,694,1416,349,2732
aiuaba,1180,0,108,361,140,570
alcantaras,1036,0,34,451,85,466
altaneira,587,0,102,126,181,178
alto santo,2515,0,287,534,264,1429
amontada,3205,11,351,614,688,1540
antonina do norte,1166,0,104,137,166,759
apuiares,1686,16,176,316,147,1031
aquiraz,14046,669,3006,3604,910,5857
aracati,12613,110,1612,4051,1092,5748
aracoiaba,4553,17,274,969,514,2779
ararenda,1488,3,148,207,14,1117
araripe,1203,0,223,344,64,571
aratuba,1696,0,115,233,334,1014
arneiroz,962,4,112,276,136,434
assare,1588,9,184,270,229,896
aurora,3139,16,529,520,461,1612
baixio,939,10,115,258,182,374
banabuiu,2193,41,265,548,268,1071
barbalha,10358,115,1400,3865,652,4325
barreira,3268,0,202,768,181,2116
barro,2836,14,421,638,311,1452
barroquinha,1982,13,147,133,485,1204
baturite,5548,100,630,1662,369,2788
beberibe,6595,87,827,1577,316,3789
bela cruz,6482,8,475,500,457,5041
boa viagem,6292,0,831,1250,514,3697
brejo santo,7255,40,1093,1565,511,4046
camocim,10304,59,1001,1828,1565,5850
campos sales,3450,0,531,1100,251,1568
caninde,10388,76,1210,2059,1117,5926
capistrano,1973,23,263,692,95,900
caridade,2645,0,269,380,427,1569
carire,2837,14,319,604,226,1674
caririacu,3288,38,488,659,576,1528
carius,1751,9,203,444,79,1017
carnaubal,1782,0,197,398,233,954
cascavel,12501,109,1157,4559,684,5990
catarina,1236,5,231,121,155,724
catunda,1337,0,151,83,344,759
caucaia,55366,942,5772,25414,3590,19648
cedro,3541,0,465,806,221,2049
chaval,1852,4,243,602,168,835
choro,1252,0,88,85,116,963
chorozinho,3907,18,249,1220,411,2008
coreau,2644,8,200,659,324,1453
crateus,14017,54,1495,3322,1047,8099
crato,23042,447,2851,9846,2019,7879
croata,1425,0,203,291,28,903
cruz,2480,11,140,320,467,1542
deputado irapuan pinheiro,1215,0,122,24,379,689
erere,1025,11,166,425,75,349
eusebio,6523,225,935,2459,357,2548
farias brito,2914,25,378,449,497,1565
forquilha,3265,8,151,1807,203,1097
fortaleza,576442,12443,59930,305594,43450,155025
fortim,1977,24,238,344,111,1260
frecheirinha,1940,0,180,338,314,1108
general sampaio,523,0,43,202,128,150
graca,1433,5,86,235,216,891
granja,7160,0,568,565,219,5808
granjeiro,611,0,83,86,136,305
groairas,1326,8,192,345,193,588
guaiuba,4353,32,386,1430,95,2409
guaraciaba do norte,6208,0,425,962,327,4493
guaramiranga,1720,45,341,205,190,938
hidrolandia,1940,9,238,481,366,847
horizonte,8348,67,1253,3856,686,2486
ibaretama,1607,0,82,295,306,925
ibiapina,4434,16,452,501,132,3333
ibicuitinga,1101,0,79,89,464,469
icapui,3133,12,281,601,310,1930
ico,8718,19,780,1661,1390,4867
iguatu,19539,49,2579,6319,1706,8886
independencia,3279,0,476,497,451,1855
ipaporanga,894,0,85,331,197,281
ipaumirim,1462,0,178,488,86,710
ipu,6380,29,884,1130,707,3630
ipueiras,4788,47,443,700,885,2712
iracema,1961,6,292,283,415,965
iraucuba,2974,0,261,635,100,1978
itaicaba,1052,5,80,211,109,646
itaitinga,6400,80,663,2821,479,2358
itapage,7965,19,546,843,477,6081
itapipoca,13760,39,1452,3452,1216,7601
itapiuna,1758,14,175,402,215,953
itarema,5122,0,429,408,501,3783
itatira,1434,9,119,374,241,691
jaguaretama,2349,9,221,306,308,1504
jaguaribara,1464,0,153,298,299,714
jaguaribe,6005,25,742,1138,672,3427
jaguaruana,6683,0,302,1456,317,4607
jardim,3293,32,497,501,297,1966
jati,864,0,85,169,111,499
jijoca de jericoacoara,1426,0,177,63,341,844
juazeiro do norte,44013,501,5159,16717,2898,18737
jucas,2782,26,393,511,373,1479
