city,total,regular,military_and_gov,irregular,employers,entrepreneur
afonso claudio,200,300,316,151,750,200
agua doce do norte,151,250,300,120,500,200
aguia branca,200,300,320,151,1000,300
alegre,200,230,385,151,900,250
alfredo chaves,200,240,209,151,1000,240
alto rio novo,178,207,600,145,1500,250
anchieta,240,270,295,200,1000,300
apiaca,151,170,181,151,500,200
aracruz,300,314,358,151,1200,350
atilio vivacqua,220,300,208,151,1000,250
baixo guandu,200,250,407,151,700,200
barra de sao francisco,200,250,460,150,1000,200
boa esperanca,169,225,222,150,1500,200
bom jesus do norte,200,214,430,151,400,240
brejetuba,250,300,280,200,1000,300
cachoeiro de itapemirim,302,327,500,174,1300,400
cariacica,300,300,500,180,1200,300
castelo,250,300,372,151,1000,300
colatina,250,270,550,151,1000,250
conceicao da barra,161,185,280,151,1400,151
conceicao do castelo,200,250,320,151,1000,300
divino de sao lourenco,200,255,250,180,200,200
domingos martins,200,275,300,151,1500,200
dores do rio preto,230,264,275,192,2900,250
ecoporanga,151,235,550,140,2500,200
fundao,225,250,230,151,1500,302
guacui,200,230,600,151,1000,200
guarapari,270,280,350,180,1200,300
ibatiba,240,229,300,220,800,380
ibiracu,250,300,360,151,2000,400
ibitirama,200,230,277,180,1000,240
iconha,226,300,423,151,1000,200
irupi,250,270,250,200,1000,300
itaguacu,200,250,375,160,900,230
itapemirim,200,230,260,160,800,250
itarana,200,300,730,151,800,200
iuna,230,250,408,200,1500,310
jaguare,200,220,390,180,180,300
jeronimo monteiro,186,216,600,150,1000,300
joao neiva,270,320,300,151,1000,300
laranja da terra,150,280,220,130,1000,150
linhares,250,260,340,151,1500,300
mantenopolis,160,243,256,150,1200,300
marataizes,220,300,290,151,1000,230
marechal floriano,250,300,287,180,1000,380
marilandia,200,234,410,151,800,200
mimoso do sul,200,230,500,151,1000,200
montanha,160,220,300,150,2000,200
mucurici,151,222,291,150,2000,151
muniz freire,220,230,400,151,1500,250
muqui,220,273,528,151,1200,250
nova venecia,209,285,547,151,1500,300
pancas,180,280,450,150,1000,250
pedro canario,180,206,380,140,1300,200
pinheiros,160,210,280,150,2000,200
piuma,250,298,380,200,1000,300
ponto belo,151,185,250,100,2800,151
presidente kennedy,151,226,221,130,1500,190
rio bananal,220,280,362,151,1000,270
rio novo do sul,225,300,310,151,1000,200
santa leopoldina,151,200,540,151,1000,151
santa maria de jetiba,192,250,430,151,800,155
santa teresa,250,290,500,151,800,320
sao domingos do norte,200,260,350,151,1500,200
sao gabriel da palha,240,231,456,160,1000,400
sao jose do calcado,165,225,450,151,800,240
sao mateus,225,250,400,151,1700,300
sao roque do canaa,250,280,300,151,500,280
serra,300,310,590,185,1200,320
sooretama,200,210,280,160,2000,200
vargem alta,250,330,300,151,1500,300
venda nova do imigrante,268,280,943,180,1000,300
viana,260,300,300,160,1800,350
vila pavao,194,323,270,115,420,250
vila valerio,220,250,341,180,1500,350
vila velha,380,380,760,200,1600,400
vitoria,488,440,1030,230,2000,500
