city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abadia de goias,1576,20,250,489,200,617
abadiania,2681,65,461,860,301,994
acreuna,5829,55,630,2090,300,2754
adelandia,547,7,83,192,52,213
agua fria de goias,874,7,92,312,153,310
agua limpa,701,8,118,203,105,268
aguas lindas de goias,29557,2340,4189,13802,1733,7492
alexania,4752,261,665,1431,259,2135
aloandia,584,11,88,188,17,280
alto horizonte,570,0,33,95,56,387
alto paraiso de goias,1612,52,251,486,171,652
alvorada do norte,1877,33,258,624,112,851
amaralina,403,0,39,47,111,206
americano do brasil,1465,3,222,362,140,737
amorinopolis,1207,18,128,244,154,663
anapolis,82433,2215,8388,40864,6343,24624
anhanguera,358,5,65,58,151,79
anicuns,5372,91,663,2138,414,2065
aparecida de goiania,113074,3909,12347,58052,7576,31190
aparecida do rio doce,765,20,134,205,113,294
apore,1109,33,94,582,70,330
aracu,1291,5,153,316,226,591
aragarcas,5239,125,556,1683,711,2164
aragoiania,2015,72,367,499,258,820
araguapaz,2061,22,211,240,248,1341
arenopolis,1144,14,94,102,264,671
aruana,1450,73,237,383,108,650
aurilandia,1092,17,130,209,163,572
avelinopolis,727,7,85,169,49,418
baliza,543,0,27,106,112,298
barro alto,1870,0,255,297,423,894
bela vista de goias,5533,116,772,1790,247,2608
bom jardim de goias,2001,14,283,250,186,1268
bom jesus de goias,5093,49,617,2090,254,2084
bonfinopolis,1655,55,225,450,218,707
bonopolis,651,7,65,106,158,315
brazabrantes,846,13,108,283,149,294
britania,1679,63,218,317,224,857
buriti alegre,2630,56,414,706,196,1258
buriti de goias,660,0,77,174,74,335
buritinopolis,386,0,9,140,104,133
cabeceiras,1746,6,162,545,217,816
cachoeira alta,2660,26,284,918,265,1167
cachoeira de goias,447,3,63,58,127,195
cachoeira dourada,2320,47,261,738,203,1071
cacu,3184,44,416,851,341,1532
caiaponia,3910,56,540,1199,243,1872
caldas novas,15410,256,1505,7280,1152,5217
caldazinha,702,24,133,219,173,154
campestre de goias,862,15,103,247,96,401
campinacu,749,0,54,166,88,441
campinorte,2259,11,370,320,153,1404
campo alegre de goias,1568,34,159,601,222,551
campos belos,4463,14,658,1120,445,2225
campos verdes,1948,14,194,348,332,1059
carmo do rio verde,2019,8,242,666,145,957
castelandia,1158,6,120,358,178,496
catalao,19361,476,1736,9196,1478,6475
caturai,1177,0,100,298,137,642
cavalcante,1036,0,123,208,191,514
ceres,6326,82,854,2704,449,2236
cezarina,1728,17,144,746,378,442
chapadao do ceu,1308,51,155,477,38,587
cidade ocidental,12072,656,1231,5955,1810,2418
cocalzinho de goias,3817,156,771,818,511,1560
colinas do sul,778,6,173,48,199,352
corrego do ouro,682,0,70,150,141,322
corumba de goias,2225,17,337,681,252,938
corumbaiba,2259,31,267,534,417,1011
cristalina,9776,241,1123,3620,816,3976
cristianopolis,960,4,121,191,122,522
crixas,3566,12,381,1333,371,1469
crominia,1128,0,167,259,182,520
cumari,674,22,50,346,114,141
damianopolis,446,3,38,107,186,112
damolandia,544,1,56,184,61,243
