city,total,regular,military_and_gov,irregular,employers,entrepreneur
abadia de goias,202,280,300,151,1000,300
abadiania,200,253,300,151,370,250
acreuna,250,302,170,159,1200,400
adelandia,200,220,246,100,1280,300
agua fria de goias,226,280,281,180,0,200
agua limpa,240,300,232,180,1100,600
aguas lindas de goias,300,300,440,200,1100,300
alexania,226,300,244,170,1200,300
aloandia,229,360,237,151,1000,200
alto horizonte,220,330,420,170,700,250
alto paraiso de goias,240,240,180,151,1200,400
alvorada do norte,190,260,270,151,2000,300
amaralina,150,200,151,151,0,100
americano do brasil,200,300,302,151,4000,200
amorinopolis,200,280,210,151,1500,250
anapolis,300,300,600,190,1500,350
anhanguera,183,302,226,150,0,151
anicuns,220,250,337,151,660,300
aparecida de goiania,300,300,354,200,1000,302
aparecida do rio doce,250,302,300,151,1000,350
apore,280,300,151,180,450,500
aracu,160,211,215,150,500,200
aragarcas,230,270,504,180,1000,300
aragoiania,226,300,300,151,1400,300
araguapaz,200,300,154,151,1500,350
arenopolis,200,300,260,151,400,350
aruana,280,300,300,200,1500,350
aurilandia,200,250,240,151,800,250
avelinopolis,197,240,560,151,5000,300
baliza,230,302,217,200,2000,200
barro alto,190,240,207,151,900,250
bela vista de goias,230,240,200,160,1000,350
bom jardim de goias,200,300,281,151,1600,300
bom jesus de goias,240,300,302,151,1059,300
bonfinopolis,200,210,225,151,1000,300
bonopolis,200,300,200,151,5000,200
brazabrantes,200,212,151,151,0,200
britania,226,300,300,178,600,300
buriti alegre,200,250,270,151,1000,300
buriti de goias,151,164,270,151,1000,174
buritinopolis,180,227,226,151,1000,50
cabeceiras,200,280,280,151,800,300
cachoeira alta,250,300,283,154,1000,300
cachoeira de goias,200,302,265,151,1500,326
cachoeira dourada,250,300,310,180,1500,300
cacu,258,302,300,168,2000,302
caiaponia,225,300,210,151,800,300
caldas novas,300,300,350,200,1500,400
caldazinha,250,240,181,151,4000,400
campestre de goias,200,250,210,151,2000,210
campinacu,180,183,315,151,0,200
campinorte,200,300,200,151,750,220
campo alegre de goias,300,300,330,200,1000,302
campos belos,151,260,169,130,1500,200
campos verdes,160,300,280,140,1000,200
carmo do rio verde,180,225,185,151,1000,250
castelandia,250,300,300,152,1380,350
catalao,300,302,414,170,1000,400
caturai,226,300,300,180,1500,300
cavalcante,200,270,280,151,1000,200
ceres,226,300,500,151,1500,300
cezarina,240,300,203,151,1000,250
