city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
acailandia,19458,112,1931,5630,1721,10064
afonso cunha,481,0,44,86,200,151
agua doce do maranhao,254,0,35,110,52,57
alcantara,1447,13,269,295,454,415
aldeias altas,1790,34,259,393,273,830
altamira do maranhao,969,0,102,101,161,606
alto alegre do maranhao,1357,4,147,207,328,671
alto alegre do pindare,2391,12,260,238,548,1333
alto parnaiba,1441,20,189,137,300,795
amapa do maranhao,725,6,100,70,126,423
amarante do maranhao,2934,24,330,327,167,2087
anajatuba,1182,14,223,228,304,413
anapurus,1432,0,146,50,460,776
apicum-acu,581,0,89,82,116,294
araguana,949,6,83,37,344,480
araioses,2222,0,167,404,387,1263
arame,1558,0,175,162,407,813
arari,4233,17,540,1074,833,1769
axixa,1070,12,175,132,53,697
bacabal,14028,129,2223,3807,1231,6638
bacabeira,1322,0,124,363,214,621
bacuri,1515,5,133,70,329,978
bacurituba,363,0,59,63,27,214
balsas,12997,99,1707,3753,1191,6247
barao de grajau,1994,17,204,450,297,1026
barra do corda,7746,55,1116,1395,960,4220
barreirinhas,2734,28,303,601,781,1021
bela vista do maranhao,1024,9,209,118,228,461
belagua,187,0,31,4,83,68
benedito leite,381,0,45,103,67,167
bequimao,1400,9,227,405,172,588
bernardo do mearim,570,7,43,46,201,273
boa vista do gurupi,590,0,75,76,125,315
bom jardim,2962,7,423,576,521,1434
bom jesus das selvas,2131,11,231,235,409,1245
bom lugar,1126,0,32,115,79,900
brejo,2140,15,288,519,407,912
brejo de areia,609,0,71,61,200,277
buriti,1291,0,174,134,532,450
buriti bravo,2276,9,394,238,355,1280
buriticupu,5116,0,439,708,594,3375
buritirana,1364,0,151,110,293,811
cachoeira grande,370,0,65,31,129,146
cajapio,499,0,51,124,44,280
cajari,644,0,135,212,133,164
campestre do maranhao,1948,12,192,706,247,792
candido mendes,1137,0,96,116,539,386
cantanhede,1309,0,196,33,331,749
capinzal do norte,755,11,47,123,110,464
carolina,4216,71,827,801,593,1924
carutapera,2133,9,230,114,422,1357
caxias,20963,239,3109,4223,3843,9549
cedral,915,13,44,38,328,493
central do maranhao,615,9,125,79,155,247
centro do guilherme,216,7,7,12,83,107
centro novo do maranhao,1127,5,136,178,288,520
chapadinha,7502,0,875,1454,1028,4145
