city,total,regular,military_and_gov,irregular,employers,entrepreneur
acailandia,200,280,300,151,1000,200
afonso cunha,70,156,151,150,0,50
agua doce do maranhao,100,300,139,100,150,100
alcantara,100,215,260,111,0,80
aldeias altas,100,151,322,140,960,60
altamira do maranhao,136,151,151,120,0,100
alto alegre do maranhao,150,340,150,120,0,150
alto alegre do pindare,150,350,275,120,660,120
alto parnaiba,150,260,157,100,151,110
amapa do maranhao,120,201,201,100,400,100
amarante do maranhao,150,200,230,140,556,120
anajatuba,70,220,190,140,0,50
anapurus,100,240,230,60,400,80
apicum-acu,140,150,150,140,400,120
araguana,150,200,151,120,0,150
araioses,120,151,151,120,300,100
arame,151,300,240,150,1000,150
arari,150,360,150,100,500,100
axixa,150,206,215,150,200,120
bacabal,150,250,300,120,700,100
bacabeira,151,220,300,150,151,107
bacuri,100,151,180,100,300,65
bacurituba,70,151,151,150,0,50
balsas,182,280,350,151,1500,200
barao de grajau,151,151,207,120,800,150
barra do corda,151,300,300,100,1000,150
barreirinhas,100,280,151,100,400,80
bela vista do maranhao,150,220,197,120,2000,150
belagua,50,350,151,50,0,50
benedito leite,120,290,151,100,100,100
bequimao,80,205,215,100,300,60
bernardo do mearim,70,151,151,100,7000,60
boa vista do gurupi,151,300,150,150,1200,170
bom jardim,130,168,151,120,200,100
bom jesus das selvas,150,300,276,150,1500,120
bom lugar,60,250,235,80,100,50
brejo,151,190,283,100,500,150
brejo de areia,100,138,151,151,550,90
buriti,100,151,278,151,660,80
buriti bravo,90,300,151,60,1800,80
buriticupu,180,250,250,151,2000,200
buritirana,100,190,151,100,500,80
cachoeira grande,100,200,215,130,200,90
cajapio,60,151,151,120,0,50
cajari,60,151,151,140,0,55
campestre do maranhao,151,190,195,145,500,150
candido mendes,150,160,151,140,1000,150
cantanhede,60,151,160,110,60,45
capinzal do norte,69,150,150,150,600,50
carolina,151,300,300,140,500,150
carutapera,150,200,240,138,1000,130
caxias,151,200,292,120,800,126
cedral,101,250,175,100,300,100
central do maranhao,100,151,151,128,600,90
centro do guilherme,150,60,151,151,0,120
centro novo do maranhao,150,235,190,151,800,120
chapadinha,100,210,200,100,500,75
cidelandia,151,151,200,150,2800,178
codo,150,270,216,100,650,100
coelho neto,151,200,200,120,750,100
colinas,120,300,215,100,900,100
conceicao do lago-acu,100,155,151,150,150,100
coroata,90,200,160,130,1500,50
cururupu,100,280,175,80,500,100
davinopolis,151,226,180,151,300,100
dom pedro,151,230,214,120,930,151
duque bacelar,90,160,160,80,0,60
esperantinopolis,120,230,151,130,600,100
estreito,151,250,350,140,550,151
feira nova do maranhao,100,141,180,80,0,100
fernando falcao,80,115,0,100,4000,70
formosa da serra negra,150,300,390,120,0,120
fortaleza dos nogueiras,151,366,226,100,600,250
fortuna,150,311,270,95,700,115
godofredo viana,150,151,151,151,302,120
goncalves dias,100,300,212,139,600,90
governador archer,95,350,230,100,1460,80
governador edison lobao,151,200,200,151,500,200
governador eugenio barros,80,260,174,119,550,60
governador luiz rocha,63,130,151,75,120,50
governador newton bello,130,130,150,112,150,120
governador nunes freire,150,180,302,151,300,150
graca aranha,60,250,324,80,200,58
grajau,151,225,280,144,1000,151
guimaraes,100,200,260,100,600,70
humberto de campos,80,151,151,70,160,80
icatu,85,323,250,110,0,70
igarape do meio,120,218,164,139,300,80
igarape grande,100,216,216,115,1000,100
imperatriz,220,300,350,151,1000,230
itaipava do grajau,151,151,200,140,1000,150
itapecuru mirim,150,220,243,138,2500,93
itinga do maranhao,200,225,302,151,1000,300
jatoba,180,222,180,60,2000,200
jenipapo dos vieiras,100,151,0,151,0,96
joao lisboa,151,200,200,130,700,140
joselandia,100,220,165,130,1000,85
junco do maranhao,110,180,230,100,200,100
lago da pedra,140,200,282,140,1100,100
lago do junco,80,200,278,135,30,60
lago dos rodrigues,90,151,200,100,500,70
lago verde,100,190,259,100,800,50
lagoa do mato,136,250,220,100,1000,100
lagoa grande do maranhao,139,151,151,110,200,135
lajeado novo,150,156,151,150,300,150
lima campos,130,230,151,130,6000,100
loreto,151,236,158,120,350,200
luis domingues,150,212,266,151,250,100
magalhaes de almeida,90,151,151,127,500,50
maracacume,151,200,310,150,600,151
maraja do sena,150,76,258,150,250,136
maranhaozinho,150,100,172,150,420,150
mata roma,100,151,151,70,500,80
matinha,100,185,185,100,453,94
matoes,100,151,240,100,200,80
matoes do norte,70,350,161,100,200,50
milagres do maranhao,150,60,174,160,0,117
mirador,75,151,165,80,1500,63
miranda do norte,150,350,230,107,3500,120
mirinzal,120,178,180,80,280,100
moncao,100,200,175,100,300,80
montes altos,150,200,151,115,600,140
morros,100,250,250,148,180,50
nina rodrigues,50,151,240,100,0,50
nova colinas,151,180,151,151,200,200
nova iorque,132,151,190,55,350,100
nova olinda do maranhao,151,300,302,150,302,151
olho d'agua das cunhas,100,210,151,100,800,60
olinda nova do maranhao,100,50,220,115,800,80
paco do lumiar,200,302,330,151,1200,200
palmeirandia,70,183,185,130,0,60
paraibano,151,300,250,130,6000,150
parnarama,100,210,170,116,200,80
passagem franca,150,280,170,100,0,90
pastos bons,120,205,230,100,250,100
paulino neves,50,223,188,151,1000,30
paulo ramos,100,156,159,120,1500,100
pedreiras,151,226,272,120,1000,150
pedro do rosario,100,151,155,130,357,100
penalva,80,205,151,100,900,70
peri mirim,80,180,151,100,0,60
peritoro,120,180,200,140,1500,80
pindare-mirim,150,280,204,130,1800,120
pinheiro,150,240,250,139,800,100
pio xii,100,170,178,100,1500,100
pirapemas,75,240,256,110,200,60
pocao de pedras,120,160,151,90,350,120
porto franco,151,280,240,150,840,200
porto rico do maranhao,100,153,151,80,360,80
presidente dutra,150,302,226,120,650,120
presidente juscelino,96,270,151,119,0,80
presidente medici,151,600,200,151,350,150
presidente sarney,100,151,170,100,1500,98
presidente vargas,70,250,261,120,1000,60
primeira cruz,137,360,151,120,1000,120
raposa,151,250,280,151,200,151
riachao,150,241,166,150,900,100
ribamar fiquene,151,247,260,150,380,150
rosario,151,268,260,100,800,151
sambaiba,150,220,200,150,300,100
santa filomena do maranhao,62,151,151,140,286,48
santa helena,150,200,225,125,800,120
santa ines,151,220,435,130,1000,151
santa luzia,130,250,300,100,500,120
santa luzia do parua,120,150,155,150,1000,100
santa quiteria do maranhao,100,220,151,100,300,100
santa rita,151,300,209,150,500,150
santana do maranhao,100,220,151,140,150,60
