city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
acorizal,1111,5,200,198,144,564
agua boa,4352,83,569,1246,474,1980
alta floresta,13851,192,1387,4814,1573,5885
alto araguaia,2934,47,264,855,350,1417
alto boa vista,1226,0,103,92,215,816
alto garcas,2386,36,294,988,173,895
alto paraguai,1787,16,181,276,202,1111
alto taquari,1440,6,144,661,72,557
apiacas,1684,0,158,283,151,1091
araguaiana,1134,24,79,320,263,447
araguainha,395,0,33,39,154,170
araputanga,4095,44,396,1768,569,1317
arenapolis,3230,22,478,893,399,1438
aripuana,5629,43,486,1068,313,3719
barao de melgaco,1289,65,207,359,167,490
barra do bugres,7728,57,438,3695,608,2930
barra do garcas,14694,384,1555,5965,2068,4722
brasnorte,2893,24,190,878,232,1568
caceres,22061,713,2413,8197,2492,8246
campinapolis,1941,13,187,421,254,1065
campo novo do parecis,6676,127,383,3342,436,2387
campo verde,4819,79,512,2112,590,1525
campos de julio,882,0,78,351,43,410
canabrava do norte,614,3,62,180,128,239
canarana,3994,90,618,1543,351,1392
carlinda,1832,12,148,375,289,1008
castanheira,1725,4,183,283,232,1022
chapada dos guimaraes,3796,158,698,959,488,1493
claudia,3439,29,325,1683,261,1141
cocalinho,1974,15,199,484,280,995
colider,7133,94,769,2426,954,2890
comodoro,3157,47,339,897,515,1359
confresa,2471,0,221,542,321,1387
cotriguacu,1740,25,121,736,241,617
cuiaba,146455,5042,11904,71973,22402,35134
denise,2303,9,271,1369,213,441
diamantino,5053,166,531,1751,510,2095
dom aquino,2060,39,276,739,229,778
feliz natal,2089,8,82,1133,63,804
figueiropolis d'oeste,896,0,138,80,181,497
gaucha do norte,890,0,58,163,64,605
general carneiro,603,0,22,246,69,266
gloria d'oeste,631,0,92,173,100,267
guaranta do norte,5864,31,578,1860,547,2849
guiratinga,3446,73,516,799,444,1613
indiavai,505,16,67,109,171,142
itauba,2592,9,173,1109,291,1010
itiquira,2886,63,113,1617,176,917
jaciara,7390,176,775,3812,662,1964
jangada,1138,7,93,273,207,557
jauru,2187,19,293,479,197,1200
juara,8226,41,847,2571,571,4196
juina,9889,82,1306,3001,736,4764
juruena,1476,26,146,536,183,585
juscimeira,2973,27,308,935,479,1223
lambari d'oeste,1294,22,143,568,212,348
lucas do rio verde,6672,113,626,2476,732,2725
luciara,495,0,60,34,132,269
marcelandia,4405,25,400,1485,472,2022
matupa,2651,27,345,906,175,1198
mirassol d'oeste,5664,114,841,2538,359,1812
nobres,3825,27,446,1185,362,1806
nortelandia,1732,12,125,575,315,705
nossa senhora do livramento,2169,57,280,287,442,1103
nova bandeirantes,952,0,70,178,88,616
nova brasilandia,1271,22,205,326,195,523
nova canaa do norte,2246,31,199,504,287,1226
nova guarita,1047,29,106,198,140,574
nova lacerda,942,0,73,173,83,612
nova marilandia,492,13,18,113,77,271
nova maringa,1341,0,65,439,121,716
nova monte verde,1464,12,149,287,91,926
nova mutum,4387,96,413,1969,509,1401
nova olimpia,4394,35,362,2967,227,802
nova ubirata,1866,0,133,676,243,814
nova xavantina,4857,54,630,1174,664,2336
novo horizonte do norte,815,8,85,164,222,335
novo mundo,770,5,50,135,112,469
novo sao joaquim,2433,4,151,877,166,1235
paranaita,2434,32,264,735,248,1154
paranatinga,4102,27,308,994,334,2439
pedra preta,4235,63,418,1766,546,1442
peixoto de azevedo,5580,63,834,1046,515,3123
planalto da serra,744,16,60,122,145,401
pocone,7036,58,902,1879,807,3390
pontal do araguaia,1058,34,153,296,138,437
ponte branca,604,4,74,84,95,347
pontes e lacerda,11345,55,1198,3935,834,5323
porto alegre do norte,1606,24,130,325,299,827
porto dos gauchos,1868,12,165,662,326,702
porto esperidiao,2353,4,272,453,235,1389
porto estrela,690,10,117,134,61,368
poxoreo,4971,95,576,1062,546,2692
primavera do leste,13579,407,1484,6693,646,4349
querencia,2056,15,183,678,118,1061
reserva do cabacal,580,0,47,63,146,324
ribeirao cascalheira,1710,14,156,268,136,1137
ribeiraozinho,397,0,53,117,65,162
rio branco,1160,15,117,287,300,440
rondonopolis,42351,1298,4466,20018,4527,12042
rosario oeste,3899,25,348,1172,770,1584
salto do ceu,917,0,76,178,145,518
santa carmem,1115,20,68,614,25,388
santa terezinha,1108,9,155,330,181,433
santo afonso,573,0,75,62,115,320
santo antonio do leverger,2699,125,307,763,546,958
sao felix do araguaia,2410,12,319,460,522,1096
sao jose do povo,619,8,45,183,179,204
sao jose do rio claro,4104,63,428,1657,377,1578
sao jose do xingu,1830,11,183,284,180,1173
sao jose dos quatro marcos,4727,33,509,1826,503,1856
sao pedro da cipa,1015,5,33,582,154,241
sapezal,2986,14,235,1500,65,1172
sinop,24064,477,1896,14146,1455,6090
sorriso,11224,255,1089,4832,740,4308
tabapora,2433,6,143,1014,71,1199
tangara da serra,17913,420,1583,8641,1267,6002
tapurah,2553,37,259,824,141,1292
terra nova do norte,2605,20,297,881,275,1132
tesouro,735,1,57,170,156,352
torixoreu,1110,3,150,283,200,475
uniao do sul,1527,6,73,621,163,664
varzea grande,61844,1679,5904,30218,6360,17682
vera,2916,28,259,1667,206,756
vila bela da santissima trindade,2478,18,210,553,212,1485
vila rica,3713,19,452,786,347,2107
