city,total,regular,military_and_gov,irregular,employers,entrepreneur
acorizal,200,250,300,151,2000,300
agua boa,300,332,302,200,2000,315
alta floresta,300,300,302,200,1500,300
alto araguaia,250,270,500,180,1000,300
alto boa vista,300,315,398,230,600,300
alto garcas,300,302,302,151,1000,302
alto paraguai,200,325,348,151,1500,151
alto taquari,300,302,400,200,3000,500
apiacas,300,330,200,250,1500,300
araguaiana,275,302,250,160,2000,500
araguainha,180,181,198,151,0,250
araputanga,260,298,290,151,1200,302
arenapolis,220,300,350,151,1000,300
aripuana,302,420,400,302,1000,300
barao de melgaco,151,300,232,151,1000,150
barra do bugres,300,320,527,200,2800,300
barra do garcas,300,300,600,165,1500,300
brasnorte,350,400,366,300,1500,450
caceres,250,300,650,151,1200,300
campinapolis,230,300,264,175,600,300
campo novo do parecis,400,400,650,300,2500,600
campo verde,302,350,400,200,3000,400
campos de julio,453,500,400,300,1755,700
canabrava do norte,250,227,300,171,302,300
canarana,300,302,460,200,1500,350
carlinda,220,300,273,211,1000,200
castanheira,300,302,300,250,400,300
chapada dos guimaraes,250,302,420,200,1000,275
claudia,350,350,460,251,2000,450
cocalinho,250,300,260,180,1000,400
colider,288,319,370,160,2000,300
comodoro,300,302,330,226,1100,280
confresa,279,320,248,200,1500,300
cotriguacu,300,400,310,300,800,280
cuiaba,380,380,633,220,2000,400
denise,302,382,350,151,3000,300
diamantino,300,350,380,208,1250,400
dom aquino,250,250,380,151,1000,302
feliz natal,400,400,600,300,4500,500
figueiropolis d'oeste,250,302,300,151,3500,300
gaucha do norte,340,420,425,300,1000,350
general carneiro,302,302,350,200,1500,350
gloria d'oeste,250,300,360,151,225,300
guaranta do norte,300,302,350,226,2000,300
guiratinga,200,302,393,151,1400,230
indiavai,265,430,223,200,0,500
itauba,300,320,280,250,1500,400
itiquira,300,315,330,220,4000,400
jaciara,350,395,465,180,1500,350
jangada,250,260,355,160,2000,300
jauru,210,300,300,160,1000,250
juara,300,310,390,250,2000,400
juina,300,350,400,226,1000,300
juruena,300,350,300,290,1000,300
juscimeira,278,300,300,151,1000,300
lambari d'oeste,280,300,300,151,6000,350
lucas do rio verde,400,450,450,300,2000,500
luciara,200,350,465,151,0,160
marcelandia,400,400,400,300,1500,500
matupa,300,302,370,240,1200,400
mirassol d'oeste,250,300,460,151,1500,300
nobres,260,350,260,180,1000,302
nortelandia,270,300,320,151,600,278
nossa senhora do livramento,200,300,250,160,1500,200
nova bandeirantes,250,288,489,250,800,200
nova brasilandia,255,300,279,151,1000,300
nova canaa do norte,250,333,400,200,900,230
nova guarita,300,332,350,250,2000,300
nova lacerda,280,377,190,250,2000,270
nova marilandia,300,188,290,220,540,300
nova maringa,300,330,340,250,1500,600
nova monte verde,280,350,421,220,1000,270
nova mutum,400,400,453,275,1500,500
nova olimpia,350,400,327,160,1000,400
nova ubirata,400,430,425,340,3000,400
nova xavantina,259,302,401,151,1000,300
novo horizonte do norte,208,200,370,180,1000,200
novo mundo,299,340,350,280,2000,250
novo sao joaquim,300,350,287,230,2500,300
paranaita,300,300,396,240,3500,302
paranatinga,300,330,400,250,1000,300
pedra preta,300,302,300,200,1000,300
peixoto de azevedo,250,300,378,190,1000,300
planalto da serra,300,302,300,250,250,300
pocone,200,300,302,151,1000,200
pontal do araguaia,230,300,300,180,1000,250
ponte branca,270,364,160,200,800,450
pontes e lacerda,265,300,304,200,1500,300
porto alegre do norte,250,350,316,151,2000,300
porto dos gauchos,300,340,300,230,1000,350
porto esperidiao,260,300,453,200,1000,300
porto estrela,200,377,302,200,550,200
poxoreo,200,302,386,151,800,200
primavera do leste,380,400,410,250,2000,500
querencia,340,370,300,300,2800,500
reserva do cabacal,200,225,314,151,2300,260
ribeirao cascalheira,280,308,284,200,1500,300
ribeiraozinho,300,302,640,151,500,300
rio branco,250,300,300,151,1500,300
rondonopolis,300,308,589,180,2000,350
rosario oeste,240,300,300,160,1400,250
salto do ceu,250,300,250,200,523,300
santa carmem,350,350,236,330,2000,450
santa terezinha,227,300,250,151,0,300
santo afonso,300,330,300,200,4000,300
santo antonio do leverger,250,300,450,200,500,200
sao felix do araguaia,300,375,470,151,1500,302
sao jose do povo,200,300,300,200,1500,170
sao jose do rio claro,300,320,320,200,1400,302
sao jose do xingu,300,302,271,250,1000,302
sao jose dos quatro marcos,250,260,450,151,500,300
sao pedro da cipa,309,412,289,182,0,350
sapezal,450,450,700,300,2000,500
sinop,380,355,400,270,1500,500
sorriso,400,400,500,300,2000,600
tabapora,300,400,400,300,5000,151
tangara da serra,300,300,553,200,2000,450
tapurah,400,453,415,300,1100,500
terra nova do norte,260,300,350,200,1500,250
tesouro,226,302,226,200,500,200
torixoreu,240,300,310,151,5000,300
uniao do sul,400,385,400,380,1500,600
varzea grande,300,320,468,200,1800,400
vera,350,350,400,270,1000,500
vila bela da santissima trindade,250,325,350,200,500,300
vila rica,250,300,350,200,1300,300
