city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
agua clara,3757,51,174,2177,178,1177
alcinopolis,1147,27,149,272,21,679
amambai,8190,195,879,3408,1344,2364
anastacio,5347,231,533,2081,532,1970
anaurilandia,2398,38,296,829,534,702
angelica,2105,29,239,731,170,936
antonio joao,1845,30,241,433,263,878
aparecida do taboado,5006,114,582,2137,446,1728
aquidauana,10879,390,1062,4382,2070,2976
aral moreira,1828,23,198,402,221,984
bandeirantes,1869,35,165,702,186,780
bataguassu,4811,82,457,2140,637,1496
bataypora,2678,35,407,1069,184,983
bela vista,5612,74,773,1413,1008,2344
bodoquena,2251,11,242,788,340,869
bonito,5436,136,618,1603,504,2576
brasilandia,4137,71,305,2224,547,989
caarapo,5401,62,597,2189,509,2044
camapua,4439,93,538,1361,470,1977
campo grande,206648,9712,18363,102370,27216,48986
caracol,1357,9,228,211,136,772
cassilandia,6169,125,856,2158,632,2398
chapadao do sul,4276,109,410,1985,394,1378
corguinho,1078,16,120,338,138,467
coronel sapucaia,3203,0,469,416,358,1961
corumba,22962,1086,1887,10157,3392,6440
costa rica,5137,98,577,1582,503,2377
coxim,8504,332,938,3108,1115,3011
deodapolis,2676,29,276,580,530,1260
dois irmaos do buriti,2084,57,301,758,187,780
douradina,1155,23,131,263,215,523
dourados,46957,2141,4678,23391,4844,11902
eldorado,2948,45,362,1000,426,1115
fatima do sul,4754,156,776,1358,750,1713
gloria de dourados,2494,60,367,693,266,1108
guia lopes da laguna,2582,28,427,726,440,961
iguatemi,4097,50,450,1705,449,1442
inocencia,2454,50,222,936,256,990
itapora,4466,89,583,1518,419,1857
itaquirai,3091,22,221,1138,352,1358
ivinhema,5774,62,535,1702,782,2693
japora,801,0,52,247,183,319
jaraguari,1619,51,138,579,367,484
jardim,5649,264,761,1692,635,2298
jatei,1160,25,107,390,64,574
juti,1076,20,107,371,133,445
ladario,3615,92,308,1186,1025,1003
laguna carapa,1506,28,203,512,168,595
maracaju,7852,315,923,3015,594,3004
miranda,5128,171,482,2299,380,1797
mundo novo,4065,90,506,1293,643,1534
navirai,11999,365,1434,5827,1341,3031
nioaque,3137,83,317,1147,538,1053
nova alvorada do sul,2944,53,355,1286,324,926
nova andradina,11114,290,1126,4996,1237,3465
novo horizonte do sul,1036,0,66,199,250,520
paranaiba,11725,333,1362,4462,1362,4207
paranhos,2132,15,277,471,191,1178
pedro gomes,2153,58,287,589,365,853
ponta pora,16353,418,2248,5544,2038,6105
porto murtinho,3595,47,306,1204,655,1383
ribas do rio pardo,5845,91,241,2986,644,1883
rio brilhante,6452,194,739,2992,724,1803
rio negro,1527,15,150,380,352,631
rio verde de mato grosso,5815,173,756,1832,729,2326
rochedo,1185,33,121,409,251,371
santa rita do pardo,2218,53,223,867,188,888
sao gabriel do oeste,5313,132,479,2594,524,1584
selviria,1792,21,245,805,163,558
sete quedas,3720,54,530,483,401,2252
sidrolandia,6175,164,622,2786,464,2140
sonora,2817,31,135,1652,306,693
tacuru,2250,26,271,739,190,1024
taquarussu,982,18,104,237,123,500
terenos,2946,98,218,1429,323,878
tres lagoas,22892,1009,2409,11735,2287,5452
vicentina,1060,8,150,182,185,535
