city,total,regular,military_and_gov,irregular,employers,entrepreneur
agua clara,300,300,350,240,1000,500
alcinopolis,250,302,450,200,1000,300
amambai,250,260,300,151,1500,300
anastacio,200,236,302,151,1000,210
anaurilandia,270,300,300,151,900,300
angelica,200,289,420,130,600,300
antonio joao,180,240,302,151,500,200
aparecida do taboado,280,300,400,180,2000,400
aquidauana,240,250,500,151,3000,300
aral moreira,200,300,225,160,800,240
bandeirantes,280,300,480,180,1300,300
bataguassu,280,300,540,151,1000,250
bataypora,200,250,350,150,800,200
bela vista,200,250,760,151,2000,220
bodoquena,240,300,318,150,1500,230
bonito,220,250,300,180,1000,302
brasilandia,300,330,300,151,1500,300
caarapo,226,259,314,151,1500,300
camapua,300,300,270,200,1000,302
campo grande,321,324,700,200,2000,400
caracol,160,300,320,151,630,200
cassilandia,250,300,400,160,1000,300
chapadao do sul,360,378,545,200,2000,480
corguinho,225,300,350,160,2000,300
coronel sapucaia,240,330,420,180,1000,300
corumba,260,280,700,160,1800,300
costa rica,300,302,300,200,1500,302
coxim,280,300,570,151,1500,300
deodapolis,200,240,290,136,1000,300
dois irmaos do buriti,200,250,300,150,1500,250
douradina,151,200,246,139,1000,200
dourados,300,300,547,180,2000,302
eldorado,211,225,320,151,1000,250
fatima do sul,200,250,478,130,1000,200
gloria de dourados,226,280,311,151,1500,300
guia lopes da laguna,200,250,298,151,1300,250
iguatemi,226,278,320,151,1000,200
inocencia,300,302,305,180,1500,500
itapora,226,260,250,151,1000,300
itaquirai,200,270,365,150,400,200
ivinhema,200,260,375,150,800,250
japora,200,280,300,170,198,150
jaraguari,240,260,198,180,0,300
jardim,225,280,600,151,2000,300
jatei,250,290,399,200,3500,200
juti,250,290,375,150,1200,350
ladario,260,280,750,151,2000,250
laguna carapa,225,260,391,151,2000,300
maracaju,280,302,380,151,1500,302
miranda,216,250,340,151,1300,204
mundo novo,250,250,450,151,1000,300
navirai,250,300,390,151,1000,300
nioaque,210,300,500,151,1000,200
nova alvorada do sul,300,300,400,151,3000,300
nova andradina,270,295,436,151,1500,300
novo horizonte do sul,200,301,380,100,1000,200
paranaiba,250,275,380,151,1500,300
paranhos,180,300,398,151,1500,151
pedro gomes,250,300,302,151,600,245
ponta pora,270,300,510,151,1500,300
porto murtinho,227,250,525,151,1000,300
ribas do rio pardo,300,300,324,210,1800,300
rio brilhante,275,300,340,151,1500,300
rio negro,230,300,300,151,700,220
rio verde de mato grosso,226,270,250,151,1000,350
rochedo,250,250,250,177,1895,300
santa rita do pardo,250,302,500,151,1000,180
sao gabriel do oeste,302,302,653,200,1500,350
selviria,260,350,300,151,3000,300
sete quedas,200,300,450,151,1100,400
sidrolandia,250,250,314,176,3000,300
sonora,320,340,400,170,2000,302
tacuru,200,302,454,150,3000,230
taquarussu,200,260,290,150,0,200
terenos,250,280,360,170,1500,250
tres lagoas,300,300,600,151,1500,300
vicentina,200,300,380,150,600,300
