city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abadia dos dourados,1516,0,140,509,253,614
abaete,6690,174,771,2759,496,2491
abre campo,3453,53,363,582,348,2106
acaiaca,811,39,99,257,40,377
acucena,1944,27,409,489,221,799
agua boa,4566,58,386,549,452,3121
agua comprida,669,18,67,393,26,166
aguanil,1333,15,60,458,135,666
aguas formosas,3579,38,468,624,525,1924
aguas vermelhas,2262,10,185,243,496,1327
aimores,6384,185,600,2619,447,2532
aiuruoca,1873,71,239,552,113,898
alagoa,582,16,83,76,83,324
albertina,941,22,67,322,2,528
alem paraiba,9945,484,1133,4452,1303,2574
alfenas,21635,1258,1873,12284,1394,4826
alfredo vasconcelos,1015,19,114,448,102,332
almenara,7731,138,1370,2035,932,3257
alpercata,1735,34,152,564,320,665
alpinopolis,5405,66,448,1429,196,3266
alterosa,3870,63,304,1512,267,1724
alto caparao,1250,5,85,135,128,897
alto jequitiba,1424,25,149,433,242,576
alto rio doce,3065,218,402,561,224,1660
alvarenga,1014,0,62,61,72,819
alvinopolis,4155,77,328,1850,393,1507
alvorada de minas,632,3,57,80,48,443
amparo do serra,1069,22,130,326,97,495
andradas,11183,324,478,5263,482,4638
andrelandia,2913,117,312,1124,273,1085
angelandia,2168,0,105,154,98,1811
antonio carlos,2925,202,203,1123,460,936
antonio dias,2383,76,199,1000,412,696
antonio prado de minas,437,18,48,122,44,205
aracai,831,30,55,399,121,226
aracitaba,406,0,52,32,110,212
aracuai,7545,216,1172,2497,900,2760
araguari,30398,1507,2535,14785,2628,8943
arantina,701,19,128,184,180,191
araponga,1615,3,96,193,211,1112
arapora,1897,31,147,913,418,387
arapua,802,3,100,189,222,288
araujos,2188,14,228,693,133,1120
araxa,24854,1196,2196,14860,1668,4933
arceburgo,3022,130,154,2184,61,493
arcos,10085,184,874,5475,396,3156
areado,4016,141,254,2512,146,963
argirita,1058,37,124,482,30,385
aricanduva,726,6,91,47,221,361
arinos,3513,9,446,558,576,1925
astolfo dutra,3929,102,281,2187,170,1190
ataleia,3486,20,459,308,516,2182
augusto de lima,1530,34,92,779,182,444
baependi,4457,204,453,1809,284,1707
baldim,1895,47,198,543,298,808
bambui,6701,155,364,2273,679,3231
bandeira,1098,27,125,116,176,655
bandeira do sul,1869,36,121,638,107,967
barao de cocais,6123,219,589,3284,468,1563
barao de monte alto,1716,52,284,383,260,736
barbacena,30722,1924,2107,16426,4456,5809
barra longa,1873,68,177,448,179,1001
barroso,4427,179,402,1977,500,1368
bela vista de minas,2608,99,228,1677,204,400
belmiro braga,1085,52,95,546,119,274
belo horizonte,709563,41433,38982,432039,65757,131353
belo oriente,5066,59,375,2102,1410,1120
belo vale,1876,105,149,359,214,1049
berilo,2899,106,274,1316,401,801
berizal,706,0,36,220,166,283
bertopolis,746,0,95,33,220,397
betim,86818,4825,6959,53671,6136,15227
bias fortes,1087,19,50,163,71,783
bicas,3413,177,208,1763,404,861
biquinhas,609,0,100,159,171,179
boa esperanca,12813,690,846,6120,759,4398
