city,total,regular,military_and_gov,irregular,employers,entrepreneur
abadia dos dourados,250,300,248,189,1000,300
abaete,240,230,397,168,800,300
abre campo,160,220,325,150,700,250
acaiaca,151,200,412,151,1000,200
acucena,151,180,350,150,500,150
agua boa,150,151,340,120,750,151
agua comprida,302,337,615,200,2000,500
aguanil,200,209,462,180,1000,227
aguas formosas,151,200,398,100,900,150
aguas vermelhas,150,230,276,120,500,150
aimores,180,200,600,151,500,240
aiuruoca,180,215,310,151,1000,200
alagoa,151,174,350,140,800,200
albertina,300,330,500,200,300,450
alem paraiba,250,250,516,151,1000,300
alfenas,300,300,600,200,1500,480
alfredo vasconcelos,192,276,400,151,4000,160
almenara,151,187,322,100,1500,151
alpercata,187,225,220,151,600,200
alpinopolis,300,302,600,220,1000,400
alterosa,240,260,350,200,1000,300
alto caparao,250,280,285,200,1200,300
alto jequitiba,225,280,298,200,600,225
alto rio doce,151,169,250,120,1000,151
alvarenga,151,250,305,150,1000,200
alvinopolis,164,195,240,150,1300,217
alvorada de minas,150,180,396,120,2000,151
amparo do serra,151,151,300,120,1200,200
andradas,300,340,350,240,1500,450
andrelandia,155,190,539,151,1200,220
angelandia,150,220,302,140,400,193
antonio carlos,190,190,318,151,1000,200
antonio dias,168,189,280,150,500,151
antonio prado de minas,192,180,350,151,3500,210
aracai,151,151,250,151,1500,190
aracitaba,151,151,200,150,300,200
aracuai,151,235,283,100,1200,150
araguari,300,300,700,200,1200,400
arantina,151,180,280,130,151,200
araponga,150,151,340,120,1000,150
arapora,300,315,300,151,1200,500
arapua,268,302,300,180,1000,300
araujos,225,243,350,151,500,250
araxa,300,300,400,160,1500,400
arceburgo,250,230,400,160,1000,500
arcos,280,300,580,151,1000,400
areado,300,300,316,200,1500,400
argirita,151,200,400,150,1000,300
aricanduva,146,151,300,100,70,120
arinos,180,225,302,151,1000,300
astolfo dutra,220,225,500,151,1200,300
ataleia,151,200,350,110,900,151
augusto de lima,151,175,272,151,600,151
baependi,178,200,350,151,1000,175
baldim,180,218,302,151,1000,200
bambui,250,300,400,180,1000,300
bandeira,120,151,280,100,400,100
bandeira do sul,280,286,475,200,1000,302
barao de cocais,213,280,370,151,500,225
barao de monte alto,151,151,313,128,750,150
barbacena,250,240,665,151,1000,300
barra longa,151,160,300,120,700,180
barroso,200,300,450,151,1500,250
bela vista de minas,220,250,350,135,0,300
belmiro braga,190,200,300,151,1350,200
belo horizonte,400,380,936,240,2000,500
belo oriente,200,280,170,151,800,200
belo vale,200,240,350,151,2000,230
berilo,200,250,352,151,200,151
berizal,150,151,170,120,0,150
bertopolis,150,184,250,120,500,140
betim,300,311,500,180,1000,300
bias fortes,151,162,262,150,600,151
bicas,240,225,350,151,1400,350
biquinhas,200,280,300,150,1000,160
boa esperanca,226,227,400,151,1500,350
bocaina de minas,240,293,268,170,600,300
bocaiuva,163,215,300,120,1000,200
bom despacho,300,283,500,151,1000,400
bom jardim de minas,170,209,445,150,800,250
bom jesus da penha,257,250,500,200,300,300
bom jesus do amparo,160,200,292,151,750,300
bom jesus do galho,151,170,237,130,800,180
bom repouso,150,268,300,100,1500,200
bom sucesso,180,190,453,151,800,300
bonfim,151,151,320,150,600,190
bonfinopolis de minas,190,220,340,151,600,300
bonito de minas,151,300,220,100,200,240
borda da mata,250,250,580,200,1000,300
botelhos,300,286,380,200,2600,500
botumirim,166,244,302,150,1000,100
bras pires,150,249,250,120,300,151
brasilandia de minas,220,238,352,151,1600,300
brasilia de minas,151,200,300,100,800,151
brasopolis,200,208,320,151,1000,300
braunas,180,280,300,151,5000,280
brumadinho,300,334,450,151,1200,300
bueno brandao,200,250,409,180,600,250
buenopolis,151,151,285,151,1600,250
bugre,164,250,302,151,0,151
buritis,210,240,280,151,1500,302
buritizeiro,151,180,300,151,600,151
cabeceira grande,200,230,350,180,600,300
cabo verde,300,300,450,206,2000,400
cachoeira da prata,225,230,300,151,1200,240
cachoeira de minas,213,228,500,200,900,242
cachoeira de pajeu,150,200,272,100,2000,150
cachoeira dourada,252,270,294,100,900,300
caetanopolis,250,280,280,160,700,300
caete,250,300,587,151,1200,250
caiana,200,226,210,168,300,250
cajuri,151,151,260,140,1000,300
caldas,250,280,350,200,2000,300
camacho,151,151,300,151,0,200
camanducaia,330,350,464,250,2000,490
cambui,300,297,500,180,800,300
cambuquira,200,200,350,151,1200,400
campanario,151,190,225,150,1000,200
campanha,250,230,344,160,2000,400
campestre,250,270,250,200,1500,300
campina verde,226,250,620,151,1200,450
campo azul,150,150,212,95,1500,150
campo belo,226,230,585,151,1300,400
campo do meio,227,220,300,200,1625,400
campo florido,293,300,450,200,2500,400
campos altos,280,300,355,200,1200,450
campos gerais,220,242,380,200,2000,300
cana verde,200,200,300,160,300,302
canaa,120,150,151,100,1000,150
canapolis,240,274,440,151,1000,302
candeias,200,225,300,170,1000,200
cantagalo,160,250,315,150,1500,151
caparao,200,220,315,190,479,239
capela nova,151,250,367,125,700,150
capelinha,151,225,400,130,1000,210
capetinga,250,250,380,200,1000,480
capim branco,222,235,264,151,800,250
capinopolis,250,300,340,151,1800,400
capitao andrade,151,226,315,144,1500,200
capitao eneas,151,180,220,140,750,151
capitolio,280,300,650,225,1000,300
caputira,200,200,320,151,3000,200
carai,130,151,260,100,500,136
caranaiba,151,151,302,150,1500,200
carandai,190,200,463,151,1000,225
carangola,226,250,400,151,1200,300
caratinga,200,226,470,151,1000,300
carbonita,151,190,280,80,1000,151
careacu,200,220,405,151,1200,300
carlos chagas,151,198,250,150,2000,200
carmesia,151,210,186,130,600,151
carmo da cachoeira,200,200,400,151,1500,400
carmo da mata,220,247,800,151,800,310
carmo de minas,195,151,450,151,2000,302
carmo do cajuru,240,300,400,151,500,300
carmo do paranaiba,240,226,240,151,1200,340
carmo do rio claro,260,260,444,200,1500,400
carmopolis de minas,190,190,429,151,1500,300
carneirinho,280,302,800,151,2000,340
carrancas,180,151,320,130,1300,250
carvalhopolis,200,200,350,200,0,200
carvalhos,151,195,380,140,800,200
casa grande,172,175,243,150,800,250
cascalho rico,300,280,313,200,800,300
cassia,250,300,770,200,1000,500
cataguases,250,250,450,151,1000,302
catas altas,240,310,240,151,4500,240
catas altas da noruega,151,213,355,151,0,200
catuji,120,200,321,100,1500,110
catuti,100,350,151,75,0,100
caxambu,240,210,578,151,1000,300
cedro do abaete,250,302,360,240,0,400
central de minas,151,230,300,150,1000,200
centralina,220,290,257,151,800,400
chacara,200,250,500,151,3042,300
chale,240,240,450,200,500,250
chapada do norte,200,250,224,140,600,100
chapada gaucha,200,200,380,150,2000,200
chiador,180,220,790,151,3000,151
cipotanea,140,220,210,140,1200,60
claraval,220,212,400,200,1000,250
claro dos pocoes,151,170,200,140,500,151
claudio,240,270,460,151,700,300
coimbra,151,170,310,150,700,200
coluna,150,225,200,100,800,220
comendador gomes,302,302,800,200,9500,500
comercinho,120,200,187,90,250,150
conceicao da aparecida,300,277,400,200,1500,360
conceicao da barra de minas,151,151,242,151,500,200
conceicao das alagoas,300,302,350,200,800,500
conceicao das pedras,200,200,260,168,5000,200
conceicao de ipanema,200,278,450,160,1000,278
conceicao do mato dentro,151,200,345,140,2000,151
conceicao do para,200,225,243,180,550,200
conceicao do rio verde,190,173,280,151,900,300
conceicao dos ouros,220,250,358,151,1200,300
conego marinho,151,200,261,120,500,150
confins,252,280,360,151,1200,302
congonhal,240,250,430,200,1200,300
congonhas,300,320,302,151,1000,300
congonhas do norte,151,151,302,150,6000,138
conquista,280,280,250,156,300,400
conselheiro lafaiete,290,300,492,151,1000,300
conselheiro pena,200,225,500,151,1666,240
consolacao,200,270,250,151,400,250
contagem,340,350,600,200,1200,400
coqueiral,222,225,378,160,2000,400
coracao de jesus,150,160,260,100,500,150
cordisburgo,180,218,215,151,1300,200
