city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abaetetuba,18464,121,1978,3536,3248,9581
abel figueiredo,1708,0,174,227,173,1134
acara,3863,17,400,328,786,2332
afua,2639,0,281,529,581,1248
agua azul do norte,2182,36,122,382,453,1189
alenquer,4676,8,673,772,861,2363
almeirim,6894,32,489,3091,1212,2072
altamira,17191,92,2082,4411,2065,8542
anajas,1496,0,185,122,194,995
ananindeua,94393,3121,11137,40914,11562,27659
anapu,1095,0,89,77,192,737
augusto correa,2040,30,190,346,105,1369
aurora do para,2425,0,113,307,375,1629
aveiro,915,0,111,111,248,444
bagre,1406,11,256,132,477,531
baiao,2166,0,107,102,476,1482
bannach,810,0,51,55,106,597
barcarena,12815,183,1638,5038,1679,4278
belem,318972,12473,35424,141575,42480,87020
belterra,1186,14,118,485,53,516
benevides,7485,572,1210,2322,1142,2241
bom jesus do tocantins,2750,0,255,182,477,1836
bonito,918,0,97,94,247,479
braganca,11382,55,1451,1980,1517,6379
brasil novo,2393,26,159,245,344,1619
brejo grande do araguaia,1283,0,120,69,274,819
breu branco,5559,11,204,1283,824,3238
breves,10989,51,1086,3767,2071,4014
bujaru,1801,6,183,235,480,897
cachoeira do arari,1370,7,108,265,335,655
cachoeira do piria,947,0,42,195,288,423
cameta,8275,31,837,1214,1509,4683
canaa dos carajas,1708,10,152,262,336,948
capanema,9669,180,1070,2653,1566,4201
capitao poco,6323,12,505,799,435,4571
castanhal,29316,355,3251,11440,2772,11498
chaves,1821,19,58,529,172,1043
colares,1458,13,150,217,365,713
conceicao do araguaia,8942,69,1208,1824,1018,4822
concordia do para,2727,21,364,314,485,1542
cumaru do norte,946,18,44,190,177,517
curionopolis,3363,0,286,456,472,2148
curralinho,1247,24,84,105,271,762
curua,728,4,101,107,227,289
curuca,2338,26,287,510,415,1099
dom eliseu,8650,10,757,2299,763,4822
eldorado dos carajas,4673,9,352,461,489,3362
faro,871,0,94,69,198,510
floresta do araguaia,2078,12,161,144,28,1733
garrafao do norte,2490,0,273,108,675,1435
goianesia do para,4743,0,364,819,700,2860
gurupa,1981,0,232,143,635,972
igarape-acu,5440,23,397,746,1166,3108
igarape-miri,7500,40,796,955,772,4937
inhangapi,1077,13,79,337,252,396
ipixuna do para,3455,17,297,547,351,2242
irituia,3653,37,547,528,894,1647
itaituba,18569,72,2026,2754,3022,10695
itupiranga,6123,19,1014,767,750,3573
jacareacanga,2171,23,246,241,317,1343
jacunda,7967,29,905,1827,575,4630
juruti,2393,0,320,156,910,1007
limoeiro do ajuru,2150,0,179,148,564,1259
mae do rio,4279,45,560,626,636,2412
magalhaes barata,740,17,86,104,45,489
maraba,36993,240,3780,10522,6353,16098
maracana,2387,16,332,218,599,1222
marapanim,2158,12,333,267,640,906
marituba,15262,632,1943,5822,1475,5391
medicilandia,2921,24,186,430,599,1683
melgaco,826,10,42,201,155,418
mocajuba,2345,0,277,163,471,1434
moju,5373,44,337,1625,807,2561
monte alegre,7089,17,749,669,1548,4106
muana,3156,21,308,287,415,2125
nova esperanca do piria,1089,0,104,67,197,721
nova ipixuna,1753,0,154,258,314,1027
nova timboteua,2169,11,125,441,419,1173
novo progresso,6735,119,531,1200,88,4796
novo repartimento,4374,0,517,402,944,2510
obidos,5563,24,732,1415,598,2795
oeiras do para,2152,8,223,142,308,1472
oriximina,8052,83,664,3049,1055,3201
ourem,1887,0,213,212,500,962
ourilandia do norte,3126,30,318,258,448,2072
pacaja,2200,0,247,127,484,1342
palestina do para,1110,0,101,102,161,745
paragominas,18507,171,1630,7974,1201,7531
parauapebas,17898,157,1551,7291,2235,6663
pau d'arco,1338,4,72,90,217,955
peixe-boi,1068,8,91,173,228,568
picarra,1768,8,112,175,195,1279
placas,1568,6,108,92,99,1263
ponta de pedras,2313,0,274,390,521,1129
portel,4956,0,434,1013,1126,2382
porto de moz,2643,6,272,260,345,1759
prainha,1781,16,166,262,285,1052
primavera,1011,0,83,175,348,405
quatipuru,1378,8,84,203,150,934
redencao,15704,73,1700,3941,1653,8338
rio maria,3662,15,366,358,236,2687
rondon do para,9960,74,1091,2670,880,5245
ruropolis,2695,0,222,408,586,1479
salinopolis,8422,607,2300,1245,416,3855
salvaterra,2584,18,273,282,279,1732
santa barbara do para,2401,119,401,727,354,800
santa cruz do arari,566,0,33,133,163,237
santa isabel do para,8607,198,849,3350,742,3468
santa luzia do para,2186,5,213,373,349,1246
santa maria das barreiras,1708,6,151,257,177,1116
santa maria do para,3285,0,330,468,448,2039
santana do araguaia,6408,26,762,1764,593,3263
santarem,43064,687,4863,14975,5735,16803
santarem novo,633,11,64,80,225,254
santo antonio do taua,3369,57,284,908,682,1439
sao caetano de odivelas,2696,31,298,234,59,2075
sao domingos do araguaia,3436,22,382,283,664,2085
sao domingos do capim,2011,8,236,237,911,619
sao felix do xingu,4536,41,430,512,446,3107
sao francisco do para,1816,47,181,327,245,1016
sao geraldo do araguaia,4179,36,313,369,614,2846
sao joao da ponta,304,0,12,28,88,177
sao joao de pirabas,2306,59,283,276,402,1286
sao joao do araguaia,1182,5,83,89,304,700
sao miguel do guama,6828,59,696,2102,463,3508
sao sebastiao da boa vista,1907,0,159,48,570,1130
sapucaia,1131,13,100,347,195,476
senador jose porfirio,2080,13,176,358,372,1162
soure,3970,46,574,694,994,1661
tailandia,7916,16,693,2242,390,4575
terra alta,1044,17,126,218,198,486
terra santa,1862,22,196,511,276,858
tome-acu,8837,28,984,2887,887,4051
tracuateua,1012,0,150,149,177,537
trairao,1888,40,214,149,154,1331
tucuma,4963,41,594,609,438,3281
tucurui,17468,202,1442,8567,2790,4468
ulianopolis,4961,16,310,1631,363,2642
uruara,5620,62,541,1103,490,3424
vigia,6144,40,458,870,1064,3712
viseu,2783,0,338,342,757,1344
vitoria do xingu,1301,22,80,279,174,747
xinguara,8732,41,1002,1600,801,5289
