city,total,regular,military_and_gov,irregular,employers,entrepreneur
abaetetuba,151,300,281,150,700,150
abel figueiredo,206,206,243,160,1000,300
acara,160,200,200,151,1500,180
afua,200,210,227,151,500,200
agua azul do norte,250,302,240,230,1000,240
alenquer,151,270,200,120,716,150
almeirim,300,650,320,151,4000,200
altamira,300,302,420,180,1500,300
anajas,200,300,175,180,4000,200
ananindeua,280,302,475,155,1000,300
anapu,220,300,231,200,1500,234
augusto correa,151,200,250,151,400,150
aurora do para,151,260,225,151,300,160
aveiro,151,204,230,151,240,150
bagre,170,226,180,151,1800,160
baiao,151,200,240,150,350,151
bannach,230,302,308,200,0,210
barcarena,240,470,250,151,1500,200
belem,300,302,652,155,2000,300
belterra,192,225,465,178,0,151
benevides,210,280,330,151,3800,200
bom jesus do tocantins,170,300,190,150,750,200
bonito,150,320,164,120,360,150
braganca,153,280,283,151,800,151
brasil novo,240,285,300,200,2000,300
brejo grande do araguaia,151,300,235,150,1000,180
breu branco,200,300,204,180,1000,200
breves,180,228,245,151,500,170
bujaru,156,240,250,151,200,156
cachoeira do arari,151,151,186,151,1000,151
cachoeira do piria,150,200,151,151,2000,130
cameta,150,221,278,150,600,120
canaa dos carajas,240,300,300,185,800,300
capanema,172,270,270,150,1000,160
capitao poco,150,248,195,130,910,160
castanhal,200,250,300,151,1200,220
chaves,151,151,200,151,1500,174
colares,151,220,151,120,1200,150
conceicao do araguaia,200,302,300,151,1000,250
concordia do para,170,280,301,151,300,180
cumaru do norte,270,370,280,250,300,215
curionopolis,200,360,213,151,1500,200
curralinho,160,151,229,174,200,150
curua,150,198,200,100,180,130
curuca,151,151,200,151,453,150
dom eliseu,200,240,270,160,2000,252
eldorado dos carajas,200,300,414,180,2000,250
faro,151,248,190,151,500,151
floresta do araguaia,200,300,151,151,600,200
garrafao do norte,135,200,170,120,300,100
goianesia do para,250,302,282,200,600,250
gurupa,173,200,265,151,150,160
igarape-acu,153,226,180,150,500,180
igarape-miri,151,187,240,151,400,150
inhangapi,170,180,215,150,800,180
ipixuna do para,180,260,238,157,550,151
irituia,160,226,230,150,3000,180
itaituba,220,300,350,180,800,220
itupiranga,173,225,252,151,500,180
jacareacanga,350,380,400,300,950,400
jacunda,240,300,300,190,1500,250
juruti,145,170,176,150,1700,100
limoeiro do ajuru,151,205,217,149,300,150
mae do rio,151,300,225,151,250,160
magalhaes barata,151,200,180,151,0,151
maraba,250,330,500,151,1000,300
maracana,151,180,206,150,300,151
marapanim,151,180,258,151,600,150
marituba,210,280,300,153,750,250
medicilandia,250,400,335,200,468,250
melgaco,180,200,250,180,500,180
mocajuba,180,351,234,150,500,180
moju,200,300,300,160,800,170
monte alegre,150,302,260,133,500,150
muana,151,225,208,150,350,150
nova esperanca do piria,200,200,151,160,300,250
nova ipixuna,200,160,225,151,900,200
nova timboteua,151,166,200,140,50,180
novo progresso,400,400,250,350,1000,400
novo repartimento,200,300,310,151,1000,200
obidos,151,188,230,150,300,150
oeiras do para,151,200,206,151,250,150
oriximina,200,400,264,151,600,151
ourem,151,170,200,140,700,150
ourilandia do norte,250,302,240,200,1000,300
pacaja,200,219,250,200,2500,200
palestina do para,151,230,218,150,400,200
paragominas,242,280,320,180,2000,300
parauapebas,300,400,300,151,1500,300
pau d'arco,220,302,200,204,1000,200
peixe-boi,151,180,198,151,0,108
picarra,206,250,171,200,400,200
placas,240,300,230,200,1000,300
ponta de pedras,120,151,139,100,600,100
portel,177,250,151,151,2000,151
porto de moz,200,700,230,200,1000,200
prainha,170,253,151,161,3600,160
primavera,151,300,200,150,300,100
quatipuru,118,151,151,100,300,100
redencao,260,300,270,190,2000,300
rio maria,200,300,320,200,1280,230
rondon do para,210,241,308,151,1000,300
ruropolis,200,220,180,151,1500,200
salinopolis,200,230,314,151,780,250
salvaterra,151,200,183,120,300,200
santa barbara do para,190,230,250,151,4500,200
santa cruz do arari,151,151,176,151,1030,150
santa isabel do para,200,233,399,151,1100,200
santa luzia do para,151,190,200,151,1000,150
santa maria das barreiras,210,302,250,190,500,225
santa maria do para,168,300,210,150,600,200
santana do araguaia,220,280,250,170,1500,250
santarem,200,300,300,151,1200,160
santarem novo,150,220,215,150,80,120
santo antonio do taua,151,151,238,151,800,180
sao caetano de odivelas,151,160,151,151,950,150
sao domingos do araguaia,180,302,170,151,600,200
sao domingos do capim,151,330,180,151,300,150
sao felix do xingu,250,300,300,215,1000,200
sao francisco do para,180,220,300,151,600,200
sao geraldo do araguaia,200,250,250,151,1500,200
sao joao da ponta,151,228,278,151,0,150
sao joao de pirabas,151,151,226,151,600,160
sao joao do araguaia,175,226,230,150,900,180
sao miguel do guama,180,226,220,151,1000,200
sao sebastiao da boa vista,151,151,183,150,880,150
sapucaia,263,284,300,200,2500,300
senador jose porfirio,200,290,240,200,1000,180
soure,151,166,195,140,500,151
tailandia,280,315,324,220,2000,300
terra alta,151,151,184,140,3000,151
terra santa,166,240,183,151,2000,151
tome-acu,200,300,250,160,1200,200
tracuateua,150,300,228,151,200,100
trairao,200,226,180,200,700,200
tucuma,300,350,280,200,4000,300
tucurui,300,360,399,151,1500,300
ulianopolis,250,280,230,200,4000,300
uruara,300,360,300,200,400,400
vigia,200,210,209,160,500,200
viseu,150,200,158,151,1500,120
vitoria do xingu,226,242,250,200,700,250
xinguara,250,300,330,200,3000,300
