city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
agua branca,821,0,127,144,263,286
aguiar,823,0,41,179,89,514
alagoa grande,4810,131,449,1211,565,2454
alagoa nova,2510,0,394,217,428,1471
alagoinha,2044,54,206,628,397,759
alcantil,475,6,21,95,144,208
algodao de jandaira,406,0,8,43,85,269
alhandra,2782,27,183,937,358,1278
amparo,397,0,6,0,210,181
aparecida,1056,0,92,178,223,563
aracagi,2221,22,170,687,312,1030
arara,1596,0,160,223,357,855
araruna,2023,0,215,711,295,802
areia,5010,127,615,1492,566,2210
areia de baraunas,361,8,9,176,93,75
areial,840,14,115,288,51,372
aroeiras,2525,78,325,537,124,1461
assuncao,402,0,46,102,78,177
baia da traicao,745,12,74,249,49,362
bananeiras,2462,11,332,674,338,1106
barauna,469,9,55,68,82,255
barra de santa rosa,1862,16,174,262,277,1133
barra de santana,929,4,84,78,263,500
barra de sao miguel,978,0,42,124,119,693
bayeux,18897,555,1672,9680,1828,5162
belem,2716,5,347,458,453,1452
belem do brejo do cruz,1489,4,100,142,120,1122
bernardino batista,470,0,30,11,139,290
boa ventura,1485,40,160,133,351,802
boa vista,1054,7,58,310,193,486
bom jesus,536,5,52,65,74,340
bom sucesso,951,0,106,58,166,621
bonito de santa fe,1895,6,312,285,149,1143
boqueirao,2643,58,276,403,380,1525
borborema,638,0,63,195,84,296
brejo do cruz,2813,4,152,301,303,2052
brejo dos santos,720,0,85,280,168,188
caapora,3676,78,265,1698,646,987
cabaceiras,702,5,44,224,64,365
cabedelo,10956,537,1071,4754,1905,2689
cachoeira dos indios,1380,0,177,400,202,602
cacimba de areia,471,17,59,104,107,183
cacimba de dentro,1842,9,314,390,285,843
cacimbas,770,5,45,86,204,430
caicara,1284,14,118,284,235,634
cajazeiras,10193,153,1145,3399,1711,3785
cajazeirinhas,534,0,39,32,65,398
caldas brandao,863,24,79,287,139,334
camalau,1192,3,74,143,166,805
campina grande,82054,2064,7043,41955,8512,22481
campo de santana,1043,26,170,273,67,507
capim,717,9,35,467,46,161
caraubas,556,0,24,98,77,357
carrapateira,277,0,15,40,72,150
casserengue,620,0,30,165,51,375
catingueira,756,0,77,136,184,358
catole do rocha,5497,44,492,1703,456,2801
caturite,770,6,87,188,64,425
conceicao,3326,18,383,352,902,1670
condado,789,4,179,54,182,369
conde,2922,134,336,952,196,1304
congo,843,4,51,120,33,636
coremas,2266,4,395,545,245,1078
coxixola,241,0,31,36,37,137
cruz do espirito santo,2412,75,333,1058,215,731
cubati,1177,0,169,241,98,669
cuite,3058,20,348,443,456,1791
cuite de mamanguape,839,15,92,188,190,353
cuitegi,1231,5,164,233,352,476
curral de cima,779,0,46,31,94,608
curral velho,489,2,35,98,34,320
damiao,306,0,30,18,102,156
desterro,1052,11,116,152,174,600
diamante,930,0,70,91,338,431
dona ines,1167,19,119,168,249,613
duas estradas,529,0,26,122,176,204
emas,508,0,2,127,182,197
esperanca,4909,24,555,1369,987,1975
fagundes,1500,5,119,505,110,761
frei martinho,506,0,35,72,218,182
gado bravo,695,12,71,107,176,329
guarabira,10187,204,1028,4304,1037,3614
gurinhem,2227,75,262,521,321,1048
gurjao,489,0,52,78,115,244
ibiara,923,0,112,143,227,441
igaracy,1087,0,97,233,151,606
imaculada,1245,4,197,279,364,401
inga,2741,39,253,1319,332,799
itabaiana,4184,19,484,1713,422,1547
itaporanga,4677,44,463,1052,566,2553
itapororoca,2683,16,185,523,373,1586
itatuba,1598,49,181,542,237,589
jacarau,1908,4,159,364,217,1164
jerico,1230,0,192,87,302,650
joao pessoa,167296,6417,13689,82103,29207,35880
juarez tavora,1408,22,139,530,78,639
juazeirinho,2346,24,182,963,186,991
junco do serido,1128,7,25,360,64,672
juripiranga,1533,34,125,664,107,604
juru,1122,0,84,92,334,612
lagoa,956,0,29,66,127,735
lagoa de dentro,890,7,66,352,43,422
lagoa seca,4157,182,572,1203,485,1715
lastro,341,0,22,161,23,134
livramento,947,4,60,352,126,406
logradouro,551,0,27,203,216,104
lucena,1557,54,203,586,102,612
mae d'agua,446,2,56,18,184,186
malta,968,5,127,164,99,573
mamanguape,7463,57,837,2592,592,3386
manaira,1431,0,137,269,160,865
marcacao,639,25,113,109,129,263
mari,3914,70,348,1007,336,2154
marizopolis,797,0,89,176,101,431
massaranduba,1681,42,160,851,92,537
mataraca,1069,35,126,515,17,376
matinhas,480,6,67,38,169,200
mato grosso,491,0,23,43,72,354
matureia,441,0,66,52,35,287
mogeiro,1773,31,166,538,174,865
montadas,471,5,54,104,113,196
monte horebe,528,0,63,200,75,190
monteiro,5029,34,542,1248,530,2674
mulungu,1407,24,109,566,207,501
natuba,1818,7,63,193,340,1215
nazarezinho,1074,0,110,195,180,590
nova floresta,1722,12,162,496,76,975
nova olinda,1165,0,63,138,134,830
nova palmeira,614,2,40,277,21,273
olho d'agua,875,5,72,69,372,357
olivedos,490,0,29,159,103,198
ouro velho,516,0,29,113,93,282
parari,220,0,11,43,69,96
passagem,367,7,26,63,35,236
patos,22288,251,2198,5998,3598,10242
paulista,2551,6,194,144,202,2005
pedra branca,673,0,9,136,93,435
pedra lavrada,997,0,107,68,288,534
pedras de fogo,4914,41,519,1187,382,2786
pedro regis,733,13,17,130,86,486
pianco,3305,8,322,696,676,1603
picui,3271,8,261,672,360,1971
pilar,1955,47,220,693,122,873
piloes,1291,28,152,264,68,779
piloezinhos,788,0,88,85,20,595
pirpirituba,1686,21,127,460,311,768
pitimbu,2194,71,214,583,176,1151
pocinhos,2537,31,219,775,281,1231
poco dantas,472,0,42,41,84,305
poco de jose de moura,428,0,39,33,153,204
pombal,6636,0,808,1180,589,4059
prata,627,7,52,49,184,335
princesa isabel,3159,13,329,577,752,1488
puxinana,1641,32,157,850,94,509
queimadas,5870,165,459,2978,365,1904
quixaba,245,7,9,47,57,126
remigio,2283,19,200,369,593,1103
riachao,411,0,37,33,0,341
riachao do bacamarte,726,5,16,241,181,283
riachao do poco,457,9,46,78,34,289
riacho de santo antonio,306,0,22,16,23,246
riacho dos cavalos,846,0,94,118,200,433
rio tinto,3491,69,267,1566,553,1036
salgadinho,416,0,26,115,46,229
salgado de sao felix,1514,11,129,549,100,725
santa cecilia,732,0,54,79,124,475
santa cruz,810,0,110,161,135,404
santa helena,1041,0,104,244,187,508
santa ines,555,0,32,6,198,318
santa luzia,3124,22,384,839,458,1421
santa rita,24540,573,1981,14576,1381,6029
santa teresinha,798,4,82,246,159,308
santana de mangueira,898,3,75,47,188,585
santana dos garrotes,1506,3,151,209,131,1011
santarem,563,0,28,26,62,447
santo andre,334,0,21,19,124,170
sao bentinho,585,0,14,45,137,390
sao bento,6963,8,419,620,398,5519
sao domingos de pombal,408,0,48,50,37,274
sao domingos do cariri,380,0,27,49,47,256
sao francisco,402,0,40,57,172,133
sao joao do cariri,800,0,68,164,265,303
sao joao do rio do peixe,2084,23,271,374,472,944
sao joao do tigre,628,0,43,67,95,424
sao jose da lagoa tapada,1331,1,85,56,309,880
sao jose de caiana,964,0,4,118,189,652
sao jose de espinharas,886,0,38,122,128,598
sao jose de piranhas,2718,0,364,938,347,1069
sao jose de princesa,789,3,52,261,162,312
sao jose do bonfim,453,0,60,67,27,298
sao jose do brejo do cruz,373,0,40,12,107,215
sao jose do sabugi,881,9,78,346,98,350
sao jose dos cordeiros,451,0,22,97,100,232
sao jose dos ramos,636,25,40,165,200,207
sao mamede,1438,8,124,307,360,640
sao miguel de taipu,1022,53,88,159,138,584
sao sebastiao de lagoa de roca,1486,51,236,451,257,491
sao sebastiao do umbuzeiro,421,0,32,41,89,259
sape,7831,170,828,2448,1115,3271
serido,1135,20,105,386,288,336
serra branca,1957,17,239,483,280,938
serra da raiz,509,17,28,89,122,254
serra grande,659,0,83,52,89,434
serra redonda,1262,5,94,620,127,417
serraria,991,11,71,200,118,590
sertaozinho,559,0,38,159,163,199
sobrado,1178,24,114,124,72,843
solanea,3567,16,270,1202,404,1676
soledade,2188,13,219,989,138,829
sossego,375,11,21,153,30,160
sousa,12191,168,1483,3912,1180,5449
sume,2612,21,327,547,491,1226
taperoa,2002,23,188,535,398,859
tavares,1410,5,98,571,253,483
teixeira,1954,6,231,376,443,898
tenorio,420,0,13,48,188,171
triunfo,1150,0,81,109,287,673
uirauna,2623,0,301,511,303,1508
umbuzeiro,972,3,78,221,156,514
varzea,469,0,33,116,52,268
vieiropolis,433,5,45,63,84,235
vista serrana,662,5,67,45,59,486
zabele,486,0,11,24,148,302
