city,total,regular,military_and_gov,irregular,employers,entrepreneur
agua branca,100,300,151,100,300,50
aguiar,100,150,151,50,200,100
alagoa grande,151,180,180,120,160,150
alagoa nova,120,180,181,100,1500,100
alagoinha,151,170,151,110,1000,120
alcantil,151,151,156,151,0,120
algodao de jandaira,110,400,110,100,0,150
alhandra,151,151,151,140,0,151
amparo,120,0,151,90,400,70
aparecida,100,151,134,90,800,40
aracagi,120,160,120,100,200,120
arara,120,158,151,95,300,150
araruna,140,151,151,100,600,127
areia,130,160,151,82,400,120
areia de baraunas,100,150,150,150,0,50
areial,151,200,240,100,400,108
aroeiras,140,180,151,100,800,120
assuncao,151,151,140,151,712,120
baia da traicao,150,190,200,100,151,110
bananeiras,150,200,151,100,130,120
barauna,120,210,151,80,300,100
barra de santa rosa,100,193,151,100,700,100
barra de santana,150,151,151,120,400,150
barra de sao miguel,151,160,180,151,200,151
bayeux,200,230,300,151,400,180
belem,150,160,170,100,1000,120
belem do brejo do cruz,100,151,182,80,200,100
bernardino batista,50,200,99,40,0,50
boa ventura,100,200,151,50,100,100
boa vista,171,228,187,160,2000,151
bom jesus,80,126,200,60,300,55
bom sucesso,110,300,151,100,200,110
bonito de santa fe,120,151,200,80,350,150
boqueirao,150,190,180,120,500,150
borborema,150,151,151,100,600,120
brejo do cruz,150,218,160,120,300,151
brejo dos santos,100,120,300,100,300,100
caapora,155,172,155,140,172,151
cabaceiras,151,151,151,140,0,160
cabedelo,250,300,400,151,1500,250
cachoeira dos indios,120,200,158,75,500,100
cacimba de areia,150,160,155,100,1200,100
cacimba de dentro,140,160,220,100,500,100
cacimbas,60,261,151,40,800,50
caicara,120,160,162,100,450,100
cajazeiras,151,200,352,120,800,151
cajazeirinhas,100,151,151,100,0,200
caldas brandao,140,170,160,100,500,130
camalau,80,96,169,60,400,60
campina grande,220,250,400,151,1000,230
campo de santana,150,151,151,125,400,150
capim,151,200,151,120,500,120
caraubas,148,150,151,140,200,151
carrapateira,128,151,198,75,500,120
casserengue,138,200,151,80,0,150
catingueira,137,300,151,130,2000,90
catole do rocha,150,170,410,120,1000,90
caturite,150,240,151,140,200,150
conceicao,120,166,200,80,540,100
condado,130,180,191,100,3000,100
conde,160,190,151,151,800,170
congo,130,160,160,120,300,108
coremas,100,151,200,90,400,120
coxixola,130,180,213,120,200,100
cruz do espirito santo,151,174,170,150,0,151
cubati,100,160,228,100,600,84
cuite,140,151,151,100,360,150
cuite de mamanguape,150,151,170,120,0,120
cuitegi,150,191,151,100,500,120
curral de cima,112,140,142,100,220,150
curral velho,80,300,151,50,3000,80
damiao,120,165,151,100,150,100
desterro,130,200,210,100,500,100
diamante,130,200,180,100,80,100
dona ines,126,262,171,100,300,120
duas estradas,151,151,151,80,0,120
emas,100,87,89,100,0,100
esperanca,151,200,162,120,500,151
fagundes,130,180,136,120,800,151
frei martinho,140,200,140,120,900,150
gado bravo,120,151,160,100,150,100
guarabira,170,200,350,151,600,200
gurinhem,140,200,188,120,500,100
gurjao,150,156,152,120,780,120
ibiara,100,151,151,60,300,80
igaracy,100,151,151,80,300,80
imaculada,150,271,151,90,500,100
inga,151,170,178,150,453,100
itabaiana,151,160,170,120,700,151
itaporanga,150,200,310,80,500,140
itapororoca,120,151,151,100,300,150
itatuba,140,151,150,100,1000,100
jacarau,150,151,151,110,755,120
jerico,150,250,170,85,400,150
joao pessoa,280,300,516,151,1500,300
juarez tavora,140,200,170,80,0,120
juazeirinho,151,212,130,140,4000,150
junco do serido,150,151,244,100,0,120
juripiranga,151,160,170,110,1000,120
juru,150,280,151,100,400,150
lagoa,100,200,131,80,600,100
lagoa de dentro,150,164,151,100,200,100
lagoa seca,151,210,180,150,1000,151
lastro,120,135,144,100,100,100
livramento,126,151,138,80,50,130
logradouro,151,170,132,120,3000,150
lucena,151,151,151,151,1000,140
mae d'agua,150,302,151,110,800,151
malta,151,245,151,140,500,200
mamanguape,151,160,180,140,400,151
manaira,70,250,200,54,1300,50
marcacao,150,151,151,120,151,100
mari,140,151,171,112,400,151
marizopolis,150,151,136,120,0,150
massaranduba,151,151,151,120,200,200
mataraca,155,180,150,151,500,200
matinhas,120,151,156,120,0,100
mato grosso,100,80,130,82,1700,140
matureia,142,151,238,139,300,120
mogeiro,130,177,180,120,200,100
montadas,150,160,220,100,170,110
monte horebe,149,200,200,65,2000,150
monteiro,140,180,261,120,400,120
mulungu,151,180,151,140,300,150
natuba,120,180,151,100,500,100
nazarezinho,80,100,180,54,150,80
nova floresta,120,151,151,100,453,150
nova olinda,65,240,150,50,302,70
nova palmeira,151,151,191,130,0,120
olho d'agua,132,151,136,100,300,150
olivedos,151,151,151,120,0,120
ouro velho,138,163,140,100,0,130
parari,97,151,151,97,0,60
passagem,100,151,151,100,280,100
patos,177,240,213,150,900,200
paulista,120,200,171,90,375,170
pedra branca,90,136,151,65,360,100
pedra lavrada,130,200,138,120,1000,150
pedras de fogo,151,160,151,120,500,166
pedro regis,120,151,157,80,300,150
