city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abatia,2533,32,183,854,51,1414
adrianopolis,1142,10,119,479,60,474
agudos do sul,1140,27,83,583,23,424
almirante tamandare,26219,1418,2991,15873,1286,4652
altamira do parana,896,13,119,306,178,280
alto parana,3907,59,389,1592,166,1699
alto piquiri,3157,17,268,1352,91,1429
altonia,4575,30,496,1372,283,2394
alvorada do sul,3064,81,418,1460,122,983
amapora,1414,11,99,526,38,740
ampere,4335,109,393,2600,102,1131
anahy,707,11,43,195,157,301
andira,6752,218,576,3887,273,1798
angulo,849,0,95,397,41,315
antonina,4033,165,562,1974,264,1069
antonio olinto,989,35,136,460,43,316
apucarana,35631,741,2713,20881,1423,9873
arapongas,29332,726,2383,18655,1298,6271
arapoti,6474,207,649,3813,99,1706
arapua,732,5,47,121,116,443
araruna,3664,65,340,1946,127,1185
araucaria,27611,1193,1898,19065,1369,4086
ariranha do ivai,357,0,37,175,16,130
assai,4419,141,492,1788,99,1899
assis chateaubriand,8358,138,1129,3963,718,2409
astorga,8119,163,728,4272,267,2688
atalaia,1303,8,112,646,80,457
balsa nova,2794,65,220,1852,36,621
bandeirantes,10376,458,1193,5416,416,2893
barbosa ferraz,3492,48,470,1505,103,1367
barra do jacare,629,10,120,339,20,140
barracao,2149,22,244,741,208,933
bela vista da caroba,486,0,86,85,169,145
bela vista do paraiso,4596,146,554,2220,250,1427
bituruna,3480,30,155,2265,101,929
boa esperanca,1102,7,182,412,60,442
boa esperanca do iguacu,558,0,57,112,90,299
boa ventura de sao roque,1087,4,170,458,18,436
boa vista da aparecida,1448,18,247,447,210,525
bocaiuva do sul,2312,82,201,1134,99,796
bom jesus do sul,450,5,28,211,41,166
bom sucesso,1931,28,134,1208,41,519
bom sucesso do sul,505,14,97,202,100,92
borrazopolis,2129,9,304,700,69,1045
braganey,1215,26,214,459,23,493
brasilandia do sul,1078,7,53,272,188,558
cafeara,784,26,81,511,0,166
cafelandia,3661,54,320,2134,442,709
cafezal do sul,1267,0,66,509,29,664
california,2238,29,276,1008,66,861
cambara,7045,282,730,4747,88,1198
cambe,28918,1331,2236,18968,743,5642
cambira,1991,45,208,751,38,949
campina da lagoa,3633,49,462,1183,138,1800
campina do simao,883,0,52,448,96,287
campina grande do sul,9969,431,677,6767,342,1752
campo bonito,853,5,91,350,12,395
campo do tenente,1501,19,96,865,59,462
campo largo,28657,964,2371,19345,599,5378
campo magro,6045,277,536,3822,186,1224
campo mourao,22040,728,2169,12344,1660,5138
candido de abreu,2223,33,220,881,37,1052
candoi,2824,51,253,1165,159,1196
cantagalo,2358,42,292,697,318,1009
capanema,3618,60,539,1690,404,925
capitao leonidas marques,3451,55,307,1238,367,1485
carambei,4307,172,252,3212,24,647
carlopolis,4077,139,274,1436,140,2089
cascavel,74307,2065,6888,44565,3875,16914
castro,16093,610,1432,10419,326,3306
catanduvas,1900,28,235,895,115,626
centenario do sul,3662,45,280,2432,26,879
cerro azul,2274,12,148,795,170,1149
ceu azul,2960,36,329,1489,162,944
chopinzinho,4740,91,608,1872,158,2010
cianorte,19329,464,1420,11298,356,5791
cidade gaucha,3107,45,283,1767,100,913
clevelandia,4579,98,445,2387,173,1476
colombo,55395,2976,5404,33764,2110,11140
colorado,7512,159,705,4013,211,2425
congonhinhas,1866,46,102,908,67,743
conselheiro mairinck,967,9,102,379,82,394
contenda,2868,106,286,1263,170,1042
corbelia,4006,27,511,1608,209,1651
cornelio procopio,14646,658,1152,8947,643,3246
coronel domingos soares,1204,0,56,668,50,430
coronel vivida,5340,84,703,3003,101,1449
corumbatai do sul,970,0,57,392,80,440
cruz machado,2133,95,325,1176,8,529
cruzeiro do iguacu,821,2,76,406,88,250
cruzeiro do oeste,5484,85,563,2612,302,1923
cruzeiro do sul,1602,39,104,796,130,533
cruzmaltina,662,4,95,195,45,324
curitiba,512783,14869,25162,347778,34385,90589
curiuva,2803,43,176,1274,67,1241
diamante do norte,1958,23,185,811,56,882
diamante do sul,428,0,0,181,16,231
diamante d'oeste,1244,24,150,441,104,525
dois vizinhos,8265,100,909,4945,250,2061
douradina,1988,6,187,1025,53,716
doutor camargo,1576,17,132,818,94,515
doutor ulysses,950,6,14,278,132,519
eneas marques,1149,17,156,488,89,400
engenheiro beltrao,3972,77,396,2337,86,1075
entre rios do oeste,1031,5,96,516,167,246
esperanca nova,495,0,57,162,21,255
espigao alto do iguacu,733,20,77,396,19,221
farol,938,0,77,386,142,334
faxinal,4366,43,484,1887,104,1848
fazenda rio grande,18204,863,1865,11399,524,3552
fenix,1243,15,122,649,120,337
fernandes pinheiro,1099,10,65,623,81,320
figueira,2573,27,198,1173,73,1102
flor da serra do sul,550,5,40,204,138,163
florai,1848,12,233,772,106,725
floresta,1554,6,157,790,229,373
florestopolis,4211,36,246,3176,73,679
florida,862,9,141,341,190,181
formosa do oeste,1935,34,203,752,222,724
foz do iguacu,73418,2168,7301,34395,3939,25616
foz do jordao,1383,5,133,579,33,634
francisco alves,1541,9,170,443,238,681
francisco beltrao,18654,650,1663,11235,1085,4021
general carneiro,3503,52,158,2064,25,1204
godoy moreira,502,0,48,193,58,203
