city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abreu e lima,18923,464,1333,11436,1072,4617
afogados da ingazeira,5557,66,571,1560,1012,2347
afranio,1505,2,160,193,46,1104
agrestina,3087,50,272,744,199,1822
agua preta,3793,58,226,1898,393,1219
aguas belas,4291,7,527,779,416,2562
alagoinha,2415,4,167,345,287,1611
alianca,6605,343,843,3478,446,1495
altinho,2561,45,222,530,272,1492
amaraji,4067,40,236,1176,499,2116
angelim,1320,6,115,340,197,660
aracoiaba,2731,138,248,1165,153,1027
araripina,11031,28,1070,2998,1041,5896
arcoverde,12392,186,1172,4185,1839,5010
barra de guabiraba,1975,25,166,282,325,1177
barreiros,6740,110,475,3015,586,2553
belem de maria,1079,0,44,312,160,563
belem de sao francisco,3157,20,275,493,601,1767
belo jardim,12680,63,1234,5083,819,5481
betania,1255,4,108,146,389,608
bezerros,9384,128,765,2288,822,5381
bodoco,3703,0,320,598,532,2254
bom conselho,6000,12,650,1393,257,3687
bom jardim,4159,52,328,1461,596,1722
bonito,5680,54,393,1257,899,3077
brejao,2006,5,101,160,212,1528
brejinho,687,0,103,170,38,376
brejo da madre de deus,7356,44,474,750,374,5715
buenos aires,2377,151,255,944,224,803
buique,4069,17,286,697,603,2467
cabo de santo agostinho,33060,1031,2282,19492,1423,8833
cabrobo,5000,12,356,574,441,3619
cachoeirinha,2868,9,243,440,346,1830
caetes,1443,7,126,134,303,873
calcado,923,4,77,65,247,530
calumbi,745,0,65,140,279,261
camaragibe,31652,1913,3252,15739,2468,8279
camocim de sao felix,2557,42,189,442,230,1654
camutanga,1382,16,114,492,422,338
canhotinho,3223,14,355,745,255,1854
capoeiras,2157,0,115,138,424,1479
carnaiba,1877,17,163,491,422,784
carnaubeira da penha,598,0,25,20,287,267
carpina,13237,375,1333,6347,1160,4023
caruaru,55607,907,4172,22277,3196,25056
casinhas,1566,17,89,648,80,732
catende,5512,119,318,2830,512,1733
cedro,1325,13,200,155,234,722
cha de alegria,1786,61,147,817,169,592
