city,total,regular,military_and_gov,irregular,employers,entrepreneur
abreu e lima,224,260,500,151,600,200
afogados da ingazeira,151,151,236,120,1000,140
afranio,150,186,200,150,450,150
agrestina,150,180,170,120,1000,150
agua preta,151,151,160,150,151,160
aguas belas,100,200,170,80,800,100
alagoinha,100,202,193,60,300,100
alianca,151,170,158,151,400,151
altinho,120,200,200,100,500,120
amaraji,150,177,166,120,400,130
angelim,140,189,151,100,800,150
aracoiaba,151,180,210,140,800,160
araripina,151,220,260,120,1500,150
arcoverde,190,230,400,150,800,200
barra de guabiraba,150,200,100,130,200,150
barreiros,151,176,225,150,1500,160
belem de maria,150,170,151,120,1000,100
belem de sao francisco,151,210,200,151,500,151
belo jardim,151,240,227,120,890,151
betania,100,225,200,100,50,70
bezerros,151,200,209,150,1000,151
bodoco,120,200,160,100,600,100
bom conselho,120,208,220,100,1400,120
bom jardim,151,230,194,144,300,151
bonito,150,170,151,120,500,150
brejao,100,200,180,90,600,130
brejinho,100,310,100,100,200,100
brejo da madre de deus,151,226,184,150,400,151
buenos aires,151,151,151,140,302,151
buique,120,151,178,100,700,100
cabo de santo agostinho,200,250,283,151,800,200
cabrobo,150,200,200,100,700,200
cachoeirinha,150,230,150,100,500,160
caetes,100,180,182,120,50,100
calcado,120,250,180,80,500,100
calumbi,120,300,151,100,500,70
camaragibe,220,251,500,151,1000,220
camocim de sao felix,150,200,255,120,500,150
camutanga,151,200,151,100,151,130
canhotinho,140,200,150,120,300,100
capoeiras,120,164,255,100,1000,100
carnaiba,144,218,151,100,300,100
carnaubeira da penha,100,100,151,75,0,100
carpina,200,220,304,151,1000,230
caruaru,222,250,360,180,1000,250
casinhas,150,220,168,120,3000,100
catende,151,168,230,145,670,180
cedro,120,295,151,80,2000,140
cha de alegria,151,170,151,150,200,150
cha grande,151,155,170,150,200,150
condado,151,180,151,120,500,151
correntes,141,151,151,100,1500,150
cortes,151,155,180,120,600,151
cumaru,150,200,172,130,150,150
cupira,151,220,151,120,1000,180
custodia,151,250,220,100,2000,150
dormentes,120,151,151,100,600,100
escada,165,180,260,151,800,200
exu,110,280,170,100,500,100
feira nova,130,205,180,100,262,150
fernando de noronha,400,350,1300,300,2500,800
ferreiros,151,160,200,120,2000,180
flores,80,250,151,80,250,50
floresta,180,302,350,150,900,200
frei miguelinho,150,180,150,120,200,150
