city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
acaua,229,0,37,23,71,99
agricolandia,546,0,96,106,0,344
agua branca,2461,8,325,435,386,1307
alagoinha do piaui,705,0,42,174,74,416
alegrete do piaui,783,0,67,36,92,588
alto longa,1061,10,120,203,192,534
altos,5909,97,779,1955,364,2713
alvorada do gurgueia,599,4,57,72,93,372
amarante,2093,12,300,471,299,1011
angical do piaui,774,8,112,199,89,366
anisio de abreu,981,0,62,187,102,630
antonio almeida,377,0,50,66,96,166
aroazes,608,0,61,199,50,299
arraial,435,0,38,95,43,258
assuncao do piaui,561,5,29,117,128,281
avelino lopes,663,7,52,156,74,373
baixa grande do ribeiro,721,12,73,154,98,384
barra d'alcantara,578,7,88,241,47,196
barras,5445,9,562,1524,465,2884
barreiras do piaui,441,0,38,24,60,319
barro duro,1018,4,115,258,75,565
batalha,2636,35,301,357,544,1399
bela vista do piaui,253,0,32,87,4,131
belem do piaui,515,0,30,12,57,416
beneditinos,950,17,145,246,146,397
bertolinia,659,3,58,143,48,407
betania do piaui,338,0,33,33,77,195
boa hora,1385,10,26,45,146,1158
bocaina,656,0,54,112,98,392
bom jesus,3046,0,365,657,246,1777
bom principio do piaui,455,0,69,20,137,229
bonfim do piaui,574,0,3,132,39,399
boqueirao do piaui,526,0,40,11,170,306
brasileira,1179,0,150,170,77,781
brejo do piaui,509,0,38,12,237,222
buriti dos lopes,2084,10,198,438,75,1362
buriti dos montes,732,0,65,122,59,486
cabeceiras do piaui,622,0,42,83,172,326
cajazeiras do piaui,225,0,33,46,43,103
cajueiro da praia,974,9,75,173,106,611
caldeirao grande do piaui,586,0,28,139,71,349
campinas do piaui,340,0,32,80,14,215
campo alegre do fidalgo,425,0,34,5,176,210
campo grande do piaui,833,0,53,24,164,591
campo largo do piaui,612,0,48,37,135,393
campo maior,8861,93,1456,2034,1129,4150
canavieira,538,0,101,30,111,296
canto do buriti,2821,0,587,531,308,1395
capitao de campos,974,6,55,178,201,534
capitao gervasio oliveira,210,0,3,32,38,137
caracol,739,0,85,47,152,453
caraubas do piaui,357,0,28,104,5,219
caridade do piaui,476,6,18,29,76,346
castelo do piaui,2441,33,347,623,198,1239
caxingo,291,0,1,118,5,167
cocal,3277,34,386,220,196,2442
cocal de telha,623,0,42,56,176,348
cocal dos alves,722,0,37,86,60,538
coivaras,320,24,33,42,53,167
colonia do gurgueia,521,0,18,80,92,331
colonia do piaui,954,0,57,91,126,681
conceicao do caninde,435,5,27,110,77,216
coronel jose dias,415,0,50,69,13,283
corrente,4092,0,512,588,343,2649
cristalandia do piaui,1160,0,105,83,84,889
cristino castro,1403,0,150,256,165,831
curimata,1255,0,169,268,40,778
currais,414,0,36,16,65,298
curral novo do piaui,764,0,46,85,136,496
curralinhos,160,0,0,30,15,116
demerval lobao,1942,34,219,622,311,756
dirceu arcoverde,800,0,98,91,128,484
dom expedito lopes,788,6,89,179,167,346
dom inocencio,1128,0,86,54,44,944
domingos mourao,419,4,28,99,39,249
elesbao veloso,2253,5,295,596,83,1274
eliseu martins,421,0,76,139,0,205
esperantina,4727,0,528,884,568,2746
fartura do piaui,609,0,27,25,100,456
flores do piaui,377,0,30,102,45,200
floresta do piaui,142,0,11,0,44,86
floriano,12160,62,1748,3940,1504,4906
francinopolis,491,0,28,196,0,267
francisco ayres,564,8,79,165,97,215
francisco macedo,240,0,9,59,19,154
