city,total,regular,military_and_gov,irregular,employers,entrepreneur
acaua,150,200,151,151,0,85
agricolandia,50,220,0,80,0,31
agua branca,137,200,190,90,1000,120
alagoinha do piaui,130,280,151,60,2100,120
alegrete do piaui,149,480,180,120,350,100
alto longa,100,151,151,100,430,70
altos,150,201,280,120,960,100
alvorada do gurgueia,85,190,368,75,500,50
amarante,100,154,190,100,500,80
angical do piaui,100,151,238,100,300,60
anisio de abreu,150,210,300,105,250,115
antonio almeida,150,166,355,100,136,100
aroazes,151,230,180,151,400,150
arraial,100,200,320,100,0,80
assuncao do piaui,151,200,151,140,240,160
avelino lopes,100,197,272,140,350,80
baixa grande do ribeiro,151,300,220,151,5000,130
barra d'alcantara,100,200,80,75,0,80
barras,80,226,137,104,600,50
barreiras do piaui,120,450,160,91,250,100
barro duro,151,250,180,100,500,140
batalha,100,300,230,93,400,70
bela vista do piaui,150,151,205,88,0,120
belem do piaui,80,300,160,50,135,100
beneditinos,100,180,151,85,500,100
bertolinia,151,151,157,120,300,200
betania do piaui,80,100,151,60,200,60
boa hora,100,200,144,100,250,100
bocaina,150,300,300,100,500,150
bom jesus,150,245,270,120,1300,150
bom principio do piaui,100,180,151,140,300,100
bonfim do piaui,109,230,130,100,0,100
boqueirao do piaui,65,187,136,50,2000,50
brasileira,90,300,155,80,0,70
brejo do piaui,80,300,93,60,180,90
buriti dos lopes,100,289,189,120,500,100
buriti dos montes,85,200,151,80,300,70
cabeceiras do piaui,33,180,151,100,40,24
cajazeiras do piaui,90,185,130,140,60,75
cajueiro da praia,100,180,151,100,2000,70
caldeirao grande do piaui,100,151,300,50,1500,100
campinas do piaui,80,172,247,80,250,60
campo alegre do fidalgo,119,133,130,30,500,200
campo grande do piaui,100,115,154,72,200,100
campo largo do piaui,50,161,216,60,0,40
campo maior,151,225,251,100,1300,150
canavieira,120,230,172,100,600,80
canto do buriti,136,230,300,100,500,120
capitao de campos,120,200,151,75,300,100
capitao gervasio oliveira,110,191,119,139,180,100
caracol,135,220,318,125,500,100
caraubas do piaui,75,151,151,60,250,70
caridade do piaui,120,80,200,120,0,100
castelo do piaui,140,280,151,100,151,120
caxingo,100,151,840,100,0,90
cocal,100,230,168,90,200,80
cocal de telha,120,300,161,110,120,100
cocal dos alves,60,302,103,50,70,60
coivaras,120,151,190,120,700,100
colonia do gurgueia,150,300,185,130,1000,120
colonia do piaui,110,320,140,100,0,100
conceicao do caninde,80,151,151,110,1900,50
coronel jose dias,120,151,180,100,3500,100
corrente,120,280,240,110,1200,100
cristalandia do piaui,100,350,360,80,120,100
cristino castro,120,160,300,100,300,100
curimata,150,188,151,100,800,150
currais,100,300,200,120,1200,80
curral novo do piaui,100,220,130,80,150,90
curralinhos,57,151,151,136,0,45
demerval lobao,151,210,265,120,600,150
dirceu arcoverde,136,300,160,100,600,120
dom expedito lopes,151,225,151,100,3000,151
dom inocencio,100,151,151,100,1000,100
domingos mourao,120,152,151,100,100,100
elesbao veloso,125,250,316,80,500,100
eliseu martins,80,293,0,80,200,60
esperantina,100,300,282,120,100,80
fartura do piaui,100,230,150,80,1600,150
flores do piaui,115,200,148,100,200,100
floresta do piaui,80,0,135,50,200,70
floriano,151,250,300,130,700,151
francinopolis,127,151,0,100,0,150
francisco ayres,120,248,286,80,0,80
francisco macedo,90,151,151,100,100,70
francisco santos,120,248,230,100,168,100
fronteiras,151,244,320,105,1000,140
geminiano,150,157,200,140,160,120
gilbues,150,250,220,110,500,100
guadalupe,151,318,200,100,600,150
guaribas,100,151,300,240,0,100
hugo napoleao,30,151,190,60,1500,23
ilha grande,100,170,151,100,70,50
inhuma,140,294,250,100,500,150
ipiranga do piaui,130,181,156,100,500,151
isaias coelho,80,190,130,60,500,70
itainopolis,100,300,272,80,210,80
itaueira,100,280,450,100,700,112
jacobina do piaui,100,200,200,70,150,90
jaicos,103,300,158,100,1000,100
jardim do mulato,100,240,157,100,1000,100
jatoba do piaui,120,151,200,100,700,120
jerumenha,120,175,163,100,400,110
joao costa,150,150,500,150,0,120
joaquim pires,100,300,151,100,100,100
joca marques,70,180,150,90,200,50
jose de freitas,150,180,330,130,2500,100
juazeiro do piaui,150,178,300,100,180,100
julio borges,70,151,100,89,100,50
jurema,100,200,300,65,200,100
lagoa alegre,70,151,200,110,606,40
lagoa de sao francisco,70,151,192,50,80,60
lagoa do barro do piaui,70,178,150,60,0,45
lagoa do piaui,150,156,302,100,176,100
lagoa do sitio,144,250,151,90,1000,200
lagoinha do piaui,64,234,550,67,1934,37
landri sales,150,210,315,80,450,150
luis correia,150,151,151,144,400,120
luzilandia,100,220,151,80,400,80
madeiro,60,180,151,150,0,50
manoel emidio,100,151,290,128,500,85
marcolandia,130,226,334,100,1000,150
marcos parente,120,400,412,100,300,100
massape do piaui,90,456,100,64,320,100
matias olimpio,100,151,250,90,800,80
miguel alves,100,184,151,130,1300,90
miguel leao,151,184,488,151,140,100
milton brandao,70,157,170,66,0,50
monsenhor gil,138,152,151,100,400,100
monsenhor hipolito,100,300,204,70,500,120
monte alegre do piaui,100,135,151,100,280,90
morro cabeca no tempo,100,150,250,150,0,90
morro do chapeu do piaui,84,200,151,80,0,80
murici dos portelas,95,166,453,100,3000,70
nazare do piaui,70,193,380,80,4000,50
nossa senhora de nazare,110,500,151,80,213,84
nossa senhora dos remedios,50,140,151,70,120,50
nova santa rita,100,151,90,128,0,80
novo oriente do piaui,151,248,200,120,560,150
novo santo antonio,100,197,0,130,0,65
oeiras,120,180,151,100,1000,100
olho d'agua do piaui,60,202,153,87,400,50
padre marcos,90,200,151,60,400,100
paes landim,120,170,151,70,0,110
pajeu do piaui,140,225,80,100,500,150
palmeira do piaui,120,200,640,110,300,120
palmeirais,100,220,280,100,1100,76
paqueta,90,151,140,100,0,60
parnagua,130,240,151,100,0,150
parnaiba,151,220,350,138,1000,151
passagem franca do piaui,100,357,139,76,0,90
patos do piaui,100,151,151,60,50,100
paulistana,151,300,300,150,300,150
pavussu,80,167,151,60,100,90
pedro ii,100,180,176,80,453,50
pedro laurentino,150,151,150,142,500,150
picos,180,280,276,151,1100,200
pimenteiras,120,151,226,100,700,100
pio ix,110,178,300,80,140,100
piracuruca,120,200,200,100,300,120
piripiri,150,230,200,100,800,120
porto,50,151,151,100,3920,35
porto alegre do piaui,80,166,0,85,0,60
prata do piaui,75,200,158,120,1500,50
queimada nova,100,170,151,50,70,70
redencao do gurgueia,100,190,151,100,1500,62
regeneracao,120,250,151,100,250,100
riacho frio,100,450,193,70,316,80
ribeira do piaui,100,80,120,70,0,100
ribeiro goncalves,151,300,240,115,800,250
rio grande do piaui,100,150,264,99,0,100
santa cruz do piaui,100,151,153,85,400,100
santa cruz dos milagres,151,151,151,100,0,131
santa filomena,130,200,759,120,430,115
santa luz,120,151,335,150,200,100
santa rosa do piaui,110,303,168,80,300,80
santana do piaui,100,300,130,90,150,100
santo antonio de lisboa,150,225,300,100,600,151
santo antonio dos milagres,75,231,200,120,0,40
santo inacio do piaui,100,184,151,100,0,100
sao braz do piaui,100,250,151,120,200,100
sao felix do piaui,100,136,160,70,0,100
sao francisco de assis do piaui,80,151,151,140,0,65
sao francisco do piaui,80,140,191,60,0,120
sao goncalo do gurgueia,140,151,407,120,350,120
sao goncalo do piaui,90,151,258,80,400,50
sao joao da canabrava,100,151,170,60,200,100
sao joao da fronteira,150,220,151,100,22000,60
sao joao da serra,100,251,151,100,200,80
sao joao da varjota,90,151,151,100,70,75
sao joao do arraial,35,400,161,40,700,30
sao joao do piaui,151,300,236,120,1000,150
sao jose do divino,100,151,120,90,500,100
sao jose do peixe,100,151,186,80,0,100
sao jose do piaui,119,129,200,100,0,150
sao juliao,100,400,220,70,751,100
sao lourenco do piaui,100,174,150,100,150,100
sao luis do piaui,100,200,151,60,0,60
sao miguel da baixa grande,50,300,0,50,0,30
sao miguel do fidalgo,100,140,0,140,0,80
sao miguel do tapuio,100,300,140,100,151,95
sao pedro do piaui,93,151,200,80,1000,60
sao raimundo nonato,151,166,307,140,900,151
sebastiao barros,115,40,200,130,300,100
sebastiao leal,100,302,139,100,0,60
sigefredo pacheco,80,170,290,100,350,70
simoes,100,160,120,90,625,110
simplicio mendes,120,302,329,100,600,150
socorro do piaui,130,388,151,90,300,100
sussuapara,150,200,151,150,500,100
tamboril do piaui,120,200,151,100,0,120
tanque do piaui,80,350,151,151,0,50
teresina,200,250,444,151,1300,200
uniao,100,160,180,85,800,60
urucui,151,302,158,150,500,150
valenca do piaui,151,249,400,120,500,150
varzea branca,100,200,250,75,300,90
varzea grande,100,230,200,80,240,80
vera mendes,100,148,300,130,0,80
vila nova do piaui,100,151,184,100,300,80
wall ferraz,90,189,40,80,0,90
