city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
angra dos reis,31798,2452,3300,15611,1191,9242
aperibe,2383,34,287,787,191,1084
araruama,21758,1423,3277,8276,2221,6561
areal,2906,221,305,1279,187,914
armacao dos buzios,5707,967,756,2133,161,1690
arraial do cabo,7131,186,665,3534,640,2107
barra do pirai,25198,1522,2259,14777,1731,4908
barra mansa,48860,2433,3903,30424,2265,9836
belford roxo,109383,4940,12780,57876,6537,27251
bom jardim,6652,376,689,2480,496,2611
bom jesus do itabapoana,10389,307,829,5075,519,3659
cabo frio,32606,1394,2962,16081,2227,9942
cachoeiras de macacu,13661,1002,2118,5028,1152,4361
cambuci,4272,76,532,1129,638,1897
campos dos goytacazes,109919,3935,9891,54745,8600,32747
cantagalo,6087,262,528,3205,433,1658
carapebus,2715,72,271,1859,59,453
cardoso moreira,3234,70,302,1032,464,1366
carmo,4939,215,553,2670,233,1269
casimiro de abreu,6967,160,688,2705,715,2699
comendador levy gasparian,2335,69,181,1202,242,640
conceicao de macabu,5570,130,472,2542,580,1845
cordeiro,5784,244,553,2771,688,1528
duas barras,3299,110,314,1076,517,1282
duque de caxias,204935,8944,20480,116922,11536,47052
engenheiro paulo de frontin,3557,440,482,1664,133,838
guapimirim,9972,1075,2062,3559,434,2842
iguaba grande,3911,223,695,1026,481,1486
itaborai,50041,3602,6738,23401,2824,13476
itaguai,20900,470,1848,10118,2212,6253
italva,3378,68,274,1507,318,1211
itaocara,6569,167,801,2086,922,2593
itaperuna,26342,1018,2363,12961,1423,8577
itatiaia,8155,550,752,3331,1257,2266
japeri,20064,1389,3530,8453,1582,5110
laje do muriae,2425,79,251,921,400,774
macae,42287,1664,3182,25641,2421,9379
macuco,1365,27,53,840,181,264
mage,49915,2871,7423,23641,3561,12418
mangaratiba,6767,443,816,2500,978,2030
marica,19448,1511,2995,7725,1442,5775
mendes,5027,448,562,2736,332,949
miguel pereira,6839,1003,1243,2336,581,1676
miracema,8020,350,1094,3052,750,2774
natividade,4778,89,390,2038,392,1869
nilopolis,43885,824,3501,25340,4588,9632
niteroi,141861,7784,9054,80056,17607,27359
nova friburgo,53489,3304,3522,31695,2135,12833
nova iguacu,242052,10874,26287,129008,18541,57342
paracambi,10549,249,1034,6354,590,2322
paraiba do sul,10662,674,986,4848,721,3433
parati,8151,606,811,3194,836,2704
paty do alferes,6640,524,999,2019,457,2640
petropolis,86112,9021,7322,49145,3452,17171
pinheiral,5167,212,547,2943,388,1077
pirai,6268,292,540,3327,637,1473
porciuncula,4848,182,598,1446,417,2205
porto real,3702,217,267,2420,99,699
quatis,3132,113,271,1862,155,732
queimados,30111,2093,4373,14543,2363,6739
quissama,3900,139,270,2284,159,1048
resende,33232,1794,2723,19512,2406,6797
rio bonito,14089,660,1412,6390,966,4661
rio claro,4449,242,515,1741,546,1404
rio das flores,2314,130,233,1179,172,601
rio das ostras,9873,507,1579,3840,551,3396
rio de janeiro,1746856,61675,100617,1072540,168092,343932
santa maria madalena,3454,110,216,1494,236,1398
santo antonio de padua,12613,403,1424,4689,1125,4972
sao fidelis,9912,265,1182,3637,1199,3630
sao francisco de itabapoana,10125,149,1111,1469,602,6795
sao goncalo,256998,11345,21415,146055,19768,58415
sao joao da barra,6582,258,835,2568,448,2474
sao joao de meriti,125621,4252,10932,71676,8959,29802
sao jose de uba,1403,17,148,546,98,594
sao jose do vale do rio preto,5361,229,511,2016,378,2227
sao pedro da aldeia,17266,752,2007,6672,2244,5591
sao sebastiao do alto,2474,24,319,775,339,1017
sapucaia,4122,122,388,1971,452,1189
saquarema,12905,1010,2336,4054,1132,4373
seropedica,16834,736,1819,7575,1660,5045
silva jardim,5931,275,685,1989,741,2242
sumidouro,3547,87,187,795,359,2119
tangua,6654,320,805,3303,283,1944
teresopolis,40560,4238,4985,17905,2731,10703
trajano de morais,2740,54,196,775,729,985
tres rios,20517,1028,1444,12420,1496,4128
valenca,18581,1225,1820,9602,1780,4155
varre-sai,2821,12,212,354,412,1831
vassouras,9453,699,1063,5074,398,2219
volta redonda,68576,2133,4711,44712,3112,13906
