city,total,regular,military_and_gov,irregular,employers,entrepreneur
angra dos reis,350,400,800,240,1000,400
aperibe,226,300,420,151,2000,300
araruama,300,300,400,160,1000,400
areal,300,300,400,210,900,350
armacao dos buzios,400,350,660,280,1800,500
arraial do cabo,320,356,600,200,1500,350
barra do pirai,300,300,500,151,1000,300
barra mansa,300,350,565,156,2000,350
belford roxo,300,350,500,226,900,300
bom jardim,260,285,500,200,1000,350
bom jesus do itabapoana,204,250,700,151,1000,240
cabo frio,302,340,700,200,1400,400
cachoeiras de macacu,300,300,500,200,1000,300
cambuci,200,230,450,151,1100,200
campos dos goytacazes,280,301,520,155,1200,300
cantagalo,250,287,498,151,1000,302
carapebus,312,380,425,151,900,360
cardoso moreira,200,240,250,151,600,250
carmo,226,240,346,151,1000,280
casimiro de abreu,300,340,495,200,2000,320
comendador levy gasparian,220,250,345,151,1200,200
conceicao de macabu,300,350,400,160,1200,300
cordeiro,300,302,500,200,755,302
duas barras,227,260,375,151,1180,250
duque de caxias,320,360,700,240,1100,302
engenheiro paulo de frontin,226,240,600,160,800,300
guapimirim,300,302,500,200,1000,400
iguaba grande,300,300,400,200,1200,400
itaborai,300,302,582,200,1000,300
itaguai,320,380,500,220,1200,302
italva,240,300,240,151,1000,270
itaocara,200,250,450,151,1400,220
itaperuna,250,300,610,151,1500,300
itatiaia,300,300,400,200,1500,350
japeri,300,310,405,200,1500,300
laje do muriae,180,250,224,151,1000,160
macae,400,430,590,226,1500,400
macuco,300,280,500,151,1000,301
mage,300,350,600,200,1000,300
mangaratiba,340,400,360,250,1000,400
marica,320,350,613,210,1500,400
mendes,300,300,460,180,1500,302
miguel pereira,300,274,560,180,2000,400
miracema,200,300,600,151,780,300
natividade,200,227,490,151,700,240
nilopolis,385,400,800,240,1200,360
niteroi,600,500,1200,300,2000,600
nova friburgo,302,302,600,230,1200,400
nova iguacu,346,380,700,225,1200,302
paracambi,300,370,600,200,1550,300
paraiba do sul,226,250,405,151,1000,300
parati,300,369,450,226,2000,302
paty do alferes,240,250,400,160,680,300
petropolis,350,350,730,250,1500,400
pinheiral,280,375,486,151,1500,300
pirai,300,300,400,160,1000,400
porciuncula,164,230,419,151,453,250
porto real,279,300,309,160,3000,302
quatis,300,300,440,151,1000,350
queimados,302,350,510,225,1200,300
quissama,266,320,250,151,800,300
resende,333,371,800,180,1500,400
rio bonito,280,300,400,200,1300,300
rio claro,280,302,367,190,500,300
rio das flores,190,200,345,151,500,200
rio das ostras,302,392,516,210,1000,400
rio de janeiro,500,473,1000,300,2000,500
santa maria madalena,200,225,481,151,800,250
santo antonio de padua,226,250,480,151,1200,250
sao fidelis,200,280,525,151,1000,200
sao francisco de itabapoana,160,255,210,151,500,200
sao goncalo,350,370,800,240,1200,350
sao joao da barra,219,280,350,152,600,200
sao joao de meriti,350,380,700,250,1000,302
sao jose de uba,190,270,700,151,1000,151
sao jose do vale do rio preto,300,300,380,180,1000,360
sao pedro da aldeia,300,320,900,200,1400,300
sao sebastiao do alto,180,330,320,151,1000,151
sapucaia,300,300,458,175,1000,300
saquarema,280,300,400,200,1500,300
seropedica,300,400,453,200,1200,290
silva jardim,230,285,340,160,1500,302
sumidouro,230,300,450,200,1300,250
tangua,280,302,480,200,1000,287
teresopolis,300,302,515,200,1500,352
trajano de morais,151,180,230,151,800,151
tres rios,251,254,450,151,1000,300
valenca,240,250,450,151,700,300
varre-sai,160,302,214,151,800,226
vassouras,260,300,700,159,1000,300
volta redonda,350,400,590,180,1200,350
