city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
acari,3125,40,361,735,454,1535
acu,9164,127,842,3837,868,3490
afonso bezerra,1618,23,111,594,50,839
agua nova,280,0,18,75,64,123
alexandria,1834,7,257,887,140,542
almino afonso,657,2,66,194,218,178
alto do rodrigues,2127,4,108,1179,43,793
angicos,2185,24,283,732,177,969
antonio martins,593,4,51,209,152,177
apodi,5611,38,500,1860,300,2913
areia branca,4656,30,385,2367,466,1409
ares,2132,20,202,1056,209,644
augusto severo,1383,16,122,504,119,622
baia formosa,1076,25,53,562,69,367
barauna,3876,34,214,1941,144,1544
barcelona,687,33,77,191,35,351
bento fernandes,449,6,54,156,104,130
bodo,373,0,38,102,79,154
bom jesus,1221,34,200,311,90,586
brejinho,1801,48,169,458,177,949
caicara do norte,1198,5,94,147,99,855
caicara do rio do vento,399,4,31,109,70,186
caico,16110,317,1717,5775,1680,6620
campo redondo,1231,3,125,394,238,470
canguaretama,4285,53,345,2188,415,1285
caraubas,3079,0,468,1112,337,1161
carnauba dos dantas,1548,7,151,470,184,736
carnaubais,1097,2,82,632,101,281
ceara-mirim,11269,430,1457,4582,651,4148
cerro cora,1282,33,163,522,69,495
coronel ezequiel,536,5,75,151,47,258
coronel joao pessoa,442,15,89,134,83,120
cruzeta,2022,30,163,581,187,1061
currais novos,8992,135,947,3561,1154,3194
doutor severiano,519,0,77,196,132,115
encanto,646,4,76,198,98,269
equador,971,0,114,260,134,462
espirito santo,1641,10,123,788,94,626
extremoz,3666,172,485,1536,198,1275
felipe guerra,938,9,46,379,32,473
fernando pedroza,531,2,36,110,79,304
florania,1696,6,225,451,166,848
francisco dantas,582,1,162,153,128,138
frutuoso gomes,547,6,57,270,37,176
galinhos,299,3,28,96,90,81
goianinha,2776,36,338,1415,233,753
governador dix-sept rosado,1897,3,167,446,206,1075
grossos,1457,5,62,614,176,600
guamare,1562,4,145,573,225,615
ielmo marinho,1392,6,121,375,139,751
ipanguacu,1847,11,95,943,260,538
ipueira,381,8,39,78,77,180
itaja,1392,21,96,614,71,589
itau,968,0,51,307,159,450
jacana,1077,0,98,262,251,467
jandaira,1144,0,102,142,138,763
janduis,877,39,103,285,152,298
januario cicco,1039,14,119,296,92,518
japi,559,7,49,250,38,216
jardim de angicos,453,0,33,119,94,207
jardim de piranhas,3662,0,208,701,143,2610
jardim do serido,2831,43,258,970,292,1268
joao camara,4137,43,432,1353,359,1949
joao dias,214,0,0,86,39,89
jose da penha,718,5,93,212,202,206
jucurutu,2831,5,378,429,462,1557
lagoa d'anta,865,16,96,226,60,467
lagoa de pedras,480,17,53,102,94,214
lagoa de velhos,435,11,38,68,117,200
lagoa nova,1476,0,99,244,19,1114
lagoa salgada,765,12,105,139,21,488
lajes,1836,28,196,597,205,810
lajes pintadas,593,6,62,193,77,255
lucrecia,561,0,40,160,76,285
luis gomes,1161,2,199,407,172,381
macaiba,11865,375,1175,5654,698,3963
macau,5511,92,488,2647,648,1637
major sales,244,0,10,119,0,116
marcelino vieira,1076,0,190,127,327,433
martins,1022,4,190,309,202,317
maxaranguape,1271,85,227,319,79,561
messias targino,659,10,56,245,62,285
montanhas,1829,109,278,475,290,677
monte alegre,2961,35,250,1084,294,1298
monte das gameleiras,356,6,5,214,43,88
mossoro,48938,1158,4273,27618,3261,12628
natal,192798,6212,13265,108558,21613,43151
nisia floresta,4310,232,370,1407,322,1980
nova cruz,4310,42,366,1639,595,1668
olho-d'agua do borges,722,4,74,261,131,252
ouro branco,929,13,81,265,127,442
parana,352,0,34,34,182,102
parau,701,0,29,332,44,297
parazinho,681,7,72,76,129,398
parelhas,4324,45,342,1674,459,1803
parnamirim,34088,624,2576,18328,4182,8379
passa e fica,862,0,63,230,112,457
passagem,467,0,8,192,138,130
patu,2046,6,276,616,194,954
pau dos ferros,5858,23,830,1796,765,2444
pedra grande,745,4,91,139,33,478
pedra preta,322,0,8,216,15,83
pedro avelino,1522,8,142,346,200,826
pedro velho,1701,10,197,762,150,582
pendencias,2139,22,110,1039,105,863
piloes,514,0,81,133,147,153
poco branco,1731,24,203,560,89,855
portalegre,800,9,119,281,88,303
porto do mangue,700,11,55,149,39,446
presidente juscelino,949,23,95,256,112,462
pureza,1192,18,132,290,126,626
rafael fernandes,585,0,66,169,134,216
rafael godeiro,389,0,32,135,100,122
riacho da cruz,229,5,36,124,10,54
riacho de santana,485,0,67,138,155,126
riachuelo,847,11,48,332,72,384
rio do fogo,1407,27,187,305,104,785
rodolfo fernandes,1002,21,127,218,48,588
ruy barbosa,702,14,111,279,88,210
santa cruz,5869,0,566,1661,1052,2590
santa maria,491,0,17,170,0,304
santana do matos,2006,19,232,486,287,982
santana do serido,489,0,28,95,129,237
santo antonio,2937,26,331,1055,176,1349
sao bento do norte,514,6,14,78,89,328
sao bento do trairi,448,7,4,118,107,211
sao fernando,804,0,62,205,18,518
sao francisco do oeste,676,0,85,178,123,290
sao goncalo do amarante,16914,389,1367,9019,1303,4837
sao joao do sabugi,995,18,109,284,185,400
sao jose de mipibu,7324,184,861,2604,579,3096
sao jose do campestre,1382,10,120,486,260,507
sao jose do serido,997,8,83,207,149,551
sao miguel,2157,9,320,643,232,953
sao miguel de touros,879,16,93,166,132,472
sao paulo do potengi,2653,7,238,1183,203,1022
sao pedro,1113,20,195,301,75,522
sao rafael,937,0,130,235,106,466
sao tome,1541,38,164,607,52,681
sao vicente,949,3,97,157,299,392
senador eloi de souza,684,3,76,189,106,310
senador georgino avelino,816,6,70,328,76,336
serra de sao bento,702,17,42,417,4,222
serra do mel,1156,0,48,360,108,640
serra negra do norte,1603,0,140,256,187,1020
serrinha,1039,24,132,111,13,760
serrinha dos pintos,512,0,42,219,25,227
severiano melo,1936,15,217,498,90,1117
sitio novo,505,0,48,136,117,203
taboleiro grande,460,0,18,206,6,231
taipu,1571,45,121,448,174,783
tangara,1603,25,150,545,243,639
tenente ananias,1100,11,85,372,96,535
tenente laurentino cruz,838,11,41,347,72,366
tibau,912,29,92,137,129,525
tibau do sul,1849,4,208,549,137,951
timbauba dos batistas,373,0,40,31,145,156
touros,3856,36,231,1111,109,2368
triunfo potiguar,495,0,42,80,59,314
umarizal,2005,19,271,629,123,964
upanema,1458,13,114,663,101,568
varzea,1148,22,139,416,113,458
venha-ver,357,0,13,141,156,47
vera cruz,1973,27,231,281,63,1371
vicosa,184,8,0,84,6,86
vila flor,465,19,24,341,17,64
