city,total,regular,military_and_gov,irregular,employers,entrepreneur
acari,151,229,226,140,480,151
acu,166,202,280,150,750,200
afonso bezerra,151,151,151,130,2000,151
agua nova,125,151,136,125,151,125
alexandria,151,184,151,100,600,150
almino afonso,151,164,151,120,150,151
alto do rodrigues,200,250,250,151,500,195
angicos,151,200,350,150,600,151
antonio martins,151,200,151,100,200,151
apodi,151,180,300,130,500,150
areia branca,200,245,250,150,400,200
ares,151,180,200,140,1000,150
augusto severo,150,151,180,120,100,120
baia formosa,151,151,154,140,300,200
barauna,151,151,164,150,1000,160
barcelona,151,160,151,120,700,150
bento fernandes,151,160,200,151,0,120
bodo,151,200,175,150,3000,150
bom jesus,151,190,262,120,900,151
brejinho,151,160,151,130,500,150
caicara do norte,150,160,151,100,200,151
caicara do rio do vento,151,151,180,140,0,190
caico,195,220,400,151,1000,200
campo redondo,151,169,200,110,500,140
canguaretama,151,160,170,140,2000,151
caraubas,151,200,263,120,1000,150
carnauba dos dantas,153,200,200,150,2100,151
carnaubais,151,170,221,151,1500,150
ceara-mirim,151,188,300,151,600,160
cerro cora,151,180,188,130,100,120
coronel ezequiel,151,151,281,100,140,180
coronel joao pessoa,151,151,151,75,35,100
cruzeta,151,200,207,120,600,151
currais novos,167,225,202,143,1000,160
doutor severiano,172,173,297,150,800,150
encanto,151,300,151,100,0,150
equador,150,161,160,150,1000,150
espirito santo,150,151,150,120,5000,151
extremoz,200,250,498,151,1000,200
felipe guerra,151,185,300,120,300,120
fernando pedroza,151,152,360,120,1000,120
florania,150,190,220,105,600,151
francisco dantas,151,151,151,100,0,150
frutuoso gomes,150,151,92,121,377,140
galinhos,150,151,151,150,0,120
goianinha,200,220,203,151,4000,200
governador dix-sept rosado,151,180,240,150,1000,151
grossos,200,250,151,180,1000,200
guamare,151,230,151,151,500,151
ielmo marinho,151,200,179,150,780,150
ipanguacu,151,151,160,150,4000,151
ipueira,155,164,164,140,200,160
itaja,151,151,151,151,2000,151
itau,151,151,151,150,0,151
jacana,151,200,200,120,2000,150
jandaira,151,218,185,150,300,150
janduis,151,184,200,120,200,200
januario cicco,150,151,151,100,1400,150
japi,150,192,212,100,400,130
jardim de angicos,151,158,151,120,0,151
jardim de piranhas,151,151,227,150,500,150
jardim do serido,164,200,365,150,500,160
joao camara,151,200,200,150,1000,151
joao dias,150,160,87,126,0,115
jose da penha,151,321,151,80,150,150
jucurutu,151,220,151,140,1000,150
lagoa d'anta,151,160,209,150,100,120
lagoa de pedras,151,151,161,100,0,120
lagoa de velhos,151,180,151,151,0,200
lagoa nova,150,240,340,138,5000,150
lagoa salgada,151,260,151,140,300,168
lajes,151,180,160,130,1800,151
lajes pintadas,151,211,335,140,2000,151
lucrecia,150,201,110,100,1000,151
luis gomes,151,228,243,70,300,150
macaiba,165,180,280,151,1500,200
macau,151,230,200,150,1340,150
major sales,170,180,0,151,0,170
marcelino vieira,150,167,180,90,350,100
martins,151,220,240,120,150,151
maxaranguape,151,151,155,150,200,150
messias targino,151,160,151,151,200,151
montanhas,151,180,194,140,400,180
monte alegre,151,158,343,150,200,150
monte das gameleiras,151,151,151,151,0,150
mossoro,203,250,395,151,1000,226
natal,280,280,550,160,1800,300
nisia floresta,151,200,230,151,1500,151
nova cruz,151,170,294,120,2000,151
olho-d'agua do borges,151,220,151,120,4000,150
ouro branco,151,151,276,150,350,150
parana,151,180,151,178,500,150
parau,151,151,127,150,10000,150
parazinho,151,169,151,120,300,160
parelhas,160,180,220,150,900,151
parnamirim,273,300,600,160,1200,300
passa e fica,150,151,140,120,500,145
passagem,151,151,151,120,0,140
patu,151,169,426,120,450,151
pau dos ferros,151,216,302,150,1000,200
pedra grande,150,157,350,140,0,150
pedra preta,151,151,151,120,0,151
pedro avelino,151,200,151,140,604,156
pedro velho,151,200,200,120,1200,150
pendencias,170,207,250,151,500,200
piloes,151,151,151,90,1000,150
poco branco,151,190,151,151,700,151
portalegre,151,173,163,120,500,150
porto do mangue,150,180,300,120,0,100
presidente juscelino,151,160,151,120,6000,100
pureza,120,151,173,120,650,100
rafael fernandes,150,233,160,100,220,100
rafael godeiro,151,151,151,130,1000,151
riacho da cruz,151,153,151,150,0,150
riacho de santana,116,151,110,100,0,100
riachuelo,151,170,284,120,3000,160
rio do fogo,150,180,151,130,1200,150
rodolfo fernandes,120,151,300,100,300,120
ruy barbosa,150,151,179,100,300,150
santa cruz,151,225,271,130,480,200
santa maria,160,230,0,151,1500,150
santana do matos,151,164,190,120,400,151
santana do serido,151,172,180,150,0,150
santo antonio,151,190,200,100,1200,160
sao bento do norte,143,190,178,140,300,113
sao bento do trairi,151,151,219,130,400,100
sao fernando,151,206,495,151,250,150
sao francisco do oeste,151,151,151,120,1500,100
sao goncalo do amarante,200,210,208,151,700,200
sao joao do sabugi,160,153,330,151,1400,200
sao jose de mipibu,160,184,268,151,800,200
sao jose do campestre,150,180,196,120,1200,150
sao jose do serido,151,160,358,128,500,160
sao miguel,151,182,204,120,1500,200
sao miguel de touros,150,198,151,90,100,150
sao paulo do potengi,151,151,180,120,604,200
sao pedro,151,151,206,151,600,151
sao rafael,150,200,220,100,300,150
sao tome,151,198,258,120,300,151
sao vicente,151,220,151,100,1500,151
senador eloi de souza,150,151,150,120,500,180
senador georgino avelino,151,168,160,151,2500,150
serra de sao bento,151,151,300,150,0,150
serra do mel,150,160,190,150,0,150
serra negra do norte,151,180,250,140,1000,160
serrinha,100,180,100,100,8000,100
serrinha dos pintos,151,208,151,150,800,144
severiano melo,120,170,200,100,180,100
sitio novo,151,151,180,140,0,151
taboleiro grande,151,166,490,150,100,100
taipu,151,180,270,150,1200,120
tangara,151,151,270,150,1000,152
tenente ananias,151,180,180,100,302,180
tenente laurentino cruz,150,168,170,80,700,140
tibau,151,151,160,151,1000,151
tibau do sul,160,200,151,150,1500,170
timbauba dos batistas,151,300,167,151,0,150
touros,151,220,151,120,400,150
triunfo potiguar,151,151,151,151,15000,150
umarizal,151,180,280,136,750,150
upanema,151,190,303,100,500,150
varzea,151,160,151,140,2000,151
venha-ver,151,160,156,130,0,102
vera cruz,150,220,393,120,1260,151
vicosa,150,300,162,150,0,120
vila flor,151,161,300,150,0,151
