city,total,regular,military_and_gov,irregular,employers,entrepreneur
agua santa,275,275,350,151,1000,300
agudo,220,259,600,151,800,200
ajuricaba,300,300,520,151,500,330
alecrim,200,250,400,100,2265,151
alegrete,260,260,596,151,1200,300
alegria,174,288,330,110,800,151
alpestre,162,233,480,151,2500,150
alto alegre,230,300,300,151,3588,250
alto feliz,300,300,400,159,500,300
alvorada,350,350,600,250,1100,400
amaral ferrador,200,200,249,151,550,250
ametista do sul,290,300,386,200,1500,250
andre da rocha,300,275,400,160,2000,300
anta gorda,400,250,600,180,1000,450
antonio prado,400,330,450,220,700,500
arambare,226,265,380,151,700,220
ararica,280,280,600,230,1350,450
aratiba,250,284,510,151,2000,250
arroio do meio,300,300,430,200,1000,300
arroio do sal,350,302,480,250,1000,300
arroio do tigre,226,220,280,150,650,250
arroio dos ratos,253,300,451,160,1300,300
arroio grande,225,225,396,151,1000,300
arvorezinha,302,300,470,151,1500,450
augusto pestana,250,270,550,150,1000,300
aurea,200,270,312,151,3000,200
bage,280,280,608,151,1057,300
balneario pinhal,300,320,390,240,1300,350
barao,300,280,490,200,1000,300
barao de cotegipe,300,280,500,200,500,300
barao do triunfo,280,300,410,151,1500,300
barra do guarita,185,280,337,90,1200,100
barra do quarai,250,250,170,200,1200,300
barra do ribeiro,300,300,350,151,1200,300
barra do rio azul,300,300,720,120,1100,300
barra funda,215,230,300,150,200,200
barracao,233,300,480,100,4000,250
barros cassal,226,225,350,151,1000,250
benjamin constant do sul,200,258,216,170,0,150
bento goncalves,450,400,580,250,1500,600
boa vista das missoes,280,302,350,150,4000,300
boa vista do burica,300,234,540,151,800,300
boa vista do sul,300,310,650,230,302,300
bom jesus,226,230,500,151,550,300
bom principio,300,300,400,240,1000,350
bom progresso,200,300,260,100,800,200
bom retiro do sul,270,250,500,168,800,300
boqueirao do leao,280,300,470,150,1500,350
bossoroca,151,151,400,100,400,185
braga,162,300,290,144,800,150
brochier,250,230,500,200,1500,300
butia,250,280,500,151,1500,300
cacapava do sul,226,250,400,151,1200,250
cacequi,205,230,450,151,900,250
cachoeira do sul,280,290,550,151,1300,300
cachoeirinha,400,400,600,280,1050,400
cacique doble,250,300,500,151,1200,270
caibate,217,300,508,120,1300,200
caicara,250,225,400,151,600,250
camaqua,300,300,480,151,1000,300
camargo,350,385,430,151,1500,363
cambara do sul,280,280,350,200,1750,300
campestre da serra,300,300,400,180,600,453
campina das missoes,180,230,600,151,1000,150
campinas do sul,300,300,378,150,1200,300
campo bom,320,300,600,250,1500,450
campo novo,200,280,220,150,450,220
campos borges,200,235,350,151,1500,200
candelaria,200,216,450,151,1000,200
candido godoi,200,200,384,120,750,200
candiota,300,400,300,190,500,200
canela,340,330,413,250,1000,450
cangucu,200,250,450,151,800,151
canoas,400,400,740,270,1500,450
capao da canoa,340,350,700,280,1200,350
capao do leao,249,270,300,151,1800,250
capela de santana,284,300,310,200,1000,250
capitao,250,220,600,300,1000,250
capivari do sul,302,300,480,200,1000,400
caraa,152,170,460,150,500,151
carazinho,302,328,500,180,1500,400
carlos barbosa,450,450,520,200,1000,500
carlos gomes,232,248,358,280,0,200
casca,300,300,600,151,800,400
caseiros,200,200,380,150,200,276
catuipe,200,250,500,151,1500,200
caxias do sul,500,470,800,250,1500,600
centenario,200,300,324,120,3000,151
cerrito,180,180,368,151,600,200
cerro branco,200,250,300,123,2000,200
cerro grande,180,211,400,150,500,150
cerro grande do sul,200,350,400,151,600,200
cerro largo,230,300,453,150,700,200
chapada,250,230,330,151,700,255
charqueadas,300,380,500,151,1200,300
charrua,151,226,430,100,5000,150
chiapetta,215,200,520,150,1800,300
chui,326,400,326,225,1500,302
chuvisca,375,250,350,240,1000,400
cidreira,300,302,450,200,1000,300
ciriaco,200,290,420,150,1000,200
colinas,250,260,1542,200,1151,250
colorado,350,302,480,151,950,400
condor,280,280,440,150,1000,300
constantina,156,250,500,130,1000,150
coqueiros do sul,167,300,408,130,2739,151
coronel barros,250,350,530,151,600,261
coronel bicaco,187,250,330,100,1000,200
cotipora,350,300,500,200,1000,500
coxilha,270,300,500,170,1600,300
crissiumal,200,234,400,151,1000,200
cristal,250,300,300,160,1000,400
cristal do sul,150,200,370,75,0,110
cruz alta,300,300,574,151,1800,300
cruzeiro do sul,300,300,604,180,800,300
david canabarro,300,210,323,151,3000,380
derrubadas,188,300,300,100,15000,175
dezesseis de novembro,150,200,310,75,0,108
dilermando de aguiar,200,204,420,151,5000,250
dois irmaos,300,300,700,280,951,450
dois irmaos das missoes,250,302,300,200,0,200
dois lajeados,400,280,697,400,1000,500
dom feliciano,300,300,302,151,400,400
dom pedrito,225,220,480,151,1500,300
dom pedro de alcantara,200,280,385,150,700,200
dona francisca,251,250,400,151,500,300
doutor mauricio cardoso,250,300,320,151,500,250
doutor ricardo,300,300,400,151,2000,300
eldorado do sul,302,350,400,226,1300,380
encantado,300,300,480,180,1500,400
encruzilhada do sul,200,230,450,151,2000,200
engenho velho,200,300,450,150,400,200
entre rios do sul,250,302,302,151,1200,200
entre-ijuis,180,230,400,151,1500,151
erebango,295,270,375,150,300,400
erechim,350,350,600,170,1000,400
ernestina,255,300,409,151,700,300
erval grande,160,300,274,140,4000,150
erval seco,151,193,400,120,604,140
esmeralda,217,300,360,151,1000,200
esperanca do sul,150,350,320,150,0,120
