city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
alta floresta d'oeste,4606,41,547,1528,261,2229
alto alegre dos parecis,1133,8,97,399,55,574
alto paraiso,1607,16,270,581,35,704
alvorada d'oeste,3286,28,387,1063,305,1502
ariquemes,18019,339,1785,8383,1487,6026
buritis,3935,0,436,1392,128,1980
cabixi,1470,8,188,338,193,743
cacaulandia,890,0,47,174,163,506
cacoal,16650,362,1619,8517,1043,5109
campo novo de rondonia,1336,0,74,516,140,606
candeias do jamari,2817,37,410,773,222,1375
castanheiras,452,2,43,120,89,197
cerejeiras,4191,61,558,1434,525,1612
chupinguaia,1381,22,106,634,103,516
colorado do oeste,4403,126,451,1605,560,1660
corumbiara,1222,19,147,465,84,508
costa marques,1865,6,303,615,258,684
cujubim,1130,0,91,326,80,633
espigao d'oeste,5197,51,512,1880,335,2417
governador jorge teixeira,1270,0,189,318,102,661
guajara-mirim,8823,167,1094,3751,871,2940
itapua do oeste,1251,18,155,381,202,495
jaru,10514,103,1006,4851,899,3654
ji-parana,28456,597,2809,15227,1472,8350
machadinho d'oeste,3064,11,309,900,335,1509
ministro andreazza,1050,4,102,275,101,567
mirante da serra,2215,8,230,713,137,1126
monte negro,1693,10,131,595,209,747
nova brasilandia d'oeste,2404,19,212,736,175,1263
nova mamore,2198,53,137,793,53,1163
nova uniao,907,0,56,141,184,525
novo horizonte do oeste,1095,4,55,367,78,591
ouro preto do oeste,9424,165,1183,3182,1008,3885
parecis,394,0,20,164,92,118
pimenta bueno,8524,245,788,4488,421,2582
pimenteiras do oeste,554,0,73,125,106,250
porto velho,89211,2325,8158,42345,12911,23471
presidente medici,4799,45,510,1847,356,2040
primavera de rondonia,495,0,19,125,81,271
rio crespo,413,0,15,126,13,259
rolim de moura,10085,122,1240,4392,625,3706
santa luzia d'oeste,1767,25,143,656,100,843
sao felipe d'oeste,749,6,70,284,42,346
sao francisco do guapore,2099,12,155,711,88,1134
sao miguel do guapore,2649,0,308,940,249,1152
seringueiras,1210,5,153,518,26,508
teixeiropolis,734,0,51,144,170,368
theobroma,976,0,121,297,176,381
urupa,1550,0,147,661,155,588
vale do anari,786,6,63,184,170,363
vale do paraiso,972,0,82,269,137,484
vilhena,16548,424,1687,9015,1222,4199
