city,total,regular,military_and_gov,irregular,employers,entrepreneur
alta floresta d'oeste,240,300,300,151,1000,250
alto alegre dos parecis,190,350,240,151,300,151
alto paraiso,200,272,240,180,300,200
alvorada d'oeste,200,302,300,151,500,200
ariquemes,300,330,418,200,1500,316
buritis,300,300,300,230,500,300
cabixi,200,290,370,151,1000,240
cacaulandia,270,330,432,151,1500,290
cacoal,300,302,597,176,1200,300
campo novo de rondonia,332,350,310,250,500,420
candeias do jamari,240,300,300,200,1000,250
castanheiras,250,250,300,180,300,250
cerejeiras,210,300,302,151,1000,210
chupinguaia,280,310,270,210,900,250
colorado do oeste,300,302,547,171,1000,300
corumbiara,230,302,480,170,1500,200
costa marques,230,300,507,150,1069,250
cujubim,250,320,151,164,302,300
espigao d'oeste,300,350,450,200,1000,300
governador jorge teixeira,200,300,489,151,250,200
guajara-mirim,250,350,850,151,900,200
itapua do oeste,270,350,300,200,2000,250
jaru,300,300,480,170,1000,300
ji-parana,300,300,750,180,1500,300
machadinho d'oeste,300,350,470,200,2000,300
ministro andreazza,200,350,500,151,500,200
mirante da serra,250,300,480,151,1200,300
monte negro,260,300,293,220,1000,250
nova brasilandia d'oeste,220,300,400,200,800,200
nova mamore,220,300,540,151,800,200
nova uniao,226,216,245,180,600,300
novo horizonte do oeste,296,296,600,190,1000,300
ouro preto do oeste,280,302,380,160,1500,300
parecis,200,286,280,240,302,150
pimenta bueno,300,350,1000,186,2000,380
pimenteiras do oeste,220,235,300,180,4000,200
porto velho,320,380,930,200,1500,300
presidente medici,200,300,250,151,1000,200
primavera de rondonia,200,302,360,151,500,200
rio crespo,250,230,748,300,151,250
rolim de moura,260,300,510,151,1500,300
santa luzia d'oeste,200,269,416,151,800,250
sao felipe d'oeste,200,260,490,100,1000,180
sao francisco do guapore,300,300,300,240,1200,400
sao miguel do guapore,250,300,350,200,1100,250
seringueiras,250,400,450,200,3000,210
teixeiropolis,240,300,180,151,1500,300
theobroma,200,313,436,151,450,200
urupa,250,300,245,150,800,302
vale do anari,300,300,330,180,2000,300
vale do paraiso,220,263,300,160,1000,220
vilhena,300,300,878,170,1300,350
