city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
alto alegre,1604,7,205,400,186,806
amajari,828,4,156,82,167,419
boa vista,60496,695,4564,17958,17918,19361
bonfim,1464,6,174,193,142,949
canta,1178,6,128,200,206,638
caracarai,2510,6,232,706,818,748
caroebe,633,0,42,121,181,288
iracema,884,0,102,156,280,346
mucajai,1894,8,195,616,405,670
normandia,487,12,12,120,135,208
pacaraima,1233,0,75,233,299,626
rorainopolis,2449,0,265,487,750,946
sao joao da baliza,1070,0,88,179,282,521
sao luiz,1010,0,77,158,387,389
uiramuta,293,0,32,28,58,176
