city,total,regular,military_and_gov,irregular,employers,entrepreneur
alto alegre,200,609,486,200,1500,151
amajari,180,360,562,150,180,150
boa vista,362,400,600,230,1800,400
bonfim,200,500,605,200,500,170
canta,180,600,400,200,1500,151
caracarai,300,500,400,180,1000,250
caroebe,250,780,450,200,300,200
iracema,200,400,200,180,1200,250
mucajai,250,540,270,200,2000,200
normandia,400,600,450,250,0,350
pacaraima,300,400,600,200,3000,250
rorainopolis,250,600,360,200,3000,200
sao joao da baliza,200,500,204,160,500,200
sao luiz,250,775,350,180,800,250
uiramuta,180,800,230,180,2000,151
