city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abdon batista,374,0,47,103,119,105
abelardo luz,2852,68,356,1198,267,963
agrolandia,2142,58,114,1440,66,464
agronomica,780,28,48,425,91,187
agua doce,1697,52,100,1001,127,418
aguas de chapeco,884,4,79,265,104,432
aguas frias,324,9,19,130,44,121
aguas mornas,1276,100,93,540,177,365
alfredo wagner,1162,46,88,533,60,436
alto bela vista,243,14,28,149,21,31
anchieta,994,20,117,503,93,262
angelina,892,67,63,490,96,176
anita garibaldi,1493,17,234,500,177,565
anitapolis,576,13,94,141,78,250
antonio carlos,1437,85,130,688,236,298
apiuna,2577,63,49,2150,36,279
arabuta,679,12,51,352,62,201
araquari,5875,291,432,3549,351,1252
ararangua,14454,378,850,7844,872,4510
armazem,1614,24,52,907,104,527
arroio trinta,926,29,63,591,39,204
arvoredo,329,12,25,76,75,141
ascurra,2698,65,112,2146,100,275
atalanta,669,38,53,313,34,231
aurora,812,12,44,358,161,238
balneario arroio do silva,1305,9,175,524,95,502
balneario barra do sul,1080,32,93,405,121,429
balneario camboriu,20661,868,943,12289,1288,5274
balneario gaivota,977,22,130,278,79,467
bandeirante,202,9,41,46,31,74
barra bonita,222,3,14,108,12,85
barra velha,3232,162,405,1422,237,1005
bela vista do toldo,604,23,47,247,50,236
belmonte,301,6,59,120,3,112
benedito novo,3323,70,220,2610,27,396
biguacu,13894,823,990,8352,1200,2530
blumenau,95850,2593,2798,72987,4091,13382
bocaina do sul,544,12,25,341,42,125
bom jardim da serra,848,22,124,299,72,331
bom jesus,373,6,23,194,22,128
bom jesus do oeste,209,0,7,110,12,79
bom retiro,2195,55,231,939,140,830
bombinhas,2233,116,161,1016,164,777
botuvera,1150,18,9,907,7,208
braco do norte,7905,225,441,5514,254,1469
braco do trombudo,890,31,38,616,68,138
brunopolis,654,0,39,225,93,297
brusque,27675,711,790,21150,870,4155
cacador,18737,614,1040,13248,863,2973
caibi,1337,28,168,501,183,457
calmon,575,4,28,287,124,133
camboriu,11342,667,1146,6176,506,2846
campo alegre,3028,45,151,2046,191,596
campo belo do sul,1792,53,258,931,87,464
