city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
adamantina,10410,534,1041,5183,674,2978
adolfo,1294,27,91,826,30,319
aguai,8407,382,422,5326,443,1834
aguas da prata,2252,199,181,1055,162,656
aguas de lindoia,5634,216,324,3362,152,1579
aguas de santa barbara,1580,92,140,773,255,320
aguas de sao pedro,623,38,93,276,28,187
agudos,9760,536,727,6207,419,1871
alambari,1121,90,135,503,92,301
alfredo marcondes,970,65,62,482,98,264
altair,1246,22,50,920,98,156
altinopolis,5625,287,285,3200,251,1602
alto alegre,1342,38,73,802,54,374
aluminio,4400,181,269,3407,115,428
alvares florence,1169,38,145,399,79,507
alvares machado,6645,494,792,3356,195,1809
alvaro de carvalho,1749,57,73,911,43,665
alvinlandia,937,38,57,619,31,193
americana,60095,1698,3010,41114,1926,12346
americo brasiliense,9446,500,579,7051,186,1130
americo de campos,1687,63,169,638,56,761
amparo,21935,1193,1020,15121,569,4033
analandia,1095,68,129,545,118,235
andradina,15948,772,1427,8462,1300,3987
angatuba,5343,211,650,2923,140,1419
anhembi,1444,72,183,537,65,586
anhumas,919,43,68,413,44,351
aparecida,9583,347,534,4712,866,3124
aparecida d'oeste,1403,89,155,542,125,492
apiai,6038,164,474,2553,731,2116
aracariguama,3223,171,370,1735,194,753
aracatuba,53685,3476,4339,30549,3544,11777
aracoiaba da serra,5171,647,1005,2403,216,901
aramina,1518,14,128,845,90,441
arandu,2116,100,90,1195,219,513
arapei,860,45,42,430,84,259
araraquara,55782,2902,2958,38234,3052,8636
araras,33275,1473,1800,23390,1140,5472
arco-iris,573,32,45,216,81,198
arealva,2114,114,199,932,124,745
areias,863,18,89,463,16,278
areiopolis,3680,41,67,2788,70,713
ariranha,2934,59,211,1987,205,473
artur nogueira,10759,326,428,6158,646,3201
aruja,16290,586,1245,9668,738,4052
aspasia,472,0,40,55,125,251
assis,26364,1452,2273,13365,3306,5967
atibaia,35384,2829,3958,17104,1075,10418
auriflama,4515,89,424,2151,223,1628
avai,1414,29,120,800,109,357
avanhandava,2438,36,164,1791,70,377
avare,21754,1700,1468,11332,2381,4873
bady bassitt,3587,193,325,1915,216,939
balbinos,416,2,22,251,37,104
balsamo,2411,98,276,1174,68,794
bananal,2870,158,301,1196,320,895
barao de antonina,731,10,70,201,39,410
barbosa,1958,40,181,927,74,737
bariri,9023,291,676,5188,439,2429
barra bonita,11708,438,793,8286,270,1922
barra do chapeu,843,21,70,238,112,403
barra do turvo,1192,2,139,486,124,441
