city,total,regular,military_and_gov,irregular,employers,entrepreneur
amparo de sao francisco,151,200,156,150,3000,150
aquidaba,120,160,302,96,2000,120
aracaju,300,300,630,151,1500,300
araua,130,151,151,100,2000,120
areia branca,150,200,290,150,1150,120
barra dos coqueiros,200,250,350,151,1000,180
boquim,150,200,300,100,1500,150
brejo grande,100,157,140,100,250,100
campo do brito,150,300,151,100,600,150
canhoba,100,167,151,80,400,100
caninde de sao francisco,151,206,210,150,600,200
capela,151,180,245,100,300,150
carira,140,162,155,100,1000,130
carmopolis,160,220,164,120,1500,151
cedro de sao joao,151,200,280,150,3000,112
cristinapolis,120,200,217,100,1500,120
cumbe,120,151,151,100,0,150
divina pastora,151,151,151,151,800,150
estancia,151,200,151,130,1000,151
feira nova,150,200,170,120,500,150
frei paulo,150,220,151,120,1000,200
gararu,100,226,195,80,1000,100
general maynard,151,200,151,130,3000,185
gracho cardoso,136,218,125,100,300,170
ilha das flores,100,180,143,80,6400,100
indiaroba,120,185,211,100,1000,100
itabaiana,198,240,320,151,700,200
itabaianinha,120,151,151,100,1000,100
itabi,103,151,240,100,500,160
itaporanga d'ajuda,151,194,225,120,1500,120
japaratuba,168,200,186,140,1000,151
japoata,150,192,151,120,200,150
lagarto,150,200,200,120,600,150
laranjeiras,170,181,180,151,300,160
macambira,120,198,120,100,3000,140
malhada dos bois,150,151,170,100,0,120
malhador,130,200,151,100,250,120
maruim,151,193,220,150,675,150
moita bonita,120,200,270,120,1200,100
monte alegre de sergipe,130,162,175,80,500,151
muribeca,120,160,151,88,1300,87
neopolis,151,180,300,150,500,100
nossa senhora aparecida,100,161,193,80,400,100
nossa senhora da gloria,151,230,216,120,1000,200
nossa senhora das dores,150,180,280,100,500,151
nossa senhora de lourdes,150,230,169,100,400,151
nossa senhora do socorro,200,234,450,151,800,200
pacatuba,150,160,200,151,800,100
pedra mole,120,160,201,100,400,84
pedrinhas,100,230,230,80,3000,120
pinhao,140,200,162,120,0,160
pirambu,151,200,151,150,1000,100
poco redondo,151,170,160,139,800,120
poco verde,120,170,216,80,600,150
porto da folha,125,158,200,80,600,120
propria,151,200,350,151,500,151
riachao do dantas,100,167,200,100,300,100
riachuelo,160,183,156,120,300,151
ribeiropolis,150,180,153,100,300,150
rosario do catete,152,200,170,150,300,200
salgado,150,180,197,120,2000,130
santa luzia do itanhy,100,160,230,100,2000,96
santa rosa de lima,150,151,140,100,0,140
santana do sao francisco,151,160,180,100,300,130
santo amaro das brotas,151,260,209,140,1200,120
sao cristovao,200,225,400,151,1000,170
sao domingos,112,180,200,90,250,100
sao francisco,150,183,170,120,0,100
sao miguel do aleixo,100,155,100,80,500,80
simao dias,150,160,200,130,600,120
siriri,151,200,217,120,300,100
telha,151,151,550,151,4000,90
tobias barreto,120,200,151,100,500,100
tomar do geru,100,160,209,100,500,100
umbauba,150,160,151,120,400,180
