city,quantity
abaira,2798.91768156
abare,6157.47139964
acajutiba,4984.2994472
adustina,4974.33034738
agua fria,5549.61784983
aiquara,1665.10017642
alagoinhas,42943.2774846
alcobaca,6966.63291632
almadina,1969.10388275
amargosa,12453.16484024
amelia rodrigues,8467.78356163
america dourada,5402.08609212
anage,8910.16805692
andarai,5138.5028386
andorinha,4686.4787663
angical,4795.27874716
anguera,3154.24134191
antas,4902.65403129
antonio cardoso,3965.33389975
antonio goncalves,4247.15760544
apora,6081.01219182
apuarema,2701.67275854
aracas,4397.99744208
aracatu,5555.48650678
araci,20346.65124323
aramari,3251.36515229
arataca,4045.04849019
aratuipe,3018.4605381
aurelino leal,4844.46357115
baianopolis,4330.0585298
baixa grande,6563.54424728
banzae,4256.53424585
barra,21070.92175639
barra da estiva,8299.46631054
barra do choca,12393.44967436
barra do mendes,4345.3195599
barra do rocha,2061.0251142
barreiras,46460.07681661
barro alto,4091.42663537
barro preto,2314.97328266
barrocas,4792.2948169
belmonte,7561.61070091
belo campo,4820.46051387
biritinga,4908.11877568
boa nova,5284.70126065
boa vista do tupim,6594.11826117
bom jesus da lapa,22092.39206287
bom jesus da serra,4129.86903678
boninal,4508.45839832
bonito,5533.37561758
boquira,7525.74855047
botupora,4657.25718402
brejoes,4894.55933687
brejolandia,3203.99799813
brotas de macaubas,3554.47959849
brumado,18724.18757106
buerarema,5336.91460889
buritirama,7913.6691937
caatiba,3354.0385252
cabaceiras do paraguacu,6954.90890153
cachoeira,11373.57961615
cacule,6035.56865457
caem,3639.29901206
caetanos,4646.79434667
caetite,14936.32224416
cafarnaum,5652.52666497
cairu,5422.71090061
caldeirao grande,4721.34620089
camacan,11465.39542656
camacari,75697.22772192
camamu,13308.45079119
campo alegre de lourdes,10290.70334758
campo formoso,26795.07631088
canapolis,2933.78481777
canarana,8109.22098412
canavieiras,10349.08650489
candeal,2845.50613487
candeias,25615.17507264
candiba,3753.43763486
candido sales,8822.03497881
cansancao,11955.81879363
canudos,5453.32508571
capela do alto alegre,3355.5683989
capim grosso,7674.31283241
caraibas,3139.81501036
caravelas,7658.24423151
cardeal da silva,3579.18717428
carinhanha,10945.49387526
casa nova,20767.7193325
castro alves,8351.93527954
catolandia,814.83642093
catu,16149.22694151
caturama,2839.25025391
central,5482.15094468
chorrocho,4817.11573967
cicero dantas,9643.51031077
cipo,5165.40448168
coaraci,7048.86372784
cocos,5597.63975571
conceicao da feira,6564.39147929
conceicao do almeida,5406.13639223
conceicao do coite,20817.21191877
conceicao do jacuipe,9526.75086566
conde,9870.31224023
condeuba,5692.3007111
contendas do sincora,1650.09001576
coracao de maria,7927.01707548
cordeiros,2524.91931811
coribe,4885.60626412
coronel joao sa,6183.58935072
correntina,11060.47343307
cotegipe,4741.34149288
cravolandia,1814.33885625
crisopolis,6615.51413145
cristopolis,4170.64004899
cruz das almas,18764.57901502
curaca,11923.24178993
dario meira,4924.22065558
dias d'avila,22034.88177418
dom basilio,3043.26319704
dom macedo costa,1213.28462845
elisio medrado,2356.36335171
encruzilhada,7823.35079452
entre rios,14777.0582948
erico cardoso,3883.88572832
esplanada,12597.20156889
euclides da cunha,19612.69337385
eunapolis,33292.32914089
fatima,5430.90637823
feira da mata,1996.40391926
feira de santana,182745.93302422
filadelfia,6163.55416226
firmino alves,1723.19688281
floresta azul,3426.62404762
formosa do rio preto,8714.37633595
gandu,9874.47841581
gaviao,1539.47070816
gentio do ouro,3543.39165148
gloria,4728.08411766
gongogi,2964.30487313
governador mangabeira,6923.11158041
guajeru,2832.91040604
guanambi,26002.7564708
guaratinga,7314.56284485
heliopolis,4747.95852951
iacu,9244.50412845
ibiassuce,2732.35406191
ibicarai,8472.52006882
ibicoara,5813.26450835
ibicui,5036.56263186
ibipeba,5032.98769522
ibipitanga,4390.0213954499995
ibiquera,1441.6357699
ibirapitanga,9254.9589679
ibirapua,2409.28407203
ibirataia,6213.93664128
ibitiara,4577.20627155
ibitita,5537.41952282
ibotirama,8979.4742109
ichu,1745.71099331
igapora,4698.51261378
igrapiuna,5704.15132009
iguai,8904.21241886
ilheus,61303.13800527
inhambupe,13624.16840478
ipecaeta,6270.3458485
ipiau,14454.789706
ipira,19113.53378146
ipupiara,2723.95771655
irajuba,2645.25203503
iramaia,3972.17428563
iraquara,7834.40477808
irara,9697.86604445
irece,21079.94226686
itabela,9456.47053744
itaberaba,19352.14588786
itabuna,63654.44248889
itacare,8608.72201807
itaete,5491.36653766
itagi,4807.18026848
itagiba,4723.07555321
itagimirim,2323.69162547
itaguacu da bahia,4561.86275161
itaju do colonia,2769.00804853
itajuipe,6753.29668351
itamaraju,19997.8588491
itamari,3054.72723957
itambe,7869.02039849
itanagra,2747.84751192
itanhem,6206.12811673
itaparica,6582.34602643
itape,3371.26727318
itapebi,3719.72810595
itapetinga,21118.26138101
itapicuru,11466.89719735
itapitanga,3214.66110493
itaquara,2886.82388125
itarantim,6198.27553711
itatim,5045.49611543
itirucu,4260.49868704
itiuba,12541.25224936
itororo,6468.91997065
ituacu,5772.78038487
itubera,10137.20542981
iuiu,4200.77160403
jaborandi,2655.34019268
jacaraci,3810.93470307
jacobina,25890.58737062
jaguaquara,17405.43638586
jaguarari,10034.52414965
jaguaripe,6188.460986
jandaira,4376.3130504
jequie,49798.97826364
jeremoabo,13883.50894271
jiquirica,4687.70577722
jitauna,4969.42853189
joao dourado,7421.94120849
juazeiro,67900.69049055
jucurucu,3197.05517632
jussara,4675.1015797
jussari,2274.46601837
jussiape,1813.3245698
lafaiete coutinho,1075.78478155
lagoa real,4250.9700228
laje,7219.03478711
lajedao,1167.51767814
lajedinho,1231.73642364
lajedo do tabocal,2833.26439344
lamarao,3723.71211645
lapao,8207.93286772
lauro de freitas,51269.04060967
lencois,3552.20180937
licinio de almeida,3472.68005165
livramento de nossa senhora,11918.55901028
luis eduardo magalhaes,20536.53322483
macajuba,4065.04979022
macarani,5422.61120439
macaubas,16429.86550929
macurure,3361.34434188
madre de deus,5415.45420713
maetinga,2228.60827129
maiquinique,2810.64000014
