city,quantity
abaiara,3378.65243334
acarape,4602.16996139
acarau,19201.02151999
acopiara,16054.29104387
aiuaba,5353.79917167
alcantaras,3831.81522549
altaneira,2352.40005931
alto santo,4986.55769852
amontada,14821.6801866
antonina do norte,2382.68439369
apuiares,4850.3689328
aquiraz,21655.93061598
aracati,20802.28639328
aracoiaba,8017.31950948
ararenda,3249.87951004
araripe,7372.28471031
aratuba,4278.42132748
arneiroz,2760.44484972
assare,7395.00432447
aurora,7477.56212101
baixio,1825.15610027
banabuiu,6244.83580155
barbalha,19436.28403086
barreira,6040.51328898
barro,6575.7822278
barroquinha,5557.56813037
baturite,10864.83101694
beberibe,15380.57172407
bela cruz,10468.91044352
boa viagem,16982.48650787
brejo santo,15188.01813728
camocim,19996.1563463
campos sales,9428.08012313
caninde,26352.54696258
capistrano,5797.26413397
caridade,6732.0342842
carire,6482.26695824
caririacu,9247.1666031
carius,5243.54094409
carnaubal,6112.02700254
cascavel,20987.89625928
catarina,4937.88689892
catunda,3544.93307674
caucaia,109541.35762056
cedro,8193.59333725
chaval,4559.16695265
choro,4929.45953437
chorozinho,6017.05627244
coreau,7232.63125763
crateus,21888.90116936
crato,42528.60455205
croata,6223.12636042
cruz,7584.9292049
deputado irapuan pinheiro,2720.5639069
erere,1978.69222663
eusebio,15725.30645988
farias brito,6353.2827053
forquilha,7640.44175469
fortaleza,783911.30315476
fortim,4568.04608142
frecheirinha,4494.95937181
general sampaio,2196.16387144
graca,5596.54873062
granja,19579.16012087
granjeiro,1641.31695442
groairas,3333.77982493
guaiuba,7876.10131088
guaraciaba do norte,13743.28177092
guaramiranga,1320.12153857
hidrolandia,6757.08880672
horizonte,16057.17157918
ibaretama,4489.79059774
ibiapina,8446.4546305
ibicuitinga,3546.76938015
icapui,5626.55507739
ico,20577.98273435
iguatu,26491.54301886
independencia,8157.55615012
ipaporanga,3671.04372876
ipaumirim,3795.90175216
ipu,14159.73911106
ipueiras,13412.8817045
iracema,4178.62583434
iraucuba,7731.35798716
itaicaba,2098.66176286
itaitinga,10948.33729457
itapage,16220.02718369
itapipoca,41820.73462152
itapiuna,6446.46263283
itarema,14210.05715944
itatira,7634.78996878
jaguaretama,6336.13749596
jaguaribara,3299.63420123
jaguaribe,10814.66106492
jaguaruana,9885.78478919
jardim,9448.2762869
jati,2445.5316542
jijoca de jericoacoara,5555.9519078
juazeiro do norte,85957.16518817
jucas,6983.42523627
lavras da mangabeira,9761.43855583
limoeiro do norte,17133.07878978
madalena,6606.18553303
maracanau,66928.72256537
maranguape,35178.86282687
marco,8432.23939112
martinopole,3979.63357247
massape,13591.77814987
mauriti,16176.97610454
meruoca,4886.34614358
milagres,8623.9972266
milha,3976.12433197
miraima,4917.98106668
missao velha,11119.17573996
mombaca,12216.98860727
monsenhor tabosa,6556.61817612
morada nova,18671.97724644
moraujo,2688.46634961
morrinhos,7096.25838546
mucambo,4739.17434684
mulungu,3849.82864132
nova olinda,4909.02031923
nova russas,10454.20910525
novo oriente,8789.82076626
ocara,7596.94450976
oros,5892.11052796
pacajus,20111.4877249
pacatuba,24790.83034936
pacoti,3809.70305258
pacuja,2075.16592396
palhano,2398.50983992
palmacia,3487.55502165
paracuru,10223.72997895
paraipaba,10139.16811883
parambu,9782.41933033
paramoti,4475.07701445
pedra branca,13030.23378592
penaforte,2799.93487569
pentecoste,11383.47934517
pereiro,5730.71377305
pindoretama,5546.43218917
piquet carneiro,3944.17017412
pires ferreira,3776.66234855
poranga,4547.72197346
porteiras,5406.90952216
potengi,3582.07456208
potiretama,2195.56688203
quiterianopolis,7128.46236065
quixada,25889.24139238
quixelo,4417.90065981
quixeramobim,23301.2030094
quixere,5626.26141424
redencao,8447.86129487
reriutaba,6730.38219576
russas,20550.87106131
saboeiro,5300.94477919
salitre,5848.73755522
santa quiteria,14387.94694389
santana do acarau,10527.09838922
santana do cariri,6410.50646078
sao benedito,15812.4825077
sao goncalo do amarante,15543.853293
sao joao do jaguaribe,1955.06763253
sao luis do curu,3660.02529767
senador pompeu,7667.87199551
senador sa,2572.90839921
sobral,68155.66237507
solonopole,5041.18371988
tabuleiro do norte,9975.67485594
tamboril,8877.22962685
tarrafas,3001.44474347
taua,19329.90614597
tejucuoca,6091.84637268
tiangua,25995.0727174
trairi,18022.3447938
tururu,4952.70858547
ubajara,10946.59572247
umari,2357.19810134
umirim,6612.81289568
uruburetama,6299.48954748
uruoca,4378.65072223
varjota,6343.44478373
varzea alegre,11956.37555074
vicosa do ceara,19484.67056866
