city,quantity
afonso claudio,7510.5692747
agua doce do norte,3333.52698267
aguia branca,2442.88729643
alegre,9011.31247679
alfredo chaves,3559.3074277
alto rio novo,2103.98040727
anchieta,7269.32829052
apiaca,1843.48511113
aracruz,25107.59178767
atilio vivacqua,2649.09257538
baixo guandu,7819.93756234
barra de sao francisco,10317.68991792
boa esperanca,4471.53040926
bom jesus do norte,2724.74764168
brejetuba,3480.31767523
cachoeiro de itapemirim,54867.45081967
cariacica,100114.81304784
castelo,8829.53931874
colatina,31206.04412723
conceicao da barra,9476.28332175
conceicao do castelo,3356.65081491
divino de sao lourenco,1138.60799567
domingos martins,7924.47289355
dores do rio preto,1607.16725853
ecoporanga,6952.74435015
fundao,5004.60150557
governador lindenberg,2712.81281659
guacui,7775.26270412
guarapari,30371.92669899
ibatiba,5868.63585391
ibiracu,2900.01587135
ibitirama,2511.19005438
iconha,2963.44088634
irupi,3147.10259874
itaguacu,3270.11402736
itapemirim,8948.76479176
itarana,2615.18247089
iuna,7320.15894509
jaguare,7599.9194737
jeronimo monteiro,3031.75074415
joao neiva,4253.69738216
laranja da terra,2624.69333922
linhares,42363.19764944
mantenopolis,3864.39863066
marataizes,10010.28459364
marechal floriano,3641.55694244
marilandia,2629.37621275
mimoso do sul,6608.89496856
montanha,4921.15793527
mucurici,1682.75157605
muniz freire,4906.29537904
muqui,3720.77845628
nova venecia,12908.8151415
pancas,6068.03193616
pedro canario,7489.82930826
pinheiros,6923.29501467
piuma,5144.12645794
ponto belo,2041.72401226
presidente kennedy,3074.6440139
rio bananal,4284.6906564
rio novo do sul,2764.72376678
santa leopoldina,2978.78044471
santa maria de jetiba,8918.36116929
santa teresa,5377.84758809
sao domingos do norte,1905.87999895
sao gabriel da palha,8065.63188119
sao jose do calcado,2732.66606186
sao mateus,35932.77181878
sao roque do canaa,2795.31465236
serra,125401.91587156
sooretama,7641.67207767
vargem alta,5279.63574202
venda nova do imigrante,5846.65837348
viana,18355.09886281
vila pavao,2218.69836542
vila valerio,3199.75271343
vila velha,118608.17254952
vitoria,103701.41116986
