city,quantity
agua branca,3231.89937365
aguiar,1861.32720176
alagoa grande,9648.19686016
alagoa nova,6483.25012582
alagoinha,4673.01351345
alcantil,1536.5793811
algodao de jandaira,845.21318255
alhandra,5782.55702434
amparo,609.11521185
aparecida,2028.69196769
aracagi,5201.63743764
arara,3718.00210572
araruna,6782.14100226
areia,8084.94978597
areia de baraunas,641.89659806
areial,1974.75409327
aroeiras,6427.17061257
assuncao,1233.37528141
baia da traicao,3425.0058194
bananeiras,7504.76368578
barauna,1349.27194266
barra de santa rosa,4259.87750077
barra de santana,2281.3400766
barra de sao miguel,1609.32550378
bayeux,32002.27686807
belem,5126.2314201
belem do brejo do cruz,2366.58066855
bernardino batista,1169.56197724
boa ventura,1784.77144744
boa vista,1959.34636139
bom jesus,794.99295362
bom sucesso,1334.2187415
bonito de santa fe,3543.89549623
boqueirao,5571.19237532
borborema,1914.86762348
brejo do cruz,3743.81308041
brejo dos santos,1776.06474187
caapora,7162.88853286
cabaceiras,1536.7787688
cabedelo,19913.2512692
cachoeira dos indios,2944.11370136
cacimba de areia,1009.03600417
cacimba de dentro,5543.77930466
cacimbas,2456.46912083
caicara,2513.61939127
cajazeiras,17886.59362209
cajazeirinhas,1428.0781656
caldas brandao,1667.43522176
camalau,1780.27700772
campina grande,128295.7625379
capim,2067.92601827
caraubas,1205.99002621
carrapateira,819.075967
casserengue,2457.40033623
catingueira,1418.96323317
catole do rocha,8219.96400203
caturite,1457.7446156
conceicao,5535.9225024
condado,1889.02023399
conde,7271.19088148
congo,1403.33130062
coremas,4472.11082882
coxixola,414.73884037
cruz do espirito santo,5099.88130942
cubati,2165.04062251
cuite,7184.18947199
cuite de mamanguape,2143.89012726
cuitegi,2174.81475367
curral de cima,1817.4341524
curral velho,846.08727076
damiao,1617.30061663
desterro,2623.13449098
diamante,2144.10029933
dona ines,3325.33447933
duas estradas,1321.94687557
emas,1274.19794264
esperanca,9452.17608077
fagundes,3671.00084212
frei martinho,730.09062263
gado bravo,2812.60724915
guarabira,17428.80508475
gurinhem,4297.50946548
gurjao,987.17139273
ibiara,1739.73805709
igaracy,2169.98587591
imaculada,3782.75956306
inga,5726.04298882
itabaiana,7571.5336914
itaporanga,7451.66732068
itapororoca,5889.37594571
itatuba,3120.0080201
jacarau,4709.81074123
jerico,2935.1465248
joao pessoa,244061.94136416
joca claudino,927.85511081
juarez tavora,2332.42254605
juazeirinho,5419.25210362
junco do serido,1970.39892727
juripiranga,3286.40110342
juru,2989.92421289
lagoa,1359.7464443
lagoa de dentro,2653.8750834
lagoa seca,8609.0043656
lastro,849.28654739
livramento,2139.81826902
logradouro,1212.57115011
lucena,3753.53883358
mae d'agua,1216.77835879
malta,1687.61359299
mamanguape,14757.92720247
manaira,3346.10936575
marcacao,3099.89619421
mari,7450.70616109
marizopolis,2154.31986496
massaranduba,4149.01870034
mataraca,2596.23752241
matinhas,1409.05595889
mato grosso,743.32857757
matureia,1937.64647815
mogeiro,4149.99725796
montadas,1421.98984978
monte horebe,1336.3955018
monteiro,9346.0929353
mulungu,2965.06780915
natuba,4036.30275239
nazarezinho,2040.55075326
nova floresta,3397.07109601
nova olinda,2026.58734091
nova palmeira,1321.30152254
olho d'agua,2179.00621795
olivedos,1108.28821858
ouro velho,859.00105878
parari,405.77755775
passagem,700.88978766
patos,30562.06679014
paulista,3069.67127263
pedra branca,1160.93323301
pedra lavrada,2283.92014514
pedras de fogo,9985.43220159
pedro regis,1917.06336851
pianco,5419.32641198
picui,5692.16266507
pilar,3719.66283991
piloes,2485.86248282
piloezinhos,1683.04286704
pirpirituba,3368.46602058
pitimbu,5872.28513052
pocinhos,5320.29762332
poco dantas,1481.99764216
poco de jose de moura,1433.53098121
pombal,10175.34222975
prata,1170.72932771
princesa isabel,7470.22806634
puxinana,4099.35685365
queimadas,14617.98912377
quixaba,534.50718861
remigio,5823.58175537
riachao,1100.2347757
riachao do bacamarte,1488.88490903
riachao do poco,1425.33474939
riacho de santo antonio,580.90288674
riacho dos cavalos,2307.73663025
rio tinto,7631.93085157
salgadinho,1230.04468728
salgado de sao felix,3951.55373416
santa cecilia,2375.48538795
santa cruz,1815.05948209
santa helena,1736.53968135
santa ines,1100.28248898
santa luzia,4461.87627654
santa rita,39135.08982475
santa teresinha,1479.56850512
santana de mangueira,1604.74661651
santana dos garrotes,2189.80876991
santo andre,757.51284754
sao bentinho,1178.42060206
sao bento,8699.11515792
sao domingos,826.45494867
sao domingos do cariri,684.79875277
sao francisco,949.70628418
sao joao do cariri,1290.84952783
sao joao do rio do peixe,5855.00561716
sao joao do tigre,1382.60372523
sao jose da lagoa tapada,2097.4028403
sao jose de caiana,2038.45679055
sao jose de espinharas,1337.93373112
sao jose de piranhas,5838.49592748
sao jose de princesa,1259.05045849
sao jose do bonfim,921.77538102
sao jose do brejo do cruz,587.77775953
sao jose do sabugi,1142.57791034
sao jose dos cordeiros,1193.92324745
sao jose dos ramos,1926.32738363
sao mamede,2145.38869924
sao miguel de taipu,2256.77196126
sao sebastiao de lagoa de roca,3259.01772919
sao sebastiao do umbuzeiro,1061.77689404
sape,16280.82613117
serido,3267.37162302
serra branca,4127.40041121
serra da raiz,1115.34214291
serra grande,938.65577293
serra redonda,2265.2694157
serraria,2028.85253318
sertaozinho,1557.35780575
sobrado,2103.54383794
solanea,8287.64844854
soledade,4098.62285808
sossego,1123.53658962
sousa,17979.02599594
sume,4867.83092816
tacima,2940.74563942
taperoa,4532.15837505
tavares,4641.53939771
teixeira,4530.56606619
tenorio,900.56270317
triunfo,3014.88640549
uirauna,4552.26517612
umbuzeiro,3292.47855593
varzea,730.7545354
vieiropolis,1388.08344222
vista serrana,894.1781326
zabele,679.20789292
