city,quantity
angra dos reis,53525.74882655
aperibe,2671.98037781
araruama,33040.05050479
areal,3229.66418876
armacao dos buzios,7862.67533948
arraial do cabo,8190.02671456
barra do pirai,26419.24621417
barra mansa,50697.36854108
belford roxo,153661.96441206
bom jardim,6326.05306358
bom jesus do itabapoana,10698.68800668
cabo frio,57199.02919653
cachoeiras de macacu,15260.67090509
cambuci,3763.33607421
campos dos goytacazes,145898.09198415
cantagalo,5784.09253084
carapebus,3752.17149014
cardoso moreira,3481.09420595
carmo,4766.13015586
casimiro de abreu,10513.17070826
comendador levy gasparian,2310.34572542
conceicao de macabu,6371.77048856
cordeiro,5924.34582054
duas barras,3161.14916446
duque de caxias,262968.38653382
engenheiro paulo de frontin,3357.49801861
guapimirim,15387.40984185
iguaba grande,6492.4933152
itaborai,67951.04679654
itaguai,32930.9945874
italva,3569.0870459
itaocara,6421.91056712
itaperuna,26267.39758325
itatiaia,7979.45424864
japeri,29345.67766391
laje do muriae,2166.85181868
macae,62182.10529804
macuco,1561.82056009
mage,68812.42661443
mangaratiba,10637.17935378
marica,33555.42890809
mendes,4741.33264522
mesquita,50080.09346447
miguel pereira,6463.76157181
miracema,7987.14439009
natividade,4104.35676928
nilopolis,44144.59966117
niteroi,138280.65591166
nova friburgo,48085.22874421
nova iguacu,243856.3555226
paracambi,12056.21170017
paraiba do sul,12294.14225946
paraty,10723.11624699
paty do alferes,7400.70451414
petropolis,83200.4380326
pinheiral,6271.61299284
pirai,7409.82751791
porciuncula,5315.99034292
porto real,4683.81040485
quatis,3433.03902811
queimados,42778.12160183
quissama,6585.28189233
resende,37141.35874093
rio bonito,16824.47496358
rio claro,4826.09049826
rio das flores,2649.64447169
rio das ostras,30797.97384134
rio de janeiro,1847787.48664191
santa maria madalena,3022.70549708
santo antonio de padua,10668.44885343
sao fidelis,10471.1228528
sao francisco de itabapoana,13320.45266465
sao goncalo,285552.31966266
sao joao da barra,9759.90138119
sao joao de meriti,134233.41216838
sao jose de uba,1835.15763304
sao jose do vale do rio preto,5796.26420002
sao pedro da aldeia,26696.56829754
sao sebastiao do alto,2309.72187416
sapucaia,4323.16691628
saquarema,20875.39121591
seropedica,24976.89106659
silva jardim,6883.61451601
sumidouro,3162.68065853
tangua,8786.07073704
teresopolis,47345.26572246
trajano de moraes,2814.83359884
tres rios,22501.9376307
valenca,20806.94942458
varre-sai,2861.35731711
vassouras,11298.08671529
volta redonda,74621.7206346
