city,quantity
acari,3003.728967
acu,16534.71500793
afonso bezerra,3588.75353684
agua nova,998.11084647
alexandria,4331.18370686
almino afonso,1492.04640669
alto do rodrigues,3949.41013376
angicos,3266.11646983
antonio martins,2301.72622425
apodi,11079.12127798
areia branca,7870.07605026
ares,4485.88593618
augusto severo,3070.18034156
baia formosa,3250.88903551
barauna,8228.96751974
barcelona,1414.50652419
bento fernandes,2196.86869079
bodo,833.22814614
bom jesus,3091.80810237
brejinho,3718.95464269
caicara do norte,1983.15119418
caicara do rio do vento,1006.6006836
caico,18596.61189128
campo redondo,3092.20646267
canguaretama,11312.64043295
caraubas,6048.22380778
carnauba dos dantas,2085.37115088
carnaubais,3201.42278157
ceara-mirim,23167.23189139
cerro cora,3642.19620647
coronel ezequiel,1775.05494379
coronel joao pessoa,1675.13687432
cruzeta,2052.03738644
currais novos,12362.30889322
doutor severiano,2192.53818832
encanto,1778.68629998
equador,1896.64438502
espirito santo,3501.29973282
extremoz,8457.94860126
felipe guerra,1706.87327859
fernando pedroza,1122.69163277
florania,3035.74720056
francisco dantas,882.35635906
frutuoso gomes,1327.33986985
galinhos,807.37052557
goianinha,8540.81510872
governador dix-sept rosado,4417.37816956
grossos,2714.46761403
guamare,4373.44311605
ielmo marinho,4192.15354475
ipanguacu,4555.21146768
ipueira,609.96300569
itaja,2275.45540833
itau,1871.55979626
jacana,2438.82274825
jandaira,2316.08002845
janduis,1819.34865416
januario cicco,3181.82720954
japi,1962.43863702
jardim de angicos,811.57386335
jardim de piranhas,4191.93094284
jardim do serido,3454.51689749
joao camara,11418.01242433
joao dias,937.89256338
jose da penha,1677.77185406
jucurutu,5157.06527515
jundia,1154.71436579
lagoa d'anta,2186.32689048
lagoa de pedras,2656.25619065
lagoa de velhos,1017.99281565
lagoa nova,4545.88905248
lagoa salgada,2398.23567314
lajes,3408.22897846
lajes pintadas,1348.70632331
lucrecia,1260.32073803
luis gomes,3417.22645148
macaiba,24042.37142386
macau,9083.91624873
major sales,1182.62273896
marcelino vieira,2719.27794346
martins,2567.40041577
maxaranguape,3881.64925362
messias targino,1368.02086924
montanhas,3578.12991993
monte alegre,7536.2626367
monte das gameleiras,841.16757199
mossoro,86182.7108104
natal,260746.58881387
nisia floresta,7998.44655445
nova cruz,12074.05019652
olho-d'agua do borges,1303.64629867
ouro branco,1170.29775753
parana,1215.31420855
parau,1311.04947433
parazinho,1854.60346404
parelhas,5789.84964166
parnamirim,67961.28044864
passa e fica,3533.31659181
passagem,884.65994927
patu,3550.97094204
pau dos ferros,8205.85946839
pedra grande,1265.02380674
pedra preta,832.85726448
pedro avelino,2432.04442127
pedro velho,5181.29703505
pendencias,4219.95481785
piloes,970.9674916
poco branco,4552.72567427
portalegre,2259.51230457
porto do mangue,1812.47774299
presidente juscelino,3144.6363703
pureza,3201.14844478
rafael fernandes,1307.94997094
rafael godeiro,1134.25427414
riacho da cruz,1112.95363794
riacho de santana,1315.94290305
riachuelo,2726.49638083
rio do fogo,3888.08866986
rodolfo fernandes,1506.23790836
ruy barbosa,1194.06005443
santa cruz,11104.49581375
santa maria,1592.84504981
santana do matos,4114.31929463
santana do serido,674.69755133
santo antonio,7408.63488907
sao bento do norte,1029.62493711
sao bento do trairi,1167.80951512
sao fernando,1014.64038106
sao francisco do oeste,1072.03994058
sao goncalo do amarante,30677.82999126
sao joao do sabugi,1717.87450946
sao jose de mipibu,14191.41986787
sao jose do campestre,4094.16804202
sao jose do serido,1186.96383116
sao miguel,7378.76157506
sao miguel do gostoso,3323.8848042
sao paulo do potengi,5166.23087478
sao pedro,2037.62351343
sao rafael,2385.71987027
sao tome,3384.49632663
sao vicente,1530.05905175
senador eloi de souza,2004.38594476
senador georgino avelino,1366.66420024
serra de sao bento,1776.40556958
serra do mel,3261.16969828
serra negra do norte,2066.38684629
serrinha,2591.53722775
serrinha dos pintos,1310.97205849
severiano melo,1720.17517539
sitio novo,1594.36174981
taboleiro grande,745.16451135
taipu,3941.30661293
tangara,4561.07503817
tenente ananias,2749.51458665
tenente laurentino cruz,1792.93691314
tibau,1153.32431827
tibau do sul,3367.22451279
timbauba dos batistas,685.73989283
touros,10730.96885697
triunfo potiguar,1231.70479223
umarizal,3508.62776537
upanema,4161.24157842
varzea,1572.31611518
venha-ver,1405.55874236
vera cruz,3489.09304493
vicosa,548.91596155
vila flor,1123.43812682
