city,quantity
acegua,1019.49583323
agua santa,1157.16847431
agudo,3767.84912785
ajuricaba,1651.84200339
alecrim,1529.62729021
alegrete,21472.4259103
alegria,945.95840318
almirante tamandare do sul,439.19811855
alpestre,1688.30651955
alto alegre,406.46044634
alto feliz,638.3835057
alvorada,54829.76563916
amaral ferrador,1474.29859518
ametista do sul,2042.9234706
andre da rocha,288.44664995
anta gorda,1102.76180404
antonio prado,2978.7637593
arambare,818.21067322
ararica,1398.28278418
aratiba,1489.08376755
arroio do meio,4721.9493389
arroio do padre,527.346723
arroio do sal,1967.64397217
arroio do tigre,2934.02123336
arroio dos ratos,3564.07207348
arroio grande,4751.94078318
arvorezinha,2391.04793667
augusto pestana,1613.84258528
aurea,754.68516018
bage,32787.49772304
balneario pinhal,3219.28365649
barao,1275.59501322
barao de cotegipe,1515.88148055
barao do triunfo,1632.53043608
barra do guarita,910.50783382
barra do quarai,1103.57470869
barra do ribeiro,3273.67418552
barra do rio azul,380.03489897
barra funda,620.63552687
barracao,1376.4522561
barros cassal,2941.17058132
benjamin constant do sul,836.19187369
bento goncalves,28027.4314247
boa vista das missoes,558.07654854
boa vista do burica,1600.60107367
boa vista do cadeado,574.40328424
boa vista do incra,538.59313992
boa vista do sul,430.86305168
bom jesus,3008.88009003
bom principio,2915.79919795
bom progresso,586.59263356
bom retiro do sul,3073.5507438
boqueirao do leao,2012.89426146
bossoroca,1698.59876854
bozano,485.23696085
braga,912.29746892
brochier,929.58947269
butia,5635.35404611
cacapava do sul,8828.62991663
cacequi,3444.30200104
cachoeira do sul,21226.4975678
cachoeirinha,33575.20452653
cacique doble,1223.83628283
caibate,1238.03271698
caicara,1158.10339411
camaqua,15733.83910261
camargo,627.86172938
cambara do sul,1703.84038085
campestre da serra,692.85685088
campina das missoes,1334.42181509
campinas do sul,1368.41884376
campo bom,15831.48605754
campo novo,1580.81371564
campos borges,868.59172091
candelaria,6301.7511708
candido godoi,1373.14291397
candiota,2966.56132345
canela,10652.59767706
cangucu,11445.56774783
canoas,94037.7060408
canudos do vale,341.63903543
capao bonito do sul,450.23149794
capao da canoa,11964.46835555
capao do cipo,796.47430638
capao do leao,6047.88458503
capela de santana,3153.60424755
capitao,637.80590786
capivari do sul,1036.21753513
caraa,1467.56422716
carazinho,15801.88943703
carlos barbosa,6510.88340837
carlos gomes,331.05838832
casca,2011.81393671
caseiros,693.36695978
catuipe,2214.57055914
caxias do sul,124154.8598115
centenario,594.8631004
cerrito,1443.79294847
cerro branco,925.30172787
cerro grande,631.62411063
cerro grande do sul,2518.80745479
cerro largo,3137.64578593
chapada,1868.5334797
charqueadas,9580.03550999
charrua,830.58789234
chiapetta,1107.05002676
chui,1746.05131201
chuvisca,1176.18851514
cidreira,3307.33888092
ciriaco,1152.67973353
colinas,461.22532957
colorado,771.50070732
condor,1645.32276956
constantina,2239.02008846
coqueiro baixo,259.44647278
coqueiros do sul,515.21679343
coronel barros,496.6690085
coronel bicaco,2018.472005
coronel pilar,313.40128818
cotipora,774.4962974
coxilha,711.51238368
crissiumal,3319.32301397
cristal,1634.24784619
cristal do sul,657.93071631
cruz alta,18881.5781819
cruzaltense,481.24856869
cruzeiro do sul,3485.2213676
david canabarro,1187.34985977
derrubadas,837.21315449
dezesseis de novembro,697.54590646
dilermando de aguiar,679.85854672
dois irmaos,6849.38864619
dois irmaos das missoes,568.02486854
dois lajeados,573.61924653
dom feliciano,3140.83610098
dom pedrito,10725.94852335
dom pedro de alcantara,603.83964179
dona francisca,953.74419367
doutor mauricio cardoso,1189.3279773
doutor ricardo,436.33835711
eldorado do sul,9781.18639585
encantado,5153.88083344
encruzilhada do sul,6591.39455985
engenho velho,435.63162902
entre rios do sul,730.72872763
entre-ijuis,1967.28371571
erebango,777.62019659
erechim,26252.79525241
ernestina,780.78328705
erval grande,1182.52571491
erval seco,2122.39182202
esmeralda,785.59229289
esperanca do sul,636.90433626
espumoso,4087.50992846
estacao,1435.42463449
estancia velha,13100.70931441
esteio,23511.28490459
estrela,8590.40052483
estrela velha,879.25644556
eugenio de castro,620.07188375
fagundes varela,528.2692745
farroupilha,18045.40328509
faxinal do soturno,1880.64500861
faxinalzinho,586.69490522
fazenda vilanova,816.62909494
feliz,2996.40687738
flores da cunha,7067.39560376
floriano peixoto,410.67382142
fontoura xavier,2713.52887819
formigueiro,1583.1669446
forquetinha,391.54630768
fortaleza dos valos,1192.0058958
frederico westphalen,8334.06791486
garibaldi,7257.64237319
garruchos,793.91645954
gaurama,1324.33548046
general camara,2144.12983901
gentil,353.88497606
getulio vargas,4071.1872177
girua,4371.88646541
glorinha,1724.09729418
gramado,8934.86762776
gramado dos loureiros,592.4155726
gramado xavier,1030.88449591
gravatai,71742.01632199
guabiju,367.96091108
guaiba,27324.92670409
guapore,6026.60365087
guarani das missoes,1934.77762355
harmonia,1118.40506123
herval,1517.23260322
herveiras,703.24233587
horizontina,5083.92565879
hulha negra,1540.9948963
humaita,1161.76872369
ibarama,977.21069336
ibiaca,1057.55029821
ibiraiaras,1792.03719991
ibirapuita,964.08781329
ibiruba,4655.3576682
igrejinha,8268.52968701
ijui,22073.44647185
ilopolis,890.2353014
imbe,4763.86484427
imigrante,585.08339975
independencia,1653.97380523
inhacora,607.85814879
ipe,1211.23937707
ipiranga do sul,412.28127151
irai,2078.01141787
itaara,1284.18657611
itacurubi,813.20759935
itapuca,566.90929972
itaqui,12400.65148603
itati,603.11218754
itatiba do sul,952.62254114
ivora,461.77324864
ivoti,5476.14101878
jaboticaba,1017.56477643
jacuizinho,659.94514449
jacutinga,815.90109331
jaguarao,6986.66374476
jaguari,2438.4753032
jaquirana,985.45196683
jari,751.24826787
joia,2218.63376439
julio de castilhos,5376.98045428
lagoa bonita do sul,567.76212212
lagoa dos tres cantos,349.75725198
lagoa vermelha,7059.61529909
lagoao,1528.36372114
lajeado,20777.43887184
lajeado do bugre,634.31812888
lavras do sul,1912.92612316
liberato salzano,1373.22959889
lindolfo collor,1352.5748422
linha nova,334.43920716
macambara,1410.15480405
machadinho,1202.440884
mampituba,691.69528654
manoel viana,1673.6168582
maquine,1588.94128527
marata,513.52639591
marau,9441.95912267
marcelino ramos,1159.42366104
mariana pimentel,756.24050438
mariano moro,477.92939038
marques de souza,744.16638195
mata,1100.63263437
mato castelhano,518.97565294
mato leitao,917.60052259
mato queimado,401.79194025
maximiliano de almeida,1149.98909162
minas do leao,1958.53159631
miraguai,1232.7103728
montauri,304.90757052
monte alegre dos campos,939.07571787
monte belo do sul,525.47829759
montenegro,16531.5084451
mormaco,740.76692305
morrinhos do sul,653.57698603
morro redondo,1229.15736247
morro reuter,1239.47069339
mostardas,3162.3631168
mucum,1045.02319
muitos capoes,727.59570962
muliterno,438.42989785
nao-me-toque,5001.83998011
nicolau vergueiro,351.07938475
nonoai,3219.00791406
nova alvorada,832.18922224
nova araca,953.17811162
nova bassano,2130.55913343
nova boa vista,404.72888749
nova brescia,760.6075485
nova candelaria,571.88172939
nova esperanca do sul,1174.78568119
nova hartz,5070.65530543
nova padua,478.00178117
nova palma,1617.85238183
nova petropolis,4365.63709785
nova prata,6033.01249152
nova ramada,567.51601201
nova roma do sul,699.31530287
nova santa rita,6601.05473354
novo barreiro,1067.5201334
novo cabrais,800.89187197
novo hamburgo,66144.1944715
novo machado,802.81196106
novo tiradentes,541.83173156
novo xingu,381.94404175
osorio,11102.25396555
paim filho,1034.00876851
palmares do sul,3234.69804739
palmeira das missoes,9839.13400375
palmitinho,1835.74440156
panambi,11662.41530535
pantano grande,2461.51355509
parai,1608.47957453
paraiso do sul,1346.20180547
pareci novo,888.38065262
parobe,13725.44755851
passa sete,1254.16913785
passo do sobrado,1264.29245265
passo fundo,54506.308869
paulo bento,454.11649064
paverama,1745.48461842
pedras altas,884.1091574
pedro osorio,1830.6068888
pejucara,1038.40462702
pelotas,93588.22753192
picada cafe,1341.92247839
pinhal,583.11484242
pinhal da serra,586.06816356
pinhal grande,1206.33349658
pinheirinho do vale,1221.14238851
pinheiro machado,3071.34399284
pirapo,596.25481751
piratini,5192.95750482
planalto,2706.67973128
poco das antas,451.11299883
pontao,995.07866805
ponte preta,343.24510865
portao,8565.33277295
porto alegre,408415.37258314
porto lucena,1094.24126328
porto maua,607.14194704
porto vera cruz,407.72474375
porto xavier,2605.28796218
pouso novo,422.72819543
presidente lucena,559.00039924
progresso,1536.99892471
protasio alves,375.55747144
putinga,888.51146099
quarai,6635.17259221
quatro irmaos,478.14829029
quevedos,636.89062574
quinze de novembro,764.99360441
redentora,3084.2832769
relvado,402.94101016
restinga seca,3697.3251084
rio dos indios,855.59005014
rio grande,57562.72454628
rio pardo,8989.14658079
riozinho,1116.79871525
roca sales,2252.34165121
rodeio bonito,1480.47896972
rolador,541.54537577
rolante,4910.6970801
ronda alta,2603.21371358
rondinha,1195.60411151
roque gonzales,1677.64385518
rosario do sul,10491.89632405
sagrada familia,654.77750806
saldanha marinho,636.93383493
salto do jacui,3228.70860831
salvador das missoes,513.82815246
salvador do sul,1694.76308252
sananduva,3498.48254179
santa barbara do sul,2196.43231199
santa cecilia do sul,376.80448505
santa clara do sul,1206.98853074
santa cruz do sul,33065.38846125
santa margarida do sul,526.54257886
santa maria,75678.83371812
santa maria do herval,1107.69132037
santa rosa,18504.30878162
santa tereza,315.76100416
santa vitoria do palmar,8414.86354787
santana da boa vista,1926.7249269
sant'ana do livramento,22665.85353434
santiago,12721.51250696
santo angelo,21850.24988652
santo antonio da patrulha,10589.61553927
santo antonio das missoes,2761.49613744
santo antonio do palma,478.96974969
santo antonio do planalto,496.04819252
santo augusto,3827.290188
santo cristo,3414.27493245
santo expedito do sul,519.90305584
sao borja,16953.98254791
sao domingos do sul,683.91253896
sao francisco de assis,4523.49921227
sao francisco de paula,5559.2641092
sao gabriel,15903.35235116
sao jeronimo,6021.82128851
sao joao da urtiga,1026.8316067
sao joao do polesine,617.48060346
sao jorge,608.21811585
sao jose das missoes,749.48308358
sao jose do herval,597.83053427
sao jose do hortencio,857.11774341
sao jose do inhacora,452.53122315
sao jose do norte,5796.57033872
sao jose do ouro,1659.55380297
sao jose do sul,416.39595301
sao jose dos ausentes,786.49641088
sao leopoldo,60070.63075282
sao lourenco do sul,9944.6356135
sao luiz gonzaga,9537.20813235
sao marcos,5078.46577164
sao martinho,1285.07509202
sao martinho da serra,742.67975935
sao miguel das missoes,1823.22676611
sao nicolau,1424.654179
sao paulo das missoes,1355.07597346
sao pedro da serra,849.43938651
sao pedro das missoes,516.41490138
sao pedro do butia,624.77608234
sao pedro do sul,3755.15045347
sao sebastiao do cai,5727.51286221
sao sepe,5713.77316261
sao valentim,812.10162394
sao valentim do sul,389.86542206
sao valerio do sul,775.3608062
sao vendelino,466.31329128
sao vicente do sul,2273.04079811
sapiranga,23245.05973857
sapucaia do sul,38516.74763611
sarandi,5833.22040954
seberi,2745.85444238
sede nova,752.8880672
segredo,1589.72609872
selbach,1238.32808149
senador salgado filho,566.14116118
sentinela do sul,1260.50359657
serafina correa,3448.43671555
serio,435.94617777
sertao,1552.1238391
sertao santana,1773.64723146
sete de setembro,397.43769182
severiano de almeida,851.8622583
silveira martins,502.00536566
sinimbu,2096.38801892
sobradinho,3781.20256895
soledade,8117.43420289
tabai,986.76773181
tapejara,4702.01140772
tapera,2750.81329906
tapes,4787.97746711
taquara,15109.55503161
taquari,6908.51799048
taquarucu do sul,718.55174756
tavares,1150.68706077
tenente portela,3931.49662987
terra de areia,2647.33418337
teutonia,7482.68410014
tio hugo,676.44458596
tiradentes do sul,1548.0864678
toropi,546.78530804
torres,9627.16275353
tramandai,11067.88260248
travesseiro,463.87276374
tres arroios,593.18321807
tres cachoeiras,2454.10367232
tres coroas,6239.55810091
tres de maio,5944.53900381
tres forquilhas,634.18219682
tres palmeiras,1055.63558112
tres passos,6118.47627551
trindade do sul,1438.37845243
triunfo,7217.8354098
tucunduva,1385.76948369
tunas,1056.55877892
tupanci do sul,395.87696772
tupancireta,6352.55964744
tupandi,887.86901663
tuparendi,1781.91402224
turucu,671.32876692
ubiretama,489.06915024
uniao da serra,251.58540364
unistalda,582.00199147
uruguaiana,36838.8256369
vacaria,15816.71488054
vale do sol,2275.65319723
vale real,1209.32114327
vale verde,683.70300269
vanini,497.33064634
venancio aires,16127.84784437
vera cruz,6141.75058955
veranopolis,5906.36715374
vespasiano correa,372.97729802
viadutos,1068.17708051
viamao,68538.10428874
vicente dutra,1379.40398615
victor graeff,779.51888804
vila flores,635.39124144
vila langaro,516.86843505
vila maria,826.23222424
vila nova do sul,930.77466683
vista alegre,719.54872058
vista alegre do prata,254.79963379
vista gaucha,704.07741511
vitoria das missoes,735.45310307
westfalia,571.87442393
xangri-la,3744.4314361
