city,quantity
abdon batista,646.66371217
abelardo luz,5707.96854896
agrolandia,2466.19248405
agronomica,1243.56741744
agua doce,2125.66642264
aguas de chapeco,1585.76855567
aguas frias,701.91570514
aguas mornas,1377.51652687
alfredo wagner,2261.15983451
alto bela vista,438.05528919
anchieta,1917.85279629
angelina,1592.75361357
anita garibaldi,2403.41670366
anitapolis,831.62910595
antonio carlos,1788.66358878
apiuna,2658.66033081
arabuta,1006.09393889
araquari,7404.34708534
ararangua,17422.18892903
armazem,2076.78795633
arroio trinta,976.17751983
arvoredo,651.10480897
ascurra,1911.9342137
atalanta,917.14405232
aurora,2607.89615322
balneario arroio do silva,2533.78651047
balneario barra do sul,2129.80167056
balneario camboriu,30187.36202009
balneario gaivota,2175.12080304
balneario picarras,4672.12678561
bandeirante,694.74673328
barra bonita,442.66862485
barra velha,6516.03998388
bela vista do toldo,2026.31318311
belmonte,634.66261487
benedito novo,2734.23868782
biguacu,17503.59992933
blumenau,91765.59859478
bocaina do sul,845.83209105
bom jardim da serra,1213.71470559
bom jesus,643.22697996
bom jesus do oeste,563.40635341
bom retiro,2661.38732617
bombinhas,4079.56719502
botuvera,895.55151561
braco do norte,9221.29173537
braco do trombudo,945.12989759
brunopolis,831.10006579
brusque,28024.07565395
cacador,21768.35838816
caibi,1773.89015684
calmon,1273.89759481
camboriu,18561.4925315
campo alegre,3060.4879044
campo belo do sul,2443.83783134
campo ere,2986.05645841
campos novos,9945.8168389
canelinha,2926.14549991
canoinhas,15935.18891248
capao alto,752.36967734
capinzal,6011.1025911
capivari de baixo,6679.06537251
catanduvas,2812.88867128
caxambu do sul,1062.58604969
celso ramos,788.19346592
cerro negro,984.25907289
chapadao do lageado,874.56093053
chapeco,60639.05001737
cocal do sul,4319.35031485
concordia,19927.47145148
cordilheira alta,908.44591977
coronel freitas,2738.38396083
coronel martins,755.64798226
correia pinto,4557.34212567
corupa,4194.78805501
criciuma,57485.14700988
cunha pora,2943.9712802
cunhatai,519.80019838
curitibanos,12044.50363571
descanso,2242.06579025
dionisio cerqueira,4418.77935285
dona emma,1022.45325087
doutor pedrinho,898.70697932
entre rios,1070.97695057
ermo,510.10228471
erval velho,1196.8280264
faxinal dos guedes,3114.75946409
flor do sertao,455.63841314
florianopolis,128480.64313334
formosa do sul,682.41166714
forquilhinha,6353.4636815
fraiburgo,12959.54509507
frei rogerio,725.18891439
galvao,936.36988132
garopaba,4862.98228402
garuva,4555.46712899
gaspar,16591.51274737
governador celso ramos,3364.29360573
grao para,1641.22881119
gravatal,2910.46251135
guabiruba,4600.90971713
guaraciaba,2614.6982009
guaramirim,10323.61826934
guaruja do sul,1289.02836364
guatambu,1352.37296644
herval d'oeste,5777.85283575
ibiam,480.61410355
ibicare,795.74055733
ibirama,4995.66554107
icara,16086.29277224
ilhota,3415.59069907
imarui,3263.51121709
imbituba,10606.13018638
imbuia,1848.11079452
indaial,15119.40713837
iomere,657.88579757
ipira,1229.07277226
ipora do oeste,2343.40892778
ipuacu,2202.43823299
ipumirim,1832.98494561
iraceminha,1074.27547543
irani,2734.6448637
irati,531.89931302
irineopolis,3014.09674011
ita,1794.47168851
itaiopolis,5934.10554394
itajai,55836.30397817
itapema,12456.29405317
itapiranga,4749.48300487
itapoa,4223.58275957
ituporanga,7015.80550634
jabora,977.49351447
jacinto machado,3043.68942092
jaguaruna,4561.94201596
jaragua do sul,42448.97525871
jardinopolis,517.93403346
joacaba,8234.65802736
joinville,150046.72049922
jose boiteux,1388.71868153
jupia,572.06675704
lacerdopolis,547.8380041
lages,48154.05753558
laguna,13741.80148536
lajeado grande,364.34514646
laurentino,1615.83531335
lauro muller,3910.25463638
lebon regis,3710.2298875
leoberto leal,870.92143335
lindoia do sul,1095.68278007
lontras,3499.17153109
luiz alves,3133.59620973
luzerna,1470.20108521
macieira,448.438006
mafra,15516.86931722
major gercino,1297.8663493
major vieira,1934.99178035
maracaja,1758.11791441
maravilha,6594.51768136
marema,616.21744591
massaranduba,3777.8389348
matos costa,865.51330988
meleiro,1899.27719387
mirim doce,674.91578762
modelo,1180.45355464
mondai,2723.66278771
monte carlo,3269.28504183
monte castelo,2460.6954494
morro da fumaca,4417.06951571
morro grande,714.14106707
navegantes,18701.23655686
nova erechim,1328.03119814
nova itaberaba,1268.38586115
nova trento,3291.67027565
nova veneza,3957.94783195
novo horizonte,789.65719293
orleans,6043.36478647
otacilio costa,4899.03651483
ouro,1945.00033527
ouro verde,677.75428971
paial,441.10283481
painel,599.56544062
palhoca,41364.51707395
palma sola,2379.46205959
palmeira,659.54333832
palmitos,4313.06210311
papanduva,5312.98046406
paraiso,1185.76829155
passo de torres,1984.31867324
passos maia,1451.92612091
paulo lopes,1782.4793552
pedras grandes,988.85201388
penha,6999.88337
peritiba,760.44489165
petrolandia,1567.10119031
pinhalzinho,5487.31183616
pinheiro preto,948.36778141
piratuba,1271.46061445
planalto alegre,735.32029698
pomerode,6749.09507106
ponte alta,1444.21830838
ponte alta do norte,986.77732715
ponte serrada,3355.41133631
porto belo,4487.79069171
porto uniao,10377.20636405
pouso redondo,3912.10517165
praia grande,1984.6598875
presidente castello branco,445.81366347
presidente getulio,4067.15917687
presidente nereu,671.10355781
princesa,753.63680694
quilombo,2774.47798992
rancho queimado,667.34723829
rio das antas,1723.97540315
rio do campo,1663.38481399
rio do oeste,1705.73121869
rio do sul,18497.04414264
rio dos cedros,2265.19061421
rio fortuna,1055.32637821
rio negrinho,12245.24601431
rio rufino,683.25624576
riqueza,1395.96026169
rodeio,2333.53544267
romelandia,1497.18614202
salete,2044.77316805
saltinho,1186.81968904
salto veloso,1296.07697015
sangao,2871.25369675
santa cecilia,4821.56767853
santa helena,606.63894698
santa rosa de lima,553.57758059
santa rosa do sul,2294.69156566
santa terezinha,2582.60886926
santa terezinha do progresso,779.9800512
santiago do sul,411.74616647
santo amaro da imperatriz,5444.7444131
sao bento do sul,25717.56643592
sao bernardino,854.19955576
sao bonifacio,699.24262504
sao carlos,2699.78165292
sao cristovao do sul,1421.3297487
sao domingos,2704.50457371
sao francisco do sul,12684.20885814
sao joao batista,6765.78833063
sao joao do itaperiu,907.37665902
sao joao do oeste,1629.92501303
sao joao do sul,1818.67591124
sao joaquim,6180.72480494
sao jose,63520.31943075
sao jose do cedro,4368.40939793
sao jose do cerrito,2462.70419482
sao lourenco do oeste,6380.16833236
sao ludgero,3269.29614743
sao martinho,703.55497287
sao miguel da boa vista,517.47141815
sao miguel do oeste,10839.26168527
sao pedro de alcantara,846.74836464
saudades,2639.88593276
schroeder,4994.395914
seara,4604.07409975
serra alta,865.82051327
sideropolis,3447.07223246
sombrio,7528.90642004
sul brasil,760.37914381
taio,4893.84812226
tangara,2410.05116104
tigrinhos,465.30362487
tijucas,8042.52822251
timbe do sul,1381.31207711
timbo,10237.92317286
timbo grande,2314.78914938
tres barras,5417.31932545
treviso,873.15148559
treze de maio,1731.78837272
treze tilias,1971.66403214
trombudo central,1812.53835256
tubarao,27172.79990211
tunapolis,1172.51764747
turvo,3332.36084751
uniao do oeste,714.61944234
urubici,3059.50055067
urupema,640.67808439
urussanga,4929.1094924
vargeao,945.55991644
vargem,724.6214068
vargem bonita,1488.04386167
vidal ramos,1919.00693915
videira,14287.3680495
vitor meireles,1488.36585679
witmarsum,920.90334344
xanxere,13071.26607506
xavantina,975.08570318
xaxim,7804.31250534
zortea,930.16397198
