city,quantity
amparo de sao francisco,720.16902984
aquidaba,7009.55530408
aracaju,194840.17436407
araua,3996.97993663
areia branca,6057.6680026
barra dos coqueiros,7757.09276059
boquim,9333.38671016
brejo grande,3122.30778663
campo do brito,5750.18488205
canhoba,1451.96320702
caninde de sao francisco,9456.08061454
capela,10579.5240281
carira,6635.07522312
carmopolis,5266.20438877
cedro de sao joao,1757.18090909
cristinapolis,6571.26760477
cumbe,1367.87103528
divina pastora,1659.7675677
estancia,22751.3978161
feira nova,1822.82827382
frei paulo,4476.05394514
gararu,3850.03604109
general maynard,1060.46446268
gracho cardoso,1795.7394892
ilha das flores,2821.09608117
indiaroba,6570.80127136
itabaiana,29484.06652496
itabaianinha,13786.90749048
itabi,1622.41945051
itaporanga d'ajuda,10261.62534985
japaratuba,5836.23469038
japoata,4866.70175469
lagarto,33541.74346738
laranjeiras,10162.34087848
macambira,2014.40592269
malhada dos bois,1173.51140381
malhador,4088.56012795
maruim,5641.24487361
moita bonita,3327.33553632
monte alegre de sergipe,4944.80390589
muribeca,2544.15432804
neopolis,6349.44676934
nossa senhora aparecida,2565.9334026
nossa senhora da gloria,11512.641072
nossa senhora das dores,8410.79760673
nossa senhora de lourdes,2201.49686564
nossa senhora do socorro,57223.96370234
pacatuba,5060.77107219
pedra mole,915.72493383
pedrinhas,3485.77668746
pinhao,1819.80105277
pirambu,3192.96316588
poco redondo,11546.88182039
poco verde,7484.88716823
porto da folha,9585.8037248
propria,9794.50681418
riachao do dantas,6725.18566906
riachuelo,3409.23270134
ribeiropolis,5372.06752017
rosario do catete,3454.62159242
salgado,7115.00095428
santa luzia do itanhy,5625.61773835
santa rosa de lima,1443.81308251
santana do sao francisco,2914.36847084
santo amaro das brotas,3698.50903797
sao cristovao,28222.13944075
sao domingos,3478.83427119
sao francisco,1226.30994765
sao miguel do aleixo,1302.82301036
simao dias,13590.72903327
siriri,2848.951726
telha,1117.65642579
tobias barreto,14585.06696788
tomar do geru,4886.05554323
umbauba,8457.68471965
